TEST	TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
Conditional	CAD	1799	ARHGEF26_EC	SET	201	-0.0013648	-0.00043008	0.10129	0.50537
Global	CAD	19254	ARHGEF26_EC	SET	201	0.10969	0.011149	0.072217	0.064412
Conditional	CAD	796	BCAS3_EC	SET	257	-0.053084	-0.024836	0.11516	0.67753
Global	CAD	19254	BCAS3_EC	SET	257	0.14247	0.01635	0.072745	0.025097
Conditional	CAD	598	EDN1_EC	SET	227	-0.038995	-0.018939	0.12357	0.62378
Global	CAD	19254	EDN1_EC	SET	227	0.084118	0.0090798	0.073859	0.12738
Conditional	CAD	443	FLT1_EC	SET	192	-0.16986	-0.08427	0.15668	0.86055
Global	CAD	19254	FLT1_EC	SET	192	0.02903	0.0028845	0.078318	0.35544
Conditional	CAD	818	FN1_EC	SET	216	-0.18121	-0.079934	0.11968	0.9348
Global	CAD	19254	FN1_EC	SET	216	-0.014766	-0.0015552	0.075758	0.57727
Conditional	CAD	1283	JCAD_EC	SET	33	0.071128	0.011264	0.25988	0.39218
Global	CAD	19254	JCAD_EC	SET	33	0.28409	0.011752	0.20741	0.0854
Conditional	CAD	1255	PHACTR1_EC	SET	21	0.15714	0.020165	0.29727	0.29859
Global	CAD	19254	PHACTR1_EC	SET	21	-0.067917	-0.0022418	0.29585	0.59078
Conditional	CAD	1177	PLPP3_EC	SET	532	0.027152	0.013519	0.086011	0.37615
Global	CAD	19254	PLPP3_EC	SET	532	0.11	0.018031	0.048863	0.012195
Conditional	CAD	2819	COMBINED_EC	SET	1139	-0.05318	-0.0261	0.050738	0.85266
Global	CAD	19246	COMBINED_EC	SET	1139	0.070141	0.016551	0.033864	0.019177
Conditional	CAD	489	ADAMTS7_SMC	SET	172	0.2627	0.12557	0.13302	0.024429
Global	CAD	19254	ADAMTS7_SMC	SET	172	0.25769	0.024247	0.086031	0.0013735
Conditional	CAD	714	ARHGEF26_SMC	SET	130	-0.15913	-0.061453	0.14801	0.85866
Global	CAD	19254	ARHGEF26_SMC	SET	130	0.057805	0.0047339	0.09886	0.27937
Conditional	CAD	423	BCAS3_SMC	SET	44	0.09898	0.030253	0.22623	0.33098
Global	CAD	19254	BCAS3_SMC	SET	44	0.26547	0.012676	0.16802	0.057072
Conditional	CAD	806	EDN1_SMC	SET	222	-0.065572	-0.029312	0.11358	0.71806
Global	CAD	19254	EDN1_SMC	SET	222	0.10266	0.01096	0.074217	0.083315
Conditional	CAD	1176	EDNRA_SMC	SET	199	-0.13992	-0.052485	0.10937	0.89947
Global	CAD	19254	EDNRA_SMC	SET	199	0.0062883	0.000636	0.074019	0.46615
Conditional	CAD	1236	FN1_SMC	SET	377	-0.03857	-0.017765	0.090031	0.66578
Global	CAD	19254	FN1_SMC	SET	377	0.06593	0.0091351	0.056816	0.12295
Conditional	CAD	229	HDAC9_SMC	SET	19	0.17962	0.049653	0.30383	0.27749
Global	CAD	19254	HDAC9_SMC	SET	19	0.4139	0.012996	0.28141	0.070681
Conditional	CAD	261	JCAD_SMC	SET	93	0.32177	0.15439	0.2067	0.060403
Global	CAD	19254	JCAD_SMC	SET	93	0.40774	0.02827	0.11913	0.00031091
Conditional	CAD	1129	PHACTR1_SMC	SET	49	-0.022971	-0.0046825	0.20869	0.54381
Global	CAD	19254	PHACTR1_SMC	SET	49	0.1279	0.0064441	0.15405	0.20321
Conditional	CAD	1632	PLPP3_SMC	SET	306	-0.0027786	-0.0010849	0.089463	0.51239
Global	CAD	19254	PLPP3_SMC	SET	306	0.081921	0.010245	0.063149	0.097279
Conditional	CAD	2534	COMBINED_SMC	SET	1068	-0.046915	-0.023171	0.053803	0.80835
Global	CAD	19245	COMBINED_SMC	SET	1068	0.080674	0.01847	0.034515	0.0097176
Conditional	CAD	1961	ARHGEF26_EC-SMC	SET	323	-0.036771	-0.013642	0.082527	0.67202
Global	CAD	19254	ARHGEF26_EC-SMC	SET	323	0.099818	0.01282	0.058905	0.045092
Conditional	CAD	989	BCAS3_EC-SMC	SET	292	-0.053635	-0.024478	0.10346	0.69786
Global	CAD	19254	BCAS3_EC-SMC	SET	292	0.15974	0.019523	0.068303	0.0096827
Conditional	CAD	979	EDN1_EC-SMC	SET	420	-0.06461	-0.031994	0.091527	0.75979
Global	CAD	19254	EDN1_EC-SMC	SET	420	0.11082	0.016188	0.054704	0.021404
Conditional	CAD	1440	FN1_EC-SMC	SET	518	-0.084847	-0.040734	0.076455	0.86635
Global	CAD	19254	FN1_EC-SMC	SET	518	0.035757	0.0057857	0.048887	0.23227
Conditional	CAD	238	HDAC9_EC-SMC	SET	20	0.15151	0.042124	0.29812	0.30589
Global	CAD	19254	HDAC9_EC-SMC	SET	20	0.4097	0.013198	0.26513	0.06115
Conditional	CAD	1364	JCAD_EC-SMC	SET	126	0.30992	0.089772	0.13341	0.010164
Global	CAD	19254	JCAD_EC-SMC	SET	126	0.37711	0.030408	0.10329	0.00013117
Conditional	CAD	1491	PHACTR1_EC-SMC	SET	67	-0.041344	-0.0085678	0.17614	0.59277
Global	CAD	19254	PHACTR1_EC-SMC	SET	67	0.11915	0.0070163	0.14025	0.1978
Conditional	CAD	1913	PLPP3_EC-SMC	SET	719	-0.0040486	-0.0019614	0.064072	0.52519
Global	CAD	19254	PLPP3_EC-SMC	SET	719	0.068944	0.013072	0.041894	0.049927
Conditional	CAD	3428	COMBINED_EC-SMC	SET	1640	-0.052468	-0.026213	0.04471	0.87966
Global	CAD	19244	COMBINED_EC-SMC	SET	1640	0.073094	0.020409	0.028642	0.0053614
Conditional	CAD	1791	ARHGEF26_EC-only	SET	193	0.030926	0.0095921	0.10288	0.38187
