Network	CellType	Baits
ARHGEF26_EC	EC	ARHGEF26
BCAS3_EC	EC	BCAS3
EDN1_EC	EC	EDN1
FLT1_EC	EC	FLT1
FN1_EC	EC	FN1
HDAC9_EC	EC	HDAC9
JCAD_EC	EC	JCAD
PHACTR1_EC	EC	PHACTR1
PLPP3_EC	EC	PLPP3
COMBINED_EC	EC	ARHGEF26,BCAS3,EDN1,FLT1,FN1,HDAC9,JCAD,PHACTR1,PLPP3
ADAMTS7_SMC	SMC	ADAMTS7
ARHGEF26_SMC	SMC	ARHGEF26
BCAS3_SMC	SMC	BCAS3
EDN1_SMC	SMC	EDN1
EDNRA_SMC	SMC	EDNRA
FN1_SMC	SMC	FN1
HDAC9_SMC	SMC	HDAC9
JCAD_SMC	SMC	JCAD
PHACTR1_SMC	SMC	PHACTR1
PLPP3_SMC	SMC	PLPP3
COMBINED_SMC	SMC	ADAMTS7,ARHGEF26,BCAS3,EDN1,EDNRA,FN1,HDAC9,JCAD,PHACTR1,PLPP3
ARHGEF26_EC-SMC	EC-SMC	ARHGEF26
BCAS3_EC-SMC	EC-SMC	BCAS3
EDN1_EC-SMC	EC-SMC	EDN1
FN1_EC-SMC	EC-SMC	FN1
HDAC9_EC-SMC	EC-SMC	HDAC9
JCAD_EC-SMC	EC-SMC	JCAD
PHACTR1_EC-SMC	EC-SMC	PHACTR1
PLPP3_EC-SMC	EC-SMC	PLPP3
COMBINED_EC-SMC	EC-SMC	ADAMTS7,ARHGEF26,BCAS3,EDN1,EDNRA,FLT1,FN1,HDAC9,JCAD,PHACTR1,PLPP3
ARHGEF26_EC-only	EC-only	ARHGEF26
BCAS3_EC-only	EC-only	BCAS3
EDN1_EC-only	EC-only	EDN1
FN1_EC-only	EC-only	FN1
HDAC9_EC-only	EC-only	HDAC9
JCAD_EC-only	EC-only	JCAD
PHACTR1_EC-only	EC-only	PHACTR1
PLPP3_EC-only	EC-only	PLPP3
COMBINED_EC-only	EC-only	ARHGEF26,BCAS3,EDN1,FLT1,FN1,HDAC9,JCAD,PHACTR1,PLPP3
ARHGEF26_SMC-only	SMC-only	ARHGEF26
BCAS3_SMC-only	SMC-only	BCAS3
EDN1_SMC-only	SMC-only	EDN1
FN1_SMC-only	SMC-only	FN1
HDAC9_SMC-only	SMC-only	HDAC9
JCAD_SMC-only	SMC-only	JCAD
PHACTR1_SMC-only	SMC-only	PHACTR1
PLPP3_SMC-only	SMC-only	PLPP3
COMBINED_SMC-only	SMC-only	ADAMTS7,ARHGEF26,BCAS3,EDN1,EDNRA,FN1,HDAC9,JCAD,PHACTR1,PLPP3
ARHGEF26_EC-SMC-intersect	EC-SMC-intersect	ARHGEF26
BCAS3_EC-SMC-intersect	EC-SMC-intersect	BCAS3
EDN1_EC-SMC-intersect	EC-SMC-intersect	EDN1
FN1_EC-SMC-intersect	EC-SMC-intersect	FN1
HDAC9_EC-SMC-intersect	EC-SMC-intersect	HDAC9
JCAD_EC-SMC-intersect	EC-SMC-intersect	JCAD
PHACTR1_EC-SMC-intersect	EC-SMC-intersect	PHACTR1
PLPP3_EC-SMC-intersect	EC-SMC-intersect	PLPP3
COMBINED_EC-SMC-intersect	EC-SMC-intersect	ADAMTS7,ARHGEF26,BCAS3,EDN1,EDNRA,FLT1,FN1,HDAC9,JCAD,PHACTR1,PLPP3
