DataSource	Tissue	TissueName	TissueCategory
GTEx_RNA	Adipose_Subcutaneous	Adipose - Subcutaneous	Adipose
GTEx_RNA	Adipose_Visceral_.Omentum.	Adipose - Visceral	Adipose
GTEx_RNA	Adrenal_Gland	Adrenal gland	Endocrine
GTEx_RNA	Artery_Aorta	Artery - Aorta	Cardiovascular
GTEx_RNA	Artery_Coronary	Artery - Coronary	Cardiovascular
GTEx_RNA	Artery_Tibial	Artery - Tibial	Cardiovascular
GTEx_RNA	Bladder	Bladder	Other
GTEx_RNA	Brain_Amygdala	Brain - Amygdala	CNS
GTEx_RNA	Brain_Anterior_cingulate_cortex_.BA24.	Brain - Anterior cingulate cortex	CNS
GTEx_RNA	Brain_Caudate_.basal_ganglia.	Brain - Caudate	CNS
GTEx_RNA	Brain_Cerebellar_Hemisphere	Brain - Cerebellar hemisphere	CNS
GTEx_RNA	Brain_Cerebellum	Brain - Cerebellum	CNS
GTEx_RNA	Brain_Cortex	Brain - Cortex	CNS
GTEx_RNA	Brain_Frontal_Cortex_.BA9.	Brain - Frontal cortex	CNS
GTEx_RNA	Brain_Hippocampus	Brain - Hippocampus	CNS
GTEx_RNA	Brain_Hypothalamus	Brain - Hypothalamus	CNS
GTEx_RNA	Brain_Nucleus_accumbens_.basal_ganglia.	Brain - Nucleus accumbens	CNS
GTEx_RNA	Brain_Putamen_.basal_ganglia.	Brain - Putamen	CNS
GTEx_RNA	Brain_Spinal_cord_.cervical_c.1.	Brain - Spinal cord	CNS
GTEx_RNA	Brain_Substantia_nigra	Brain - Substantia nigra	CNS
GTEx_RNA	Breast_Mammary_Tissue	Breast - Mammary tissue	Other
GTEx_RNA	Cells_EBV.transformed_lymphocytes	Cells - EBV-transformed lymphocytes	Blood/Immune
GTEx_RNA	Cells_Transformed_fibroblasts	Cells - Transformed fibroblasts	Other
GTEx_RNA	Cervix_Ectocervix	Cervix - Ectocervix	Other
GTEx_RNA	Cervix_Endocervix	Cervix - Endocervix	Other
GTEx_RNA	Colon_Sigmoid	Colon - Sigmoid	Digestive
GTEx_RNA	Colon_Transverse	Colon - Transverse	Digestive
GTEx_RNA	Esophagus_Gastroesophageal_Junction	Esophagus - Gastroesophageal junction	Digestive
GTEx_RNA	Esophagus_Mucosa	Esophagus - Mucosa	Digestive
GTEx_RNA	Esophagus_Muscularis	Esophagus - Muscularis	Digestive
GTEx_RNA	Fallopian_Tube	Fallopian tube	Other
GTEx_RNA	Heart_Atrial_Appendage	Heart - Atrial appendage	Cardiovascular
