Interactor	NumBaits	Baits
NCL	8	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, HDAC9, PLPP3, FN1
RPL12	8	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL13A	8	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL6	8	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL7A	8	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
IGF2BP2	7	ADAMTS7, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
LGALS1	7	BCAS3, EDN1, HDAC9, JCAD, PHACTR1, PLPP3, FN1
PDIA6	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, EDNRA, JCAD, PLPP3
RPL13	7	ADAMTS7, ARHGEF26, BCAS3, HDAC9, JCAD, PLPP3, FN1
RPL15	7	ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL21	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, PLPP3, FN1
RPL24	7	ADAMTS7, ARHGEF26, BCAS3, FLT1, JCAD, PLPP3, FN1
RPL27	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, FN1, PLPP3
RPL3	7	ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL30	7	ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL31	7	ADAMTS7, EDN1, FLT1, HDAC9, JCAD, PLPP3, FN1
RPL34	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, FN1, PLPP3
RPL4	7	ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL7	7	ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3, FN1
RPL8	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, PLPP3, FN1
RPLP2	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, PLPP3, FN1
RPS8	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, JCAD, PLPP3
RRBP1	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FN1, JCAD, PLPP3
ZC3HAV1	7	ADAMTS7, ARHGEF26, BCAS3, EDN1, FLT1, FN1, PLPP3
