Bait	GeneName	CellTypes	InWeb	BioPlex	iRefIndex	HuRI	STRING	PCNet
ADAMTS7	ACLY	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ACTBL2	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ACTR2	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ACTR3	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	AKAP9	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ALB	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ALDOA	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	AP2B1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARF4	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARGLU1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARHGEF7	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARL6IP4	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARPC1A	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARPC1B	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARPC2	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARPC3	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARPC4	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ARPC5	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ATXN2	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	ATXN2L	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	BCLAF1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CAPRIN1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CAPZB	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CAV1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CAVIN1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CAVIN2	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CAVIN3	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CEP170	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CORO2B	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CPSF6	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CPSF7	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	CTTN	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	DBN1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	DCD	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	DDX1	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
ADAMTS7	DDX46	SMC	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
