Dataset	list_name	successInSample_count	sample_count	notSample_count	success_count	population_count	pvalue
ARHGEF26_EC	InWeb	0	0	1793	204	1793	1
ARHGEF26_EC	BioPlex	0	1	1609	183	1610	1
ARHGEF26_EC	STRING	4	32	1736	201	1768	0.502035596864986
ARHGEF26_EC	PCNet	1	11	1798	205	1809	0.73470489712938
BCAS3_EC	InWeb	0	2	803	261	805	1
BCAS3_EC	BioPlex	1	1	734	244	735	0.331972789115646
BCAS3_EC	iRefIndex	0	2	824	270	826	1
BCAS3_EC	HuRI	0	0	433	130	433	1
BCAS3_EC	STRING	1	3	790	259	793	0.695206819390774
BCAS3_EC	PCNet	5	14	793	262	807	0.496901409606932
EDN1_EC	InWeb	0	0	601	227	601	1
EDN1_EC	iRefIndex	0	2	617	232	619	1
EDN1_EC	STRING	2	7	584	223	591	0.811352337212534
EDN1_EC	PCNet	12	24	579	229	603	0.152997187830935
FLT1_EC	InWeb	0	6	436	197	442	1
FLT1_EC	BioPlex	1	1	407	188	408	0.46078431372549
FLT1_EC	iRefIndex	0	4	452	197	456	1
FLT1_EC	STRING	1	9	428	196	437	0.995592609226385
FLT1_EC	PCNet	3	24	418	197	442	0.999900900580761
FN1_EC	InWeb	62	266	558	209	824	0.84668992629422
FN1_EC	BioPlex	2	4	736	185	740	0.261432173464146
FN1_EC	iRefIndex	5	17	823	213	840	0.43991243824958
FN1_EC	HuRI	0	0	416	95	416	1
FN1_EC	STRING	23	55	758	204	813	0.00361508299841044
FN1_EC	PCNet	78	320	514	213	834	0.754411669633242
HDAC9_EC	InWeb	0	0	29	1	29	1
HDAC9_EC	BioPlex	0	0	27	1	27	1
HDAC9_EC	iRefIndex	0	0	28	1	28	1
HDAC9_EC	STRING	0	8	20	1	28	1
HDAC9_EC	PCNet	0	2	29	1	31	1
JCAD_EC	iRefIndex	0	1	1327	34	1328	1
JCAD_EC	PCNet	1	25	1269	33	1294	0.478983912648996
PHACTR1_EC	InWeb	1	2	1254	18	1256	0.0284682924353544
PHACTR1_EC	iRefIndex	0	2	1289	20	1291	1
PHACTR1_EC	HuRI	0	0	663	8	663	1
PHACTR1_EC	STRING	1	6	1233	18	1239	0.0842258022550938
PHACTR1_EC	PCNet	0	2	1261	19	1263	1
PLPP3_EC	InWeb	3	6	1174	541	1180	0.575785135824096
PLPP3_EC	iRefIndex	2	3	1214	551	1217	0.429282122097446
PLPP3_EC	PCNet	12	24	1164	545	1188	0.417853852781121
ADAMTS7_SMC	InWeb	0	0	486	173	486	1
ADAMTS7_SMC	BioPlex	0	0	450	168	450	1
ADAMTS7_SMC	iRefIndex	0	0	510	178	510	1
ADAMTS7_SMC	STRING	1	3	476	172	479	0.737651942902942
ADAMTS7_SMC	PCNet	0	2	486	176	488	1
ARHGEF26_SMC	InWeb	1	1	711	132	712	0.185393258426966
ARHGEF26_SMC	BioPlex	0	0	648	125	648	1
ARHGEF26_SMC	STRING	1	8	694	130	702	0.807467991271965
ARHGEF26_SMC	PCNet	2	5	713	131	718	0.226849218245721
BCAS3_SMC	InWeb	0	2	423	42	425	1
BCAS3_SMC	BioPlex	0	0	381	38	381	1
BCAS3_SMC	iRefIndex	0	2	438	43	440	1
BCAS3_SMC	HuRI	0	0	233	20	233	1
BCAS3_SMC	STRING	0	1	418	41	419	1
BCAS3_SMC	PCNet	0	7	420	42	427	1
EDN1_SMC	InWeb	1	2	812	212	814	0.453291265099383
EDN1_SMC	iRefIndex	1	1	846	228	847	0.269185360094451
EDN1_SMC	STRING	2	8	795	209	803	0.659217163893248
EDN1_SMC	PCNet	17	50	765	210	815	0.115329814608875
EDNRA_SMC	InWeb	1	3	1178	203	1181	0.432406352547909
EDNRA_SMC	BioPlex	0	0	1052	172	1052	1
EDNRA_SMC	iRefIndex	1	5	1211	202	1216	0.597460519361293
EDNRA_SMC	STRING	0	5	1157	197	1162	1
EDNRA_SMC	PCNet	10	68	1126	203	1194	0.74765445448366
FN1_SMC	InWeb	122	364	874	366	1238	0.0294104395119565
FN1_SMC	BioPlex	3	8	1086	318	1094	0.424531675241513
FN1_SMC	iRefIndex	7	37	1217	374	1254	0.95623961662532
FN1_SMC	HuRI	0	0	632	175	632	1
FN1_SMC	STRING	19	88	1116	354	1204	0.966415225815737
FN1_SMC	PCNet	157	485	766	374	1251	0.0726583316255093
HDAC9_SMC	InWeb	0	0	229	20	229	1
HDAC9_SMC	BioPlex	0	1	208	18	209	1
HDAC9_SMC	iRefIndex	0	0	235	20	235	1
HDAC9_SMC	STRING	0	10	217	20	227	1
HDAC9_SMC	PCNet	0	6	222	20	228	1
JCAD_SMC	iRefIndex	0	0	267	94	267	1
JCAD_SMC	PCNet	1	5	258	96	263	0.899035361032064
PHACTR1_SMC	InWeb	1	3	1130	47	1133	0.11945834818921
PHACTR1_SMC	iRefIndex	0	2	1164	50	1166	1
PHACTR1_SMC	HuRI	0	0	608	28	608	1
PHACTR1_SMC	STRING	1	6	1116	45	1122	0.218203589350244
PHACTR1_SMC	PCNet	0	2	1140	46	1142	1
PLPP3_SMC	InWeb	2	6	1639	304	1645	0.307279730283943
PLPP3_SMC	iRefIndex	1	3	1687	316	1690	0.462816598531472
PLPP3_SMC	PCNet	13	51	1607	307	1658	0.132763277353008
