CellType	variable	value	n	perc
EC	InWeb	FALSE	1685	96.2307252998287
EC	InWeb	TRUE	66	3.76927470017133
EC	BioPlex	FALSE	1747	99.7715591090805
EC	BioPlex	TRUE	4	0.228440890919475
EC	iRefIndex	FALSE	1744	99.6002284408909
EC	iRefIndex	TRUE	7	0.399771559109081
EC	HuRI	FALSE	1751	100
EC	STRING	FALSE	1719	98.1724728726442
EC	STRING	TRUE	32	1.8275271273558
EC	PCNet	FALSE	1639	93.6036550542547
EC	PCNet	TRUE	112	6.39634494574529
EC-SMC	InWeb	FALSE	3012	94.8064211520302
EC-SMC	InWeb	TRUE	165	5.19357884796978
EC-SMC	BioPlex	FALSE	3170	99.7796663519043
EC-SMC	BioPlex	TRUE	7	0.220333648095688
EC-SMC	iRefIndex	FALSE	3162	99.5278564683664
EC-SMC	iRefIndex	TRUE	15	0.472143531633617
EC-SMC	HuRI	FALSE	3177	100
EC-SMC	STRING	FALSE	3126	98.3947119924457
EC-SMC	STRING	TRUE	51	1.6052880075543
EC-SMC	PCNet	FALSE	2901	91.3125590179415
EC-SMC	PCNet	TRUE	276	8.68744098205855
SMC	InWeb	FALSE	1548	92.36276849642
SMC	InWeb	TRUE	128	7.63723150357995
SMC	BioPlex	FALSE	1673	99.8210023866348
SMC	BioPlex	TRUE	3	0.178997613365155
SMC	iRefIndex	FALSE	1666	99.4033412887828
SMC	iRefIndex	TRUE	10	0.596658711217184
SMC	HuRI	FALSE	1676	100
SMC	STRING	FALSE	1652	98.5680190930788
SMC	STRING	TRUE	24	1.43198090692124
SMC	PCNet	FALSE	1476	88.0668257756563
SMC	PCNet	TRUE	200	11.9331742243437
