Interactor	NumBaits	Baits
CALM2	5	BCAS3, EDN1, FLT1, FN1, PHACTR1
MYO1D	5	BCAS3, EDN1, FLT1, FN1, PHACTR1
RPLP0	5	BCAS3, EDN1, FLT1, PLPP3, FN1
SQOR	5	ARHGEF26, BCAS3, FN1, PHACTR1, PLPP3
ZC3HAV1	5	ARHGEF26, BCAS3, EDN1, FLT1, PLPP3
ACTB	4	EDN1, FLT1, FN1, PHACTR1
ATP5F1A	4	BCAS3, EDN1, FN1, PLPP3
CLTC	4	ARHGEF26, EDN1, FLT1, FN1
DDX60	4	ARHGEF26, BCAS3, EDN1, PLPP3
DYNC1H1	4	BCAS3, EDN1, PLPP3, FN1
HSP90B1	4	BCAS3, EDN1, FN1, PLPP3
LTBP1	4	BCAS3, EDN1, FLT1, PLPP3
MYH9	4	ARHGEF26, EDN1, FLT1, FN1
MYL6	4	ARHGEF26, EDN1, FLT1, FN1
NCL	4	ARHGEF26, BCAS3, FLT1, PLPP3
NPM1	4	ARHGEF26, BCAS3, FLT1, FN1
RPL12	4	BCAS3, FLT1, PLPP3, FN1
RPLP2	4	BCAS3, FLT1, PLPP3, FN1
SRSF9	4	BCAS3, EDN1, FLT1, FN1
TRIM21	4	ARHGEF26, BCAS3, EDN1, FN1
TUFM	4	EDN1, FLT1, PLPP3, FN1
ACOT9	3	BCAS3, FN1, PLPP3
ACTR2	3	EDN1, FLT1, FN1
AHNAK	3	EDN1, FLT1, FN1
ANKFY1	3	BCAS3, EDN1, PLPP3
AP2A1	3	BCAS3, FLT1, PLPP3
AP2M1	3	BCAS3, FLT1, PLPP3
ASPH	3	BCAS3, EDN1, PLPP3
ATP1A1	3	BCAS3, FN1, PLPP3
CALU	3	BCAS3, EDN1, PLPP3
CAPZA1	3	BCAS3, EDN1, FLT1
CAPZA2	3	BCAS3, EDN1, FLT1
CAPZB	3	BCAS3, EDN1, FLT1
CARD6	3	FN1, JCAD, PLPP3
CPSF6	3	BCAS3, EDN1, FLT1
CTTN	3	EDN1, FLT1, PLPP3
DDX17	3	EDN1, FLT1, PLPP3
DHX9	3	ARHGEF26, EDN1, FLT1
DNAJC10	3	BCAS3, EDN1, PLPP3
EIF3E	3	BCAS3, JCAD, PLPP3
ELMO2	3	BCAS3, EDN1, PLPP3
ERH	3	ARHGEF26, EDN1, FLT1
FAM120A	3	BCAS3, FLT1, PLPP3
HELZ2	3	BCAS3, FN1, PLPP3
HNRNPF	3	BCAS3, FLT1, PLPP3
HNRNPL	3	BCAS3, FLT1, PLPP3
HNRNPLL	3	ARHGEF26, BCAS3, PLPP3
HSPA9	3	BCAS3, EDN1, FN1
IFI16	3	ARHGEF26, EDN1, PLPP3
IGF2BP2	3	BCAS3, FLT1, PLPP3
KHDRBS1	3	BCAS3, FLT1, PLPP3
KIF11	3	BCAS3, EDN1, PHACTR1
KIF1B	3	ARHGEF26, FN1, PLPP3
KTN1	3	BCAS3, EDN1, PLPP3
LGALS1	3	BCAS3, PLPP3, FN1
LRRFIP2	3	ARHGEF26, EDN1, FLT1
LUZP1	3	BCAS3, EDN1, PLPP3
MAP1S	3	ARHGEF26, BCAS3, PLPP3
MAP2	3	BCAS3, EDN1, PLPP3
MAP4	3	EDN1, PLPP3, FN1
MRPL11	3	BCAS3, EDN1, FN1
MRPS35	3	BCAS3, EDN1, PLPP3
MYL12A	3	ARHGEF26, EDN1, FLT1
OAS2	3	ARHGEF26, BCAS3, PLPP3
OASL	3	ARHGEF26, BCAS3, PLPP3
PDIA6	3	BCAS3, EDN1, PLPP3
PGAM5	3	EDN1, FLT1, FN1
PLOD1	3	EDN1, FN1, PHACTR1
PRDX1	3	BCAS3, EDN1, FN1
PRKAR1A	3	BCAS3, FN1, PLPP3
PSMC4	3	BCAS3, JCAD, PLPP3
RBM39	3	EDN1, FN1, PHACTR1
RNF213	3	ARHGEF26, BCAS3, PLPP3
RPL10	3	BCAS3, FLT1, PLPP3
RPL10A	3	BCAS3, FLT1, PLPP3
RPL13A	3	BCAS3, FLT1, PLPP3
RPL15	3	BCAS3, FLT1, PLPP3
RPL18	3	BCAS3, FLT1, PLPP3
RPL18A	3	ARHGEF26, BCAS3, PLPP3
RPL19	3	BCAS3, FLT1, PLPP3
RPL21	3	BCAS3, FLT1, PLPP3
RPL23A	3	BCAS3, FLT1, PLPP3
RPL24	3	BCAS3, FLT1, PLPP3
RPL27	3	BCAS3, FLT1, PLPP3
RPL27A	3	BCAS3, EDN1, PLPP3
RPL29	3	BCAS3, FLT1, PLPP3
RPL3	3	BCAS3, FLT1, PLPP3
RPL30	3	BCAS3, FLT1, PLPP3
RPL31	3	EDN1, FLT1, PLPP3
RPL34	3	BCAS3, FLT1, PLPP3
RPL35A	3	BCAS3, FN1, PLPP3
RPL36	3	BCAS3, FLT1, PLPP3
RPL4	3	BCAS3, FLT1, PLPP3
RPL6	3	BCAS3, FLT1, PLPP3
RPL7	3	BCAS3, FLT1, PLPP3
RPL7A	3	BCAS3, FLT1, PLPP3
RPL8	3	BCAS3, FLT1, PLPP3
RPS11	3	BCAS3, FLT1, PLPP3
RPS13	3	BCAS3, FLT1, PLPP3
RPS26	3	BCAS3, FLT1, PLPP3
RPS3A	3	BCAS3, FLT1, PLPP3
RPS4X	3	BCAS3, FLT1, PLPP3
RPS4Y1	3	BCAS3, FLT1, PLPP3
RPS8	3	BCAS3, FLT1, PLPP3
RRBP1	3	BCAS3, EDN1, PLPP3
SERPINB9	3	ARHGEF26, EDN1, PLPP3
SF3A2	3	BCAS3, FLT1, PLPP3
SF3B3	3	EDN1, FLT1, PHACTR1
SLC25A1	3	BCAS3, EDN1, PLPP3
SLC25A3	3	BCAS3, FN1, PLPP3
SLC25A5	3	BCAS3, PLPP3, FN1
SNRPA	3	BCAS3, EDN1, PLPP3
SNRPB2	3	BCAS3, FLT1, PLPP3
SRP14	3	BCAS3, PLPP3, FN1
SRSF7	3	EDN1, FLT1, FN1
STOM	3	BCAS3, PHACTR1, PLPP3
SVIL	3	BCAS3, EDN1, FLT1
TCP1	3	BCAS3, PLPP3, FN1
TMOD3	3	EDN1, FLT1, FN1
TNRC6B	3	EDN1, FN1, PLPP3
TRA2B	3	EDN1, FLT1, FN1
TRIM25	3	ARHGEF26, EDN1, PLPP3
TRIP6	3	ARHGEF26, FN1, PLPP3
WARS1	3	ARHGEF26, BCAS3, PLPP3
YBX1	3	BCAS3, PLPP3, FN1
ABCF2	2	FN1, PLPP3
ABLIM3	2	FLT1, PLPP3
ACAP2	2	BCAS3, PLPP3
ACTBL2	2	EDN1, FLT1
ACTC1	2	FLT1, PHACTR1
ACTR1A	2	EDN1, PLPP3
ACTR3	2	EDN1, FLT1
ADAR	2	BCAS3, FN1
AGO2	2	EDN1, FN1
AKAP11	2	BCAS3, PLPP3
ALYREF	2	EDN1, FN1
AP2B1	2	FLT1, PLPP3
ARHGEF2	2	FN1, PLPP3
ARPC1B	2	EDN1, FLT1
ARPC2	2	EDN1, FLT1
ARPC3	2	EDN1, FLT1
ARPC5	2	EDN1, FLT1
ARPC5L	2	EDN1, FLT1
ATP2A2	2	FN1, PLPP3
ATP5F1C	2	EDN1, FN1
ATP5PO	2	BCAS3, PLPP3
ATP6V1A	2	ARHGEF26, PLPP3
BAG2	2	FLT1, PLPP3
BCLAF1	2	EDN1, FLT1
BMS1	2	BCAS3, PLPP3
CANX	2	EDN1, PLPP3
CAV1	2	EDN1, FN1
CAVIN1	2	EDN1, FN1
CAVIN2	2	EDN1, FN1
CBR1	2	BCAS3, EDN1
CCAR2	2	BCAS3, PLPP3
CCT2	2	BCAS3, EDN1
CCT3	2	ARHGEF26, PLPP3
CCT5	2	BCAS3, PLPP3
CCT6A	2	PLPP3, FN1
CCT8	2	BCAS3, FN1
CDK17	2	FLT1, PLPP3
CELF1	2	FN1, PLPP3
CEP131	2	FN1, JCAD
CHERP	2	EDN1, FLT1
CIRBP	2	EDN1, PLPP3
CKAP4	2	BCAS3, PLPP3
CKAP5	2	BCAS3, PLPP3
CLNS1A	2	EDN1, PLPP3
CLTA	2	ARHGEF26, FLT1
COPA	2	BCAS3, EDN1
CREBBP	2	EDN1, FN1
CSDE1	2	BCAS3, PLPP3
CSTB	2	ARHGEF26, EDN1
DAPK3	2	BCAS3, PLPP3
DARS1	2	ARHGEF26, BCAS3
DCTN1	2	BCAS3, PLPP3
DCTN2	2	BCAS3, PLPP3
DCTN3	2	BCAS3, PLPP3
DDX3Y	2	BCAS3, EDN1
DHX15	2	EDN1, FLT1
DHX30	2	PLPP3, FN1
DHX35	2	EDN1, PLPP3
DNAJA1	2	JCAD, PLPP3
DNAJC19	2	BCAS3, PLPP3
DNAJC8	2	BCAS3, PLPP3
DOCK4	2	BCAS3, EDN1
DOCK9	2	ARHGEF26, JCAD
DPP7	2	BCAS3, EDN1
DSTN	2	EDN1, PLPP3
DTX3L	2	ARHGEF26, PLPP3
DYNC1I2	2	BCAS3, PLPP3
EEF1B2	2	BCAS3, PLPP3
EEF1D	2	BCAS3, PLPP3
EEF1G	2	BCAS3, PLPP3
EEF2	2	PLPP3, FN1
EHD4	2	ARHGEF26, PLPP3
EIF2S2	2	BCAS3, PLPP3
EIF2S3	2	PLPP3, FN1
EIF3D	2	BCAS3, PLPP3
EIF3I	2	BCAS3, PLPP3
EIF3L	2	BCAS3, PLPP3
EIF4A3	2	EDN1, FLT1
EIF4G1	2	BCAS3, PLPP3
EXOSC10	2	BCAS3, FN1
FAM98A	2	FLT1, PLPP3
FAU	2	BCAS3, PLPP3
FILIP1L	2	BCAS3, PLPP3
FKBP11	2	BCAS3, PLPP3
FLNA	2	BCAS3, EDN1
FLNC	2	BCAS3, JCAD
FLOT1	2	EDN1, PLPP3
FLOT2	2	EDN1, PLPP3
FUS	2	FLT1, FN1
FXR1	2	EDN1, FLT1
FXR2	2	EDN1, FLT1
G3BP1	2	BCAS3, PLPP3
GARS1	2	ARHGEF26, PLPP3
GIMAP1	2	ARHGEF26, PLPP3
GIMAP8	2	BCAS3, FN1
GSN	2	EDN1, FN1
GTF2I	2	FN1, PLPP3
H1-0	2	BCAS3, FN1
HADHA	2	PLPP3, FN1
HADHB	2	FN1, PLPP3
HCLS1	2	BCAS3, PLPP3
HDLBP	2	ARHGEF26, PLPP3
HLA-C	2	ARHGEF26, FN1
HLTF	2	ARHGEF26, PLPP3
HNRNPA3	2	ARHGEF26, BCAS3
HNRNPAB	2	ARHGEF26, FN1
HNRNPDL	2	ARHGEF26, BCAS3
HNRNPK	2	FLT1, PLPP3
HNRNPU	2	EDN1, FLT1
HSD17B10	2	ARHGEF26, FLT1
HSD17B4	2	BCAS3, FN1
HSP90AB1	2	PLPP3, FN1
HSPA5	2	BCAS3, EDN1
HSPB1	2	EDN1, PLPP3
HSPD1	2	BCAS3, FN1
HSPG2	2	PLPP3, FN1
IDH2	2	FLT1, PLPP3
IFIT3	2	ARHGEF26, PLPP3
IGF2BP1	2	BCAS3, PLPP3
IGF2BP3	2	FLT1, PLPP3
IMPDH2	2	EDN1, PLPP3
ISG15	2	ARHGEF26, BCAS3
KCTD5	2	BCAS3, EDN1
LAMB1	2	FN1, PLPP3
LAMC1	2	FN1, PLPP3
LARP4B	2	FN1, PLPP3
LGALS3	2	EDN1, PLPP3
LMO7	2	EDN1, FN1
LOXL2	2	PLPP3, FN1
LRRFIP1	2	JCAD, PLPP3
MACF1	2	EDN1, FN1
MAP3K7	2	EDN1, FN1
MCAM	2	BCAS3, PLPP3
MOB2	2	BCAS3, EDN1
MOV10	2	FLT1, PLPP3
MRPS22	2	EDN1, PLPP3
MRPS7	2	BCAS3, PLPP3
MSN	2	BCAS3, PLPP3
MTCL1	2	ARHGEF26, PLPP3
MTDH	2	BCAS3, PLPP3
MVP	2	FN1, PLPP3
MYCBP2	2	FN1, PLPP3
MYH10	2	ARHGEF26, EDN1
MYH11	2	ARHGEF26, FLT1
MYL6B	2	ARHGEF26, FLT1
MYL9	2	ARHGEF26, FLT1
MYO1B	2	EDN1, FLT1
MYO1E	2	FN1, PLPP3
MYO5A	2	EDN1, FN1
MYO6	2	FLT1, FN1
MYO9B	2	BCAS3, PLPP3
MYOF	2	BCAS3, PLPP3
NDUFA4	2	BCAS3, PLPP3
NT5C2	2	ARHGEF26, PHACTR1
NUDT21	2	BCAS3, PLPP3
P3H1	2	EDN1, PLPP3
P4HB	2	EDN1, FN1
PABPN1	2	EDN1, FLT1
PARP9	2	BCAS3, PLPP3
PCBP2	2	BCAS3, PLPP3
PCM1	2	FN1, JCAD
PCNA	2	BCAS3, PLPP3
