IP1	IP2	IP1_Det	IP2_Det	Overlap_Det	Union_Det	Jaccard_Det	IP1_Ints	IP2_Ints	Overlap_Ints	Union_Ints	Jaccard_Ints	IP1_Ints_inter	IP2_Ints_inter	Overlap_Ints_inter	Union_Ints_inter	Jaccard_Ints_inter	OverlapP_inter	Overlap_Ints_List	FC_Corr	FDR_Corr
mB.EC.ARHGEF26	m9.EC.HDAC9	1882	33	26	1889	0.0137638962413976	210	1	0	211	0	2	1	0	3	0	1		0.266699788090482	-0.230842953232525
mB.EC.ARHGEF26	m11.EC.FN1	1882	862	533	2211	0.241067390321122	210	225	13	422	0.0308056872037915	58	125	13	170	0.0764705882352941	0.633526927803805	RPA1,TRIM21,HLA-C,PKM,SCRIB,NPM1,SQOR,MYL6,MYH9,CLTC,KIF1B,HNRNPAB,TRIP6	0.00272653502882103	0.021760439378819
mB.EC.ARHGEF26	m12.EC.EDN1	1882	626	548	1960	0.279591836734694	210	234	17	427	0.0398126463700234	43	202	17	228	0.0745614035087719	0.410882476485506	TRIM21,SCYL2,DDX60,SERPINB9,IFI16,ZC3HAV1,PPM1B,CSTB,MYL6,MYH9,TRIM25,MYL12A,CLTC,MYH10,ERH,DHX9,LRRFIP2	0.0893204473414152	0.106265172169035
mB.EC.ARHGEF26	m13.EC.PHACTR1	1882	1310	969	2223	0.435897435897436	210	21	2	229	0.00873362445414847	107	15	2	120	0.0166666666666667	0.506655986575742	SQOR,NT5C2	-0.0490733449761735	0.0111080970066351
mB.EC.ARHGEF26	m15.EC.FLT1	1882	461	359	1984	0.180947580645161	210	198	17	391	0.0434782608695652	31	155	17	169	0.100591715976331	0.11896856140502	NPM1,ZC3HAV1,MYH11,MYL6,MYL9,MYH9,CLTA,MYL12A,NCL,MYL6B,CLTC,ERH,HSD17B10,DHX9,LRRFIP2,PRPF6,PRPF8	0.0340750922587192	0.0505153725309547
mB.EC.ARHGEF26	m15.EC.PLPP3	1882	1233	912	2203	0.413980935088516	210	556	35	731	0.0478796169630643	106	429	35	500	0.07	0.999344434685677	OAS2,IFIT3,DDX60,S100A10,RNF213,HLTF,OASL,SERPINB9,DTX3L,WARS1,IFI16,TARDBP,GARS1,ZC3HAV1,SQOR,SHANK3,HDLBP,PPM1G,TRIM25,NCL,SNTB2,PTBP1,RPL18A,SLAIN2,MTCL1,STAT3,KIF1B,GIMAP1,EHD4,VAPA,MAP1S,CCT3,ATP6V1A,TRIP6,HNRNPLL	-0.0378425238607057	-0.0121791182132079
mB.EC.ARHGEF26	m17.EC.BCAS3	1882	837	658	2061	0.319262493934983	210	271	23	458	0.0502183406113537	57	230	23	264	0.0871212121212121	0.225508483181387	OAS2,ISG15,SAMHD1,TRIM21,DDX60,RNF213,OASL,USP15,WARS1,NPM1,ZC3HAV1,SQOR,SSB,HNRNPDL,NCL,XRCC5,RPL18A,XRCC6,DARS1,RAD50,MAP1S,HNRNPA3,HNRNPLL	0.24560903105845	0.0702709231166883
mB.EC.ARHGEF26	m17.EC.JCAD	1882	1344	809	2417	0.334712453454696	210	35	1	244	0.00409836065573771	85	14	1	98	0.0102040816326531	0.791427595373295	DOCK9	-0.0520405563308903	0.044567445350595
mB.EC.ARHGEF26	mB.SMC.ADAMTS7	1882	514	405	1991	0.203415369161226	210	178	7	381	0.0183727034120735	31	151	7	175	0.04	0.978006803182547	S100A10,ZC3HAV1,HDLBP,YLPM1,NCL,PTBP1,ERH	-0.067465855236741	-0.0634331515838291
mB.EC.ARHGEF26	mB.SMC.EDN1	1882	854	737	1999	0.368684342171086	210	230	31	409	0.0757946210268949	80	191	31	240	0.129166666666667	0.00522420601533579	OAS2,ISG15,IFIT3,SAMHD1,TRIM21,OAS3,SCYL2,MX2,S100A10,EIF2AK2,HLA-B,HLA-C,PKM,STAT1,USP15,NPM1,ZC3HAV1,HNRNPC,YLPM1,NCL,NT5C2,XRCC5,PTBP1,RPL18A,CLTC,XRCC6,DHX9,HNRNPA3,HNRNPAB,PRPF8,PFKFB3	0.296484707336114	0.138959332275271
mB.EC.ARHGEF26	m5.SMC.BCAS3	1882	445	378	1949	0.193945613134941	210	44	2	252	0.00793650793650794	29	37	2	64	0.03125	0.802590857215726	EIF2AK2,ATP6V1A	0.00147662621758584	-0.00648546017266527
mB.EC.ARHGEF26	m6.SMC.HDAC9	1882	237	200	1919	0.104220948410631	210	20	2	228	0.0087719298245614	20	17	2	35	0.0571428571428571	0.527004275734228	FGF2,NCL	0.032845109163719	0.0586202740674709
