Interactor	NumBaits	Baits
RRBP1	6	ADAMTS7, ARHGEF26, EDN1, FN1, JCAD, PLPP3
CEP170	5	ADAMTS7, EDN1, FN1, JCAD, PLPP3
EEF1G	5	ADAMTS7, ARHGEF26, JCAD, PLPP3, FN1
H4-16	5	ARHGEF26, EDN1, FN1, PHACTR1, PLPP3
LOXL2	5	ARHGEF26, BCAS3, EDN1, PLPP3, FN1
MVP	5	ARHGEF26, EDN1, EDNRA, FN1, PLPP3
NCL	5	ADAMTS7, ARHGEF26, EDN1, HDAC9, FN1
PDIA6	5	ADAMTS7, ARHGEF26, EDNRA, JCAD, PLPP3
RPL13	5	ADAMTS7, ARHGEF26, HDAC9, JCAD, FN1
RPL13A	5	ADAMTS7, ARHGEF26, EDN1, JCAD, FN1
RPL6	5	ADAMTS7, ARHGEF26, EDN1, JCAD, FN1
RPL7A	5	ADAMTS7, ARHGEF26, EDN1, JCAD, FN1
RPS25	5	ADAMTS7, EDN1, HDAC9, JCAD, PLPP3
RPS8	5	ADAMTS7, ARHGEF26, EDN1, JCAD, PLPP3
ARL6IP4	4	ADAMTS7, BCAS3, EDNRA, FN1
CAVIN1	4	ADAMTS7, FN1, JCAD, PLPP3
CPSF7	4	ADAMTS7, EDN1, EDNRA, FN1
EEF1B2	4	ADAMTS7, ARHGEF26, EDN1, PLPP3
EEF1D	4	ADAMTS7, ARHGEF26, EDN1, PLPP3
EIF3E	4	ARHGEF26, BCAS3, EDN1, PLPP3
IGF2BP2	4	ADAMTS7, EDN1, JCAD, FN1
IGF2BP3	4	ADAMTS7, EDN1, JCAD, FN1
LDHA	4	ADAMTS7, ARHGEF26, EDN1, FN1
LGALS1	4	EDN1, HDAC9, JCAD, PHACTR1
MAP1A	4	ADAMTS7, BCAS3, EDN1, FN1
MAP4	4	EDN1, JCAD, PLPP3, FN1
NPM1	4	ARHGEF26, EDN1, PHACTR1, FN1
PUF60	4	ADAMTS7, BCAS3, EDNRA, FN1
RPL12	4	ADAMTS7, ARHGEF26, EDN1, JCAD
RPL15	4	ARHGEF26, EDN1, JCAD, FN1
RPL21	4	ADAMTS7, ARHGEF26, EDN1, FN1
