Network	DataSource	Tissue	TissueCategory	NetType	Background	PopCount	NetCount	TissueCount	OverlapCount	OverlapP	OverlapGenes
EC	RNA	Adipose - Subcutaneous	Adipose	Interactors	Global	20015	1129	2251	213	6.43572295989303e-15	RPL22,MYOF,CDC5L,LGALS3,IFIT5,SNX33,ERP44,LAMB2,BTF3,LAMA4,VPS13C,PCBP2,SRSF11,S100A6,EIF3G,GIMAP1,FBN1,SHANK3,SH3GLB1,BCLAF1,ZFP36L1,AKAP12,RPLP2,RPL35A,MCAM,CD44,RASIP1,RPS15A,ACAP2,CAPZA2,WDR11,WDR26,ARHGAP29,S100A10,CAVIN2,DOCK9,SH3GL1,ANXA2,SNTB2,GNA13,TNKS1BP1,HMGB1,RPS14,PSMB1,SAMHD1,MED13L,TRA2B,TUBB6,GPX4,PML,EIF4B,WTIP,RPL27,NAV1,FGD4,PHLDB1,LGALS1,OS9,EIF3E,CAVIN1,ROCK1,SH3PXD2B,PEAK1,EHD4,JAK1,CAV1,SF3A1,PARP4,FGD5,EIF3D,TINAGL1,DDX58,RPS13,MYO1C,RPL26,SRSF3,SCD,SPTBN1,PPP2R2A,RRAS2,NID1,CARD6,UTRN,XRN2,USP15,ESYT2,PDCL,MMRN1,FASN,IFI16,RPS6,TAL1,GFPT1,DICER1,PABPC1,SEC11A,PFKFB3,LAMC1,ERAP1,NECAP2,DAB2,SSB,VIM,SNAP23,DDX42,RTN4,SF3B1,LAP3,ABLIM3,TWF2,MAML2,MKLN1,STOM,MYH9,MYL12B,MLKL,PATL1,ATP6V0A2,MYCBP2,GNAI2,RNH1,FRMD4A,PIK3C2A,RPS27,PSMD8,RPL32,PARP12,CCDC50,SERBP1,RPS12,CAST,RPL5,RAB7A,DDX60L,CTNNA1,CRTC3,LSM8,RCL1,LOXL2,GSN,SRSF4,ASPH,AHNAK,WDR61,RPL29,RPL23,MAST4,PXDN,RPL34,PTBP1,DERL1,YES1,MX2,TJP2,RPS25,STX12,SLFN5,HIC1,FNDC3B,TENT2,TRIP4,DOCK6,XRN1,DDX60,SUN2,RPL21,DHX15,PCBP1,ECD,MYO1E,STK38,ARCN1,HLA-E,MYO1B,PLPP1,RPL19,LMNA,PHLDB2,RPL12,SMNDC1,TMOD3,MAPKAPK5,S100A13,PRKAR2B,STAT3,NCBP3,GBE1,RBMS3,TAOK2,GIMAP8,TCP1,HIP1,PIBF1,MMRN2,HNRNPUL1,CRTAP,RPS11,TAF2,EHD2,RPS9,TRIOBP,RPL7,ANGPTL4,HSPG2,TMEM214,TAGLN2,MYCT1,RPL30,TAP2,SLC25A1,RPS20,FGF2,PRDX6
EC	RNA	Adipose - Subcutaneous	Adipose	Interactors	Conditional	2769	1129	522	213	0.512424575343921	RPL22,MYOF,CDC5L,LGALS3,IFIT5,SNX33,ERP44,LAMB2,BTF3,LAMA4,VPS13C,PCBP2,SRSF11,S100A6,EIF3G,GIMAP1,FBN1,SHANK3,SH3GLB1,BCLAF1,ZFP36L1,AKAP12,RPLP2,RPL35A,MCAM,CD44,RASIP1,RPS15A,ACAP2,CAPZA2,WDR11,WDR26,ARHGAP29,S100A10,CAVIN2,DOCK9,SH3GL1,ANXA2,SNTB2,GNA13,TNKS1BP1,HMGB1,RPS14,PSMB1,SAMHD1,MED13L,TRA2B,TUBB6,GPX4,PML,EIF4B,WTIP,RPL27,NAV1,FGD4,PHLDB1,LGALS1,OS9,EIF3E,CAVIN1,ROCK1,SH3PXD2B,PEAK1,EHD4,JAK1,CAV1,SF3A1,PARP4,FGD5,EIF3D,TINAGL1,DDX58,RPS13,MYO1C,RPL26,SRSF3,SCD,SPTBN1,PPP2R2A,RRAS2,NID1,CARD6,UTRN,XRN2,USP15,ESYT2,PDCL,MMRN1,FASN,IFI16,RPS6,TAL1,GFPT1,DICER1,PABPC1,SEC11A,PFKFB3,LAMC1,ERAP1,NECAP2,DAB2,SSB,VIM,SNAP23,DDX42,RTN4,SF3B1,LAP3,ABLIM3,TWF2,MAML2,MKLN1,STOM,MYH9,MYL12B,MLKL,PATL1,ATP6V0A2,MYCBP2,GNAI2,RNH1,FRMD4A,PIK3C2A,RPS27,PSMD8,RPL32,PARP12,CCDC50,SERBP1,RPS12,CAST,RPL5,RAB7A,DDX60L,CTNNA1,CRTC3,LSM8,RCL1,LOXL2,GSN,SRSF4,ASPH,AHNAK,WDR61,RPL29,RPL23,MAST4,PXDN,RPL34,PTBP1,DERL1,YES1,MX2,TJP2,RPS25,STX12,SLFN5,HIC1,FNDC3B,TENT2,TRIP4,DOCK6,XRN1,DDX60,SUN2,RPL21,DHX15,PCBP1,ECD,MYO1E,STK38,ARCN1,HLA-E,MYO1B,PLPP1,RPL19,LMNA,PHLDB2,RPL12,SMNDC1,TMOD3,MAPKAPK5,S100A13,PRKAR2B,STAT3,NCBP3,GBE1,RBMS3,TAOK2,GIMAP8,TCP1,HIP1,PIBF1,MMRN2,HNRNPUL1,CRTAP,RPS11,TAF2,EHD2,RPS9,TRIOBP,RPL7,ANGPTL4,HSPG2,TMEM214,TAGLN2,MYCT1,RPL30,TAP2,SLC25A1,RPS20,FGF2,PRDX6
EC	RNA	Adipose - Subcutaneous	Adipose	Non-interactors	Global	20015	1640	2251	309	2.14948625840675e-21	SHMT1,PWP1,USP39,CDC42,TUBGCP3,LGALS8,PPFIA1,PIEZO1,HACD2,LACTB,RUNX1,KANK3,RPIA,SYNE2,SRBD1,SNX6,ZNFX1,MMP14,IKBKB,SNW1,DHX8,NCOA3,CAPN2,TTC28,SYDE1,OXA1L,SMAD2,PDCD6IP,WASF2,GNB4,MED4,CLEC14A,ITGB1,EML3,AKAP8,SEPTIN11,LRRC8C,CD93,ARHGEF7,ZC3H7A,LSM6,UBXN1,FERMT2,ICAM2,SYNE3,CDH5,CDKAL1,CHD1,CDC37,CRYBG3,RAB8B,NIPBL,ERI1,MAP3K3,PEAR1,EIF1,POLR2E,RO60,MGST1,ITSN1,RAB13,STAB1,NFKB1,SMARCE1,RIOK1,RAB1B,SMARCD1,DDX18,PSMD9,PDIA5,MAP3K11,SEPTIN2,SMAD1,ANXA11,NUDCD1,BIN3,MRTFB,RAB1A,RHOA,COL4A1,DLST,UTP15,EXOC1,DLC1,NMT2,BCAR3,AFAP1L1,TMA16,TRIM8,ELOA,SHE,VIRMA,DBN1,LIMA1,RBM27,PGM3,SLC29A1,HSPA12B,GNAI1,EIF2A,PIK3R4,GFPT2,SH2D3C,FRG1,RAP1B,CCDC174,PPP2R1B,AP3B1,GTF3C3,RAB5C,PRKD2,WDR43,KIF7,WRN,TICAM2,SCAF8,PRKAA1,NUP107,PLEKHG1,PBRM1,IMPDH1,CARD10,GART,ANXA7,FAM91A1,WDR36,CNN3,SLC1A5,TNS2,LATS1,CHSY1,FAM76B,SPTLC2,MOB1A,DDX50,MTHFD1,HNRNPA0,AZI2,GDI2,ARHGAP24,ADH5,LIMS1,DNMBP,CARD8,VAT1,ROCK2,RSU1,ITPKC,PICALM,EEA1,PCYT1A,MYO5C,NOP53,PXN,ADIRF,WASHC4,LTV1,ARHGEF15,ANXA5,DDX21,RC3H2,RAB2A,SMAD3,HDAC7,CAPNS1,AFAP1,PRKCH,RIPOR1,CYB5R3,SUMF1,RBFA,ECHDC1,POLR1E,CWF19L2,MRE11,ALDH2,GIMAP4,INPP5K,CTSZ,ATL3,FLI1,WTAP,DHX38,PSMA7,UGGT2,LSG1,QARS1,COPB1,VKORC1L1,COL4A2,FTSJ3,CRBN,RBM42,RBM28,SURF4,ZNF22,COL6A2,KCTD12,L3HYPDH,RSL1D1,GNAI3,APEX1,OSBPL8,ESYT1,EIF4A1,CCDC59,AQR,SORBS3,SPATA5,MED15,CCN1,ECHS1,PPIL4,GPATCH11,GNG12,MAFF,CTTNBP2NL,GTPBP2,MBNL1,AGPS,CAV2,RBMS1,SNX9,SPTLC1,SRFBP1,POGLUT3,NUP153,HEATR1,UBA52,TANK,ITCH,LMF2,VPS13B,RTRAF,ARAP3,H2AJ,SOX17,PSMB4,MIDEAS,MTMR14,PHETA2,SNED1,C11orf58,IARS2,RACK1,CLIC1,RECQL,ANXA6,COPS2,PLXND1,COL6A3,UACA,TGFBR2,LASP1,ERG,CDV3,SH3BGRL2,SLC25A24,MRRF,LDB2,ACLY,CRTC2,GPX1,TMEM43,NME2,PRXL2A,VWF,WASHC5,MGST3,STK3,CDC42EP2,NFIB,COLGALT1,CDC27,BZW1,DDX19B,TMCC3,WWP1,SLFN11,EEF1A1,ARHGAP31,MTMR12,PRKAG1,DIMT1,SYF2,AMMECR1L,SWAP70,SHOC2,SPART,CDC73,GEMIN5,SAR1A,MED8,TRPV2,MAP1LC3B,RPL11,PPP6C,SHC1,EXOC2,NOTCH4,RASA3,ENG,HECTD3,MBD2,RBMS2,SEC24B,WASHC2C,TMEM109,CBX3
EC	RNA	Adipose - Visceral	Adipose	Interactors	Global	20015	1129	2232	234	5.04183096745742e-22	RPL22,LGALS3,RPS16,SNX33,UBE2L6,ERP44,BTF3,PLOD1,EIF4A3,RPL23A,LAMA4,EFEMP1,PCBP2,SRSF6,HNRNPAB,GIMAP1,PPFIBP1,FBN1,SHANK3,SH3GLB1,ZFP36L1,AKAP12,RPLP2,RPL35A,SRSF10,RASIP1,RPS15A,ARHGAP29,S100A10,RPL9,ARPC1B,CAVIN2,DOCK9,SRSF7,CDK17,SNTB2,GNA13,TNKS1BP1,ERLIN1,RPN1,SEC61B,RPL14,TPM4,SAMHD1,RBM17,TRA2B,TUBB6,GPX4,PAPSS2,WWC2,LAMB1,BST2,PML,TOP1,RPL27,NAV1,FGD4,PHLDB1,NUFIP2,LGALS1,OS9,RPL7A,EIF3E,TRMT10C,CAVIN1,SH3PXD2B,EHD4,JAK1,G3BP1,CAV1,NES,FGD5,TINAGL1,SRSF2,RPS13,MYO1C,RPL28,EEF1B2,CCT5,RPL26,ARPC5,MYADM,RPL13A,SRSF3,SCD,BLVRB,SPTBN1,GNL3,RPL31,NID1,CARD6,UTRN,XRN2,BYSL,RPL18A,PDCL,MMRN1,FASN,IFI16,RPS6,CDC26,TAL1,LARP4,GFPT1,HELZ2,RPL10A,ZC3HAV1,PABPC1,SEC11A,LRRC59,PFKFB3,LAMC1,ERAP1,NECAP2,PPIB,DAB2,RPS7,SSB,VIM,RPS23,SNAP23,RCN1,RTN4,LAP3,ABLIM3,MAML2,STOM,MYL12B,MLKL,DTX3L,GNAI2,ABCE1,RNH1,FRMD4A,PIK3C2A,RPS27,PSMD8,RPL32,CCDC50,SERBP1,HLA-B,RPS12,RPL5,RPL17,DDX60L,HSPD1,RPL13,LSM8,RCL1,LOXL2,GSN,TOMM5,SRSF4,ASPH,RPL29,ASCC2,RPL23,MAST4,SERPINH1,PXDN,RPL34,PTBP1,FKBP11,DERL1,RPS24,GTPBP4,YES1,TXNDC12,TJP2,RPS25,MAT2A,SLFN5,EIF2S1,WARS1,HIC1,FNDC3B,A2M,UGDH,ARF4,DOCK6,EIF3M,DDX60,RPL21,CCDC86,IVNS1ABP,DHX15,PCBP1,HNRNPF,RPS8,HLA-E,MYO1B,PLPP1,RPL19,LMNA,PHLDB2,RPL12,SMNDC1,DNAJA1,TMOD3,EPHA2,PRKAR2B,STAT3,HSD17B4,GBE1,RBMS3,RPL6,GIMAP8,TCP1,GSDMD,HIP1,MMRN2,CRTAP,MRPS15,RPS11,PLOD2,EHD2,RPS9,DDX5,TRIOBP,RPL7,ANGPTL4,THBS1,HSPG2,TMEM214,TAGLN2,MYCT1,RPS3A,RPL30,TAP2,SLC25A1,RPLP0,RPS20,PRDX6,NAMPT
EC	RNA	Adipose - Visceral	Adipose	Interactors	Conditional	2769	1129	501	234	0.00172869857195525	RPL22,LGALS3,RPS16,SNX33,UBE2L6,ERP44,BTF3,PLOD1,EIF4A3,RPL23A,LAMA4,EFEMP1,PCBP2,SRSF6,HNRNPAB,GIMAP1,PPFIBP1,FBN1,SHANK3,SH3GLB1,ZFP36L1,AKAP12,RPLP2,RPL35A,SRSF10,RASIP1,RPS15A,ARHGAP29,S100A10,RPL9,ARPC1B,CAVIN2,DOCK9,SRSF7,CDK17,SNTB2,GNA13,TNKS1BP1,ERLIN1,RPN1,SEC61B,RPL14,TPM4,SAMHD1,RBM17,TRA2B,TUBB6,GPX4,PAPSS2,WWC2,LAMB1,BST2,PML,TOP1,RPL27,NAV1,FGD4,PHLDB1,NUFIP2,LGALS1,OS9,RPL7A,EIF3E,TRMT10C,CAVIN1,SH3PXD2B,EHD4,JAK1,G3BP1,CAV1,NES,FGD5,TINAGL1,SRSF2,RPS13,MYO1C,RPL28,EEF1B2,CCT5,RPL26,ARPC5,MYADM,RPL13A,SRSF3,SCD,BLVRB,SPTBN1,GNL3,RPL31,NID1,CARD6,UTRN,XRN2,BYSL,RPL18A,PDCL,MMRN1,FASN,IFI16,RPS6,CDC26,TAL1,LARP4,GFPT1,HELZ2,RPL10A,ZC3HAV1,PABPC1,SEC11A,LRRC59,PFKFB3,LAMC1,ERAP1,NECAP2,PPIB,DAB2,RPS7,SSB,VIM,RPS23,SNAP23,RCN1,RTN4,LAP3,ABLIM3,MAML2,STOM,MYL12B,MLKL,DTX3L,GNAI2,ABCE1,RNH1,FRMD4A,PIK3C2A,RPS27,PSMD8,RPL32,CCDC50,SERBP1,HLA-B,RPS12,RPL5,RPL17,DDX60L,HSPD1,RPL13,LSM8,RCL1,LOXL2,GSN,TOMM5,SRSF4,ASPH,RPL29,ASCC2,RPL23,MAST4,SERPINH1,PXDN,RPL34,PTBP1,FKBP11,DERL1,RPS24,GTPBP4,YES1,TXNDC12,TJP2,RPS25,MAT2A,SLFN5,EIF2S1,WARS1,HIC1,FNDC3B,A2M,UGDH,ARF4,DOCK6,EIF3M,DDX60,RPL21,CCDC86,IVNS1ABP,DHX15,PCBP1,HNRNPF,RPS8,HLA-E,MYO1B,PLPP1,RPL19,LMNA,PHLDB2,RPL12,SMNDC1,DNAJA1,TMOD3,EPHA2,PRKAR2B,STAT3,HSD17B4,GBE1,RBMS3,RPL6,GIMAP8,TCP1,GSDMD,HIP1,MMRN2,CRTAP,MRPS15,RPS11,PLOD2,EHD2,RPS9,DDX5,TRIOBP,RPL7,ANGPTL4,THBS1,HSPG2,TMEM214,TAGLN2,MYCT1,RPS3A,RPL30,TAP2,SLC25A1,RPLP0,RPS20,PRDX6,NAMPT
EC	RNA	Adipose - Visceral	Adipose	Non-interactors	Global	20015	1640	2232	267	3.84504113494014e-11	WDR3,SHMT1,CDC42,LGALS8,PIEZO1,RCN3,HACD2,RUNX1,INTS6,KANK3,RPIA,PCF11,DAD1,SNX6,SERPINB2,CAPN2,TTC28,TSPO,CLEC14A,FOSL1,EML3,SEPTIN11,LRRC8C,CD93,ARHGEF7,GNL2,LSM6,FERMT2,ICAM2,SYNE3,CDH5,NOS3,CHD1,NOP58,CDC37,CRYBG3,KIAA1217,CASKIN2,RAB8B,ARHGEF1,NOP16,ERI1,MAP3K3,PEAR1,EIF1,POLR2E,MGST1,ITSN1,RAB13,STAB1,NFKB1,RIOK1,MAP3K11,SMAD1,NUDCD1,EPB41L3,BIN3,MRTFB,RAB1A,RHOA,COL4A1,RHOC,UTP15,CTSC,DLC1,NMT2,BCAR3,REL,AFAP1L1,TMA16,ELOA,SHE,LIMA1,PGM3,SLC29A1,HSPA12B,DAPK1,GNAI1,EIF2A,NFATC1,GFPT2,SH2D3C,RAP1B,TKT,PPP2R1B,RHBDF2,ACTG1,RAB5C,PRKD2,WDR43,TICAM2,PRKAA1,PLAT,PLEKHG1,PBRM1,IMPDH1,CARD10,H3-3A,CEMIP2,GART,RPL35,FAM91A1,WDR36,CNN3,SLC1A5,ETF1,TNS2,CHSY1,SPTLC2,MOB1A,MTHFD1,HNRNPA0,AZI2,GDI2,LIMS1,POLR3D,IKBIP,CARD8,RRAS,NOP10,C1QA,VAT1,ROCK2,RSU1,NOLC1,TXNDC5,CPT1A,ITPKC,PICALM,UTP4,MYO5C,C3,AFDN,PXN,RPS27A,PNO1,ADIRF,WASHC4,LTV1,ARHGEF15,ANXA5,DDX21,SRGN,PPP4R2,SMAD3,HMOX1,HDAC7,PRKCH,RIPOR1,CYB5R3,PTX3,RBFA,ECHDC1,POLR1E,ALDH2,GIMAP4,INPP5K,EIF5,MAPRE1,CTSZ,CES1,FLI1,NOP2,WTAP,CDC42EP1,PSMA7,SPATS2L,VKORC1L1,GMFG,RIT1,COL4A2,TPT1,GTF2B,SURF4,ZNF22,KCTD12,L3HYPDH,RSL1D1,GNAI3,ESYT1,EIF4A1,CCDC59,CGGBP1,SPATA5,CCN1,ECHS1,PPIL4,GPATCH11,GNG12,MAFF,CTTNBP2NL,GTPBP2,TMEM165,NRAS,CAV2,RBMS1,GRWD1,SNX9,SRFBP1,HNRNPH1,POGLUT3,NUP153,UBA52,TANK,NIFK,APRT,ARAP3,H2AJ,HELZ,NQO1,SOX17,MIDEAS,SNED1,C11orf58,IARS2,RACK1,CLIC1,RECQL,ANXA6,PLOD3,PLXND1,TGFBR2,LASP1,ERG,MTA2,GCLM,CDV3,SH3BGRL2,SLC25A24,LDB2,ACLY,GPX1,NME2,PRXL2A,VWF,SAMD9L,MGST3,LDHA,STK3,CDC42EP2,NFIB,COLGALT1,CDC27,BZW1,TMCC3,SLFN11,EEF1A1,ARHGAP31,MTMR12,DIMT1,AMMECR1L,SWAP70,SHOC2,CCNL1,NOP56,SAR1A,CGAS,TRPV2,RPL11,SHC1,NOTCH4,RASA3,ENG,MBD2,RBMS2,SEC24B,TMEM109
EC	RNA	Adrenal gland	Endocrine	Interactors	Global	20015	1129	2295	170	0.000100599218072997	CD2BP2,UBE2L6,PSMD12,DCTN4,LAMB2,MRPS22,EIF4A3,C19orf53,GALNT2,SMARCA5,PCBP2,SRSF6,RPS26,MRPS28,DENND4A,HNRNPAB,RAB11A,DECR1,RPL36,MRPL4,PPP2R1A,TFG,SNRPG,EIF3I,TCIRG1,IFIT1,ATP6V1G1,COPB2,AP2S1,ZC3H7B,CLNS1A,SEC61B,MVP,DPM1,ACAT1,PAPSS2,BST2,TMED9,PSMC2,VPS33A,PGAM5,DDB1,PKM,CCT3,MOV10,SORBS2,PSMD14,TRMT10C,POLR2A,GOLM1,ATP5F1C,PARP9,PSMD6,TAPBP,PARK7,RPA3,SH3PXD2B,P4HB,PARP4,TUFM,APP,RANBP10,DAP3,FAF2,EWSR1,BSG,FAM120A,PDCD6,CARD6,HLTF,XRN2,BYSL,MRPL39,PSMC4,GSPT1,LARP4,NSFL1C,ZC3HAV1,SLC39A7,PRDX2,CLTC,RNF213,SEC11A,LRRC59,PHB2,PSMA5,BUB3,SSBP1,DAB2,FOCAD,CKAP5,MRPS35,HACD3,TMEM102,MYL12B,MRPS11,DNAJC19,FLOT1,IBTK,AP2A1,DDX24,PSMD2,RPS27L,EEF1E1,HSD17B12,WDR77,MRPS2,AHSA1,SRP9,PTCD3,HSPD1,SLC25A3,PHB,RBM4,CHD4,SARS2,ASPH,WDR61,PSMA4,ASCC2,DBT,HM13,DPP7,DERL1,PAM16,PLD1,SRPRA,GTPBP4,TXNDC12,MRPS7,ARF4,HSP90AB1,EIF3M,MRPS24,VCP,PCBP1,HSPA9,PSMA3,NMT1,COG2,ACTR3,ANKFY1,SCYL1,CCT7,DNAJA1,VAPA,MAPKAPK5,AP2M1,CCT8,RALA,HSD17B4,GBE1,QPCT,XRCC6,MRPS9,TAOK2,SF3B5,PYM1,ASCC1,CTTN,GPC1,ATP6V0D1,PRKACA,YTHDF2,DDX5,CMAS,ARHGEF28,NOB1,MRPL19,SRSF9
EC	RNA	Adrenal gland	Endocrine	Interactors	Conditional	2769	1129	455	170	0.953108861821469	CD2BP2,UBE2L6,PSMD12,DCTN4,LAMB2,MRPS22,EIF4A3,C19orf53,GALNT2,SMARCA5,PCBP2,SRSF6,RPS26,MRPS28,DENND4A,HNRNPAB,RAB11A,DECR1,RPL36,MRPL4,PPP2R1A,TFG,SNRPG,EIF3I,TCIRG1,IFIT1,ATP6V1G1,COPB2,AP2S1,ZC3H7B,CLNS1A,SEC61B,MVP,DPM1,ACAT1,PAPSS2,BST2,TMED9,PSMC2,VPS33A,PGAM5,DDB1,PKM,CCT3,MOV10,SORBS2,PSMD14,TRMT10C,POLR2A,GOLM1,ATP5F1C,PARP9,PSMD6,TAPBP,PARK7,RPA3,SH3PXD2B,P4HB,PARP4,TUFM,APP,RANBP10,DAP3,FAF2,EWSR1,BSG,FAM120A,PDCD6,CARD6,HLTF,XRN2,BYSL,MRPL39,PSMC4,GSPT1,LARP4,NSFL1C,ZC3HAV1,SLC39A7,PRDX2,CLTC,RNF213,SEC11A,LRRC59,PHB2,PSMA5,BUB3,SSBP1,DAB2,FOCAD,CKAP5,MRPS35,HACD3,TMEM102,MYL12B,MRPS11,DNAJC19,FLOT1,IBTK,AP2A1,DDX24,PSMD2,RPS27L,EEF1E1,HSD17B12,WDR77,MRPS2,AHSA1,SRP9,PTCD3,HSPD1,SLC25A3,PHB,RBM4,CHD4,SARS2,ASPH,WDR61,PSMA4,ASCC2,DBT,HM13,DPP7,DERL1,PAM16,PLD1,SRPRA,GTPBP4,TXNDC12,MRPS7,ARF4,HSP90AB1,EIF3M,MRPS24,VCP,PCBP1,HSPA9,PSMA3,NMT1,COG2,ACTR3,ANKFY1,SCYL1,CCT7,DNAJA1,VAPA,MAPKAPK5,AP2M1,CCT8,RALA,HSD17B4,GBE1,QPCT,XRCC6,MRPS9,TAOK2,SF3B5,PYM1,ASCC1,CTTN,GPC1,ATP6V0D1,PRKACA,YTHDF2,DDX5,CMAS,ARHGEF28,NOB1,MRPL19,SRSF9
EC	RNA	Adrenal gland	Endocrine	Non-interactors	Global	20015	1640	2295	285	8.15833893243955e-14	PSMD5,STIP1,EXOC6,ITPR2,MPG,UBL5,CHCHD1,ILVBL,VPS18,ECI2,LACTB,DLG5,SERPINB6,MRPL30,DAD1,GSR,MRPL33,RNF40,SERF2,RHOT1,NPM3,MSH6,KCTD3,MRPL16,MRPL44,CAPN2,OXA1L,NT5DC2,AP3M1,GLRX3,NDUFS2,RDX,RER1,RAB34,LRRC8C,EXOSC6,METAP2,FDPS,MRPS10,ABCF3,TRMT2A,C8orf33,C4A,SQSTM1,TECR,MRPL49,MRPL22,ITPA,NME1,FBXO22,SLC35B2,RAB4B,CPSF2,ERP29,MGST1,TSFM,RAB13,LAMTOR1,STAB1,MRM3,TXLNA,PARS2,COPE,PSMD9,PDIA5,ZNF451,COPZ1,BIN3,RAB1A,RABEP2,MFAP1,SLC25A13,DLST,TRUB2,SMARCAL1,PPP4C,AP1B1,PPP1CA,YME1L1,RFC3,GOLGB1,MRPS33,CLU,OAT,PGM3,SLC29A1,PCCB,POLR2H,DNAJC11,TMEM33,PLEKHA5,EZR,MRPL2,FARS2,TOMM40,TFB1M,SKIV2L,MTA3,UBAP2,DDX28,TXN2,CLK2,CLPX,DHCR24,RAB5C,PSME2,CDH2,PPP2R2D,ALDH9A1,CTR9,BBX,CDC40,UFL1,MRPL13,TUBGCP2,POLDIP2,GADD45GIP1,RPL26L1,PYCR2,RPL7L1,NCLN,NDUFB4,MRPL43,ELP1,ANXA7,EFTUD2,GLS,CNN3,MARK3,RRM1,GJA1,RTCA,PRDX3,HNRNPA0,GDI2,LIMS1,ODR4,NOP10,VAT1,TOMM34,PRORP,PSMB7,EXOSC5,CIAO1,CSTF2T,C4B,SEC61A1,TWNK,MRPL46,HEXIM1,C3,MRPL17,PBXIP1,C1QBP,SEC24C,MRPL58,USP5,ERAL1,DNAJC30,UBB,HDAC7,MRPL27,RPN2,SUMF1,RBFA,YARS1,MRPL34,ALDH2,PPP1R10,CHPF2,CLPTM1,LLPH,NPEPPS,COPS4,ALDH3A2,PDHB,CDC42EP1,PHKB,CCDC47,ACP1,PTS,MRPS18B,MRPS27,RAB18,GTF2B,PSMA6,MRPL24,SURF4,RFC1,RANBP6,APEX1,LSM1,CHID1,POLR1D,ACTR10,MDH2,BCKDK,ARFGEF2,GRSF1,HSPE1,TXNRD1,MRPS26,DDOST,SRP54,MRPS16,MED15,STOML2,NUDT4,TMEM165,SEC23B,RTF1,VWA8,COPG2,PGAM1,TBK1,COMT,PSMB5,IMMT,RBCK1,LSM4,APRT,TCF25,MRPL23,MRPL37,APTX,NOL10,ATXN10,ATP5MG,ARL1,PSMB4,MAEA,IARS2,CISD2,MTCH2,NAA40,NMNAT1,IVD,DNAJB4,MRPS23,ABHD10,GCLM,HSPA4,MRPS18C,PELO,GPX1,SYBU,COPG1,ACADVL,ERLEC1,WASHC5,STK3,MEPCE,TPP1,SRPRB,NUDC,NDUFS1,NEK7,SAMM50,NME4,MRPS12,FADS2,DNAJA3,ETFA,ACTR1B,PRKAG1,PSME1,TRIM5,PLBD2,COG4,ITGA2,WDR6,MSI2,PPP1R37,SPART,MRPL50,TRPV2,MRPS34,TMCO1,MRPL54,PLAA,CUL7,MBOAT7,PSMA2,CYC1,CBX3
EC	RNA	Artery - Aorta	Cardiovascular	Interactors	Global	20015	1129	2211	210	7.12882960860642e-15	MYOF,SNX33,TOR1AIP1,ARHGEF10,ERP44,TPM2,MACF1,LAMB2,PLOD1,RPL36AL,GALNT2,EFEMP1,S100A6,PPFIBP1,FBN1,RAB3GAP1,MCAM,HSPB1,MTDH,CD44,TMED10,CAPZA2,ARPC1B,LRRFIP2,TRIM56,ACTB,COPB2,BCL7C,COL18A1,SEC61B,IPO8,TPM4,PSMB1,SERPINE1,TNRC6A,TUBB6,DNAJC10,WWC2,SF3B2,TMED9,DOCK7,MPRIP,CAMK2G,WTIP,STAU1,NAV1,LPP,SORBS2,LGALS1,OS9,ERC1,ARHGAP22,MOB2,CAVIN1,TLN1,ROCK1,MYL6,DAPK3,UBR4,SVIL,EHD4,ARPC4,FILIP1L,TINAGL1,PLEC,MYO1C,APP,RBFOX2,MYADM,HNRNPLL,MYH10,PRRC2C,QSOX1,PCNP,DYNC1I2,ESYT2,PDCL,PDIA3,MTHFD1L,GFPT1,SLC39A7,YPEL5,BAG2,DPYSL3,HSP90B1,PPIB,LTBP1,DNAJC13,GOLGA3,SSB,VIM,CKAP4,UGGT1,STT3B,RPS23,SNAP23,ARPC2,LUC7L2,RAI14,MAML2,MYH9,MYL12B,TNRC6C,AKAP1,ZYX,ARHGEF2,ENDOD1,CCPG1,NT5C2,GNAI2,DDX24,RNH1,RPS27L,DSTN,SMTN,CFL1,PDAP1,MCRIP1,HSD17B12,CCDC50,DHX35,TRIP6,SRP14,RALY,CTNNA1,SNRPA,SERPINB8,GSTP1,CRTC3,LRRFIP1,ZNF618,GSN,TRIO,AHNAK,RANBP9,GLG1,FAU,SERPINH1,PXDN,TUBA1C,H4-16,HM13,CANX,SRPRA,CALU,TJP2,GOLIM4,MYL9,IQGAP1,COPRS,RPL15,RCN2,FNDC3B,COPA,A2M,UGDH,HSPA5,ARF4,TRIP4,AIMP1,MYH11,MYO9B,SUN2,PURA,SF3B4,PCBP1,LRCH3,SLAIN2,MYO1E,ARCN1,CALD1,MYO1B,PLPP1,PDLIM7,LMNA,PHLDB2,NT5E,CRIP2,ACTR3,SCYL1,ARF1,UNC45A,SMNDC1,IPO9,STAT3,CAPZB,RBMS3,STK38L,PFKP,HIP1,RPLP1,CTTN,CRTAP,MYO1D,ADD1,PLOD2,EHD2,DDX5,VPS13A,ARHGEF28,EIF4G2,PSMA1,HSPG2,TMEM214,TAGLN2,CDK5RAP2,P3H1,FGF2,EDIL3,KANK1
