gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
PLPP3	4.6859786852057	5.88627475915145	5.28612672217857	0.000212460340891906	0.0016756422860956	TRUE	sp|O14495|PLPP3_HUMAN	25	FALSE	1	56960419	57045257
ATP6V0C	2.66465385908048	2.50021519204171	2.58243452556109	7.16893665544955e-06	0.000879285635760844	TRUE	sp|P27449|VATL_HUMAN	4	FALSE	16	2563871	2570219
LRRC59	2.53467774490145	2.53040830124972	2.53254302307558	2.02568765648401e-06	0.000879285635760844	TRUE	sp|Q96AG4|LRC59_HUMAN	11	FALSE	17	48452420	48474914
STX12	2.13093343852641	2.39786940424949	2.26440142138795	3.43127225124197e-05	0.000879285635760844	TRUE	sp|Q86Y82|STX12_HUMAN	8	FALSE	1	28099694	28150963
ATP6V0D1	2.10001380498016	2.35963072118161	2.22982226308089	3.36820825833166e-05	0.000879285635760844	TRUE	R4GN72|R4GN72_HUMAN	6	FALSE	16	67471917	67515140
ATP6AP1	2.14386223261276	2.10219805580275	2.12303014420776	4.27172077357944e-06	0.000879285635760844	TRUE	A0A0C4DGX8|A0A0C4DGX8_HUMAN	2	FALSE	X	153656978	153664862
LGALS1	2.05945341812637	2.09902838493398	2.07924090153017	4.54500221090989e-06	0.000879285635760844	TRUE	sp|P09382|LEG1_HUMAN	8	FALSE	22	38071615	38075813
NT5E	2.03192111204616	1.99119183958754	2.01155647581685	5.14209604830267e-06	0.000879285635760844	TRUE	sp|P21589|5NTD_HUMAN	15	FALSE	6	86159809	86205500
EIF3K	1.80183957770386	2.13802006122438	1.96992981946412	0.000106264295508287	0.00125277344352134	TRUE	K7ERF1|K7ERF1_HUMAN	5	FALSE	19	39109735	39127595
REEP5	1.77552509151552	2.03756482932702	1.90654496042127	5.99273292870561e-05	0.000992770919278002	TRUE	sp|Q00765|REEP5_HUMAN	3	FALSE	5	112212084	112258236
ATP2A2	1.68477042166567	1.77595304808704	1.73036173487636	1.31602078674154e-05	0.000879285635760844	TRUE	sp|P16615-5|AT2A2_HUMAN	14	FALSE	12	110718561	110788898
EIF3H	1.58054553971323	1.8034220942487	1.69198381698096	6.0933544087288e-05	0.000992770919278002	TRUE	sp|O15372|EIF3H_HUMAN	15	FALSE	8	117654369	117779164
EIF3B	1.61127524122158	1.7526785407392	1.68197689098039	2.50786598611937e-05	0.000879285635760844	TRUE	sp|P55884|EIF3B_HUMAN	26	FALSE	7	2393721	2420380
EIF3E	1.63582634330498	1.64509546338279	1.64046090334388	9.4556737092897e-06	0.000879285635760844	TRUE	sp|P60228|EIF3E_HUMAN	17	FALSE	8	109213445	109447562
CASC3	1.56628443894988	1.68908296759729	1.62768370327358	2.28461113069932e-05	0.000879285635760844	TRUE	sp|O15234|CASC3_HUMAN	2	FALSE	17	38296571	38328436
THBS1	1.59716198292107	1.62348208194077	1.61032203243092	1.05497415215244e-05	0.000879285635760844	TRUE	sp|P07996|TSP1_HUMAN	37	FALSE	15	39873280	39891667
EIF3M	1.65069088830493	1.49215776808131	1.57142432819312	3.87296051511407e-05	0.000879285635760844	TRUE	sp|Q7L2H7-2|EIF3M_HUMAN	6	FALSE	11	32605344	32627808
EIF3L	1.53970889584998	1.59108834442184	1.56539862013591	1.33313863280133e-05	0.000879285635760844	TRUE	sp|Q9Y262|EIF3L_HUMAN	25	FALSE	22	38244875	38285414
HADHA	1.46303198543992	1.60472441127935	1.53387819835963	3.48289066307511e-05	0.000879285635760844	TRUE	sp|P40939|ECHA_HUMAN	16	FALSE	2	26413504	26467594
GPC1	1.4705310470326	1.58704894355153	1.52878999529207	2.65968123612332e-05	0.000879285635760844	TRUE	sp|P35052|GPC1_HUMAN	7	FALSE	2	241375088	241407493
RPS10	1.45990731226903	1.57306449359546	1.51648590293224	2.63822760270261e-05	0.000879285635760844	TRUE	sp|P46783|RS10_HUMAN	14	FALSE	6	34385231	34393902
RPLP2	1.47246090990001	1.52808755961519	1.5002742347576	1.59599509171667e-05	0.000879285635760844	TRUE	sp|P05387|RLA2_HUMAN	8	FALSE	11	809647	812880
LRPPRC	1.47631794163539	1.51752665631084	1.49692229897311	1.46519535140377e-05	0.000879285635760844	TRUE	sp|P42704|LPPRC_HUMAN	28	FALSE	2	44113647	44223144
CD44	1.4212607600068	1.46871368613674	1.44498722307177	1.72344900922299e-05	0.000879285635760844	TRUE	H0YD13|H0YD13_HUMAN	7	FALSE	11	35160417	35253949
HADHB	1.42132357869347	1.46647376896517	1.44389867382932	1.70333994340926e-05	0.000879285635760844	TRUE	sp|P55084|ECHB_HUMAN	14	FALSE	2	26466038	26513336
BST2	1.35609509709898	1.50666073923119	1.43137791816508	4.91550847363434e-05	0.000956058936806678	TRUE	sp|Q10589-2|BST2_HUMAN	3	FALSE	19	17513748	17516457
RPS28	1.38180924676922	1.46801799639527	1.42491362158224	2.48811986546738e-05	0.000879285635760844	TRUE	sp|P62857|RS28_HUMAN	2	FALSE	19	8386042	8388224
EIF3J	1.35807632004609	1.4514287858372	1.40475255294164	2.80770384118789e-05	0.000879285635760844	TRUE	sp|O75822|EIF3J_HUMAN	9	FALSE	15	44829255	44855227
FLOT2	1.32254044012339	1.4845770730454	1.40355875658439	6.00068749304418e-05	0.000992770919278002	TRUE	J3QLD9|J3QLD9_HUMAN	10	FALSE	17	27206353	27224697
EIF3I	1.30458424354821	1.47943550088058	1.3920098722144	7.14196841325734e-05	0.00102734926756056	TRUE	sp|Q13347|EIF3I_HUMAN	11	FALSE	1	32687529	32697205
EIF3A	1.31678472894537	1.44505785756317	1.38092129325427	4.33639646525601e-05	0.000924766988421898	TRUE	sp|Q14152|EIF3A_HUMAN	76	FALSE	10	120794356	120840316
ATP6V0A1	1.1913167787057	1.42101043990364	1.30616360930467	0.000162604742248696	0.00150348713168757	TRUE	sp|Q93050-1|VPP1_HUMAN	9	FALSE	17	40610862	40674629
ATP6V1C1	1.28884342685387	1.30829367906547	1.29856855295967	2.20527952475234e-05	0.000879285635760844	TRUE	sp|P21283|VATC1_HUMAN	2	FALSE	8	104033291	104085279
EIF3D	1.2329030559461	1.34028042913074	1.28659174253842	4.42701948457801e-05	0.000924766988421898	TRUE	sp|O15371-3|EIF3D_HUMAN	17	FALSE	22	36906897	36925483
EIF4E	1.1679464382792	1.38324654873258	1.27559649350589	0.000151654654926652	0.00145846144323917	TRUE	sp|P06730|IF4E_HUMAN	4	FALSE	4	99792835	99851788
EEF1G	1.25406027141919	1.24823110975352	1.25114569058635	2.45238821514237e-05	0.000879285635760844	TRUE	sp|P26641|EF1G_HUMAN	17	FALSE	11	62327073	62342401
PDAP1	1.27294475193882	1.22432733669537	1.24863604431709	2.90761864182738e-05	0.000879285635760844	TRUE	sp|Q13442|HAP28_HUMAN	4	FALSE	7	98989671	99006452
EIF3C	1.15064266215747	1.30075970863373	1.2257011853956	8.44324938223684e-05	0.00110117747206226	TRUE	sp|Q99613|EIF3C_HUMAN	27	FALSE	16	28699879	28747051
DHX29	1.14475215413078	1.27597700808148	1.21036458110613	7.13031404863921e-05	0.00102734926756056	TRUE	sp|Q7Z478|DHX29_HUMAN	18	FALSE	5	54552073	54603550
EIF3F	1.23777720406091	1.17188991371996	1.20483355889043	3.74641296970204e-05	0.000879285635760844	TRUE	sp|O00303|EIF3F_HUMAN	12	FALSE	11	7991798	8023409
CKAP5	1.15492531254008	1.18231902576509	1.16862216915258	3.28576258080885e-05	0.000879285635760844	TRUE	sp|Q14008-2|CKAP5_HUMAN	16	FALSE	11	46764598	46867847
EEF1B2	1.17498566410155	1.15901775797646	1.167001711039	3.18624090156329e-05	0.000879285635760844	TRUE	sp|P24534|EF1B_HUMAN	5	FALSE	2	207024309	207027652
ATP6V1E1	1.10653839347565	1.22161449328888	1.16407644338226	6.84183948856926e-05	0.00100917132456397	TRUE	sp|P36543-3|VATE1_HUMAN	6	FALSE	22	18074902	18111584
EIF3G	1.12671065999813	1.17750588178211	1.15210827089012	3.91769259147104e-05	0.000879285635760844	TRUE	sp|O75821|EIF3G_HUMAN	15	FALSE	19	10225693	10230596
ACAP2	1.0399713046753	1.22738657654314	1.13367894060922	0.000169070300694812	0.00152903724496987	TRUE	sp|Q15057|ACAP2_HUMAN	31	FALSE	3	194995465	195163807
QKI	1.02852393042323	1.20313606255134	1.11582999648728	0.000154911837343719	0.00146515852266311	TRUE	sp|Q96PU8-8|QKI_HUMAN	2	FALSE	6	163835032	163999628
SLIRP	1.00045878073992	1.19979213804248	1.1001254593912	0.000214218779561501	0.0016756422860956	TRUE	G3V4X6|G3V4X6_HUMAN	2	FALSE	14	78174414	78227447
RPLP0	1.16322344080064	1.02388694976738	1.09355519528401	0.00011160297426059	0.00129229986083057	TRUE	sp|P05388|RLA0_HUMAN	13	FALSE	12	120634489	120639038
EIF4G1	1.07924535753408	1.08730445209769	1.08327490481588	4.08570422455465e-05	0.000888103076179511	TRUE	sp|Q04637-4|IF4G1_HUMAN	39	FALSE	3	184032283	184053146
RPS20	1.03827517484297	1.11385700519479	1.07606609001888	6.06356002617147e-05	0.000992770919278002	TRUE	sp|P60866|RS20_HUMAN	3	FALSE	8	56979854	56987069
KHDRBS1	1.04970526003297	1.08229196733364	1.0659986136833	4.64444001002545e-05	0.000938060450102691	TRUE	sp|Q07666|KHDR1_HUMAN	13	FALSE	1	32479430	32526451
ATP6V0A2	0.993905067666333	1.13763328268188	1.06576917517411	0.000128365797171436	0.00137421512832973	TRUE	sp|Q9Y487|VPP2_HUMAN	5	FALSE	12	124196865	124246302
EIF4G2	0.998301259373942	1.06478095617346	1.0315411077737	6.50623898018185e-05	0.000995213592153742	TRUE	sp|P78344-2|IF4G2_HUMAN	9	FALSE	11	10818597	10830657
OBI1	1.03437957642672	1.02223108327579	1.02830532985126	4.93848038382788e-05	0.000956058936806678	TRUE	sp|Q5W0B1|RN219_HUMAN	13	FALSE	13	79188426	79233314
BTF3	1.01532730023842	1.03598633014771	1.02565681519306	5.08548081818941e-05	0.000969370882113334	TRUE	sp|P20290|BTF3_HUMAN	5	FALSE	5	72794233	72801460
SEC61B	0.933058441172019	1.11219609367738	1.0226272674247	0.000221211776603769	0.00169482854853148	TRUE	sp|P60468|SC61B_HUMAN	2	FALSE	9	101984346	101992897
CANX	1.01573450220511	0.997841538844064	1.00678802052459	5.3875634611563e-05	0.000992770919278002	TRUE	sp|P27824|CALX_HUMAN	14	FALSE	5	179105629	179157926
APP	0.979720561037805	1.02617664957464	1.00294860530622	6.2077619056374e-05	0.000992770919278002	TRUE	sp|P05067-5|A4_HUMAN	5	FALSE	21	27252861	27543446
ADRM1	0.976390383724386	1.0245459268761	1.00046815530024	6.33001635374997e-05	0.000992770919278002	TRUE	sp|Q16186|ADRM1_HUMAN	2	FALSE	20	60877149	60883918
RPSA	0.909963952505642	1.08941835925346	0.999691155879551	0.000240329179524545	0.00169482854853148	TRUE	C9J9K3|C9J9K3_HUMAN	4	FALSE	3	39448180	39454033
RPS12	0.982388720531763	0.982790746612984	0.982589733572373	5.7342609391793e-05	0.000992770919278002	TRUE	sp|P25398|RS12_HUMAN	2	FALSE	6	133135580	133138703
ATP6V1A	0.990033643390348	0.967445924340176	0.978739783865262	6.03333091079463e-05	0.000992770919278002	TRUE	sp|P38606-2|VATA_HUMAN	6	FALSE	3	113465866	113530903
