gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
PHACTR1	2.60085061964943	2.51792595344671	2.55938828654807	6.34676024238869e-07	0.000835233647898352	TRUE	gi|9000000026|!PHACTR1-FLAG	19	FALSE	6	12717893	13288645
YWHAQ	1.16302241320281	0.571359803981764	0.867191108592287	0.00534997550252726	0.0891722568026655	TRUE	sp|P27348|1433T_HUMAN	4	FALSE	2	9724101	9771143
STOM	0.84027488618074	0.794386890045548	0.817330888113144	4.75891106645961e-05	0.0208757565448695	TRUE	sp|P27105|STOM_HUMAN	8	FALSE	9	124101355	124132531
H2AC14	0.881440016149352	0.55887481383197	0.720157414990661	0.00148720050110656	0.054732037106238	TRUE	sp|Q99878|H2A1J_HUMAN	3	FALSE	6	27782080	27782518
TMEM41B	0.728990645000493	0.592527637428379	0.660759141214436	0.00026918907142533	0.0429346029679792	TRUE	sp|Q5BJD5-3|TM41B_HUMAN	2	FALSE	11	9302201	9336327
DCTN6	0.807441783160655	0.227930177888659	0.517685980524657	0.0291966489340879	0.155058060755335	FALSE	E5RK00|E5RK00_HUMAN	2	FALSE	8	30013813	30041156
SNW1	0.913696010267067	0.0754309915742368	0.494563500920652	0.0890350325470257	0.24383207693572	FALSE	sp|Q13573|SNW1_HUMAN	3	FALSE	14	78183942	78227550
RPS29	0.48940221226923	0.499302110215179	0.494352161242204	0.000308558476683279	0.0429346029679792	TRUE	sp|P62273|RS29_HUMAN	3	FALSE	14	50043390	50065408
SQOR	0.560576411977383	0.384919651139754	0.472748031558568	0.00157653537627409	0.054732037106238	TRUE	sp|Q9Y6N5|SQOR_HUMAN	2	FALSE	15	45923346	45983492
ACTC1	0.513865044110808	0.376548559320593	0.4452068017157	0.00127720283264869	0.0542193202505055	TRUE	sp|P68032|ACTC_HUMAN	2	FALSE	15	35080297	35088340
IGKV2D-24	0.478471124018618	0.381549223147971	0.430010173583294	0.000940621067875362	0.0503550506440415	TRUE	A0A075B6R9|A0A075B6R9_HUMAN	4	FALSE	2	90043637	90044439
SMARCC2	0.375327458856066	0.373600355055867	0.374463906955966	0.000912251893963095	0.0503550506440415	TRUE	sp|Q8TAQ2-2|SMRC2_HUMAN	2	FALSE	12	56556767	56583351
ACTB	0.393335337710084	0.355352664524712	0.374344001117398	0.00100799638861034	0.0503550506440415	TRUE	sp|P60709|ACTB_HUMAN	14	FALSE	7	5566782	5603415
KIF11	0.418918371289202	0.271134239477721	0.345026305383461	0.00377695105545849	0.0814830752292357	TRUE	sp|P52732|KIF11_HUMAN	33	FALSE	10	94353043	94415150
MTPAP	0.452219615315975	0.235478629198749	0.343849122257362	0.00807571564723366	0.101518691148701	FALSE	sp|Q9NVV4|PAPD1_HUMAN	2	FALSE	10	30598730	30663377
SF3B6	0.174064093963217	0.505415132012772	0.339739612987994	0.0237488889514568	0.142061535727805	FALSE	sp|Q9Y3B4|SF3B6_HUMAN	6	FALSE	2	24290454	24299314
HDAC2	0.311681280569314	0.338879249073472	0.325280264821393	0.00165270684084307	0.0556387036146766	TRUE	sp|Q92769-3|HDAC2_HUMAN	5	FALSE	6	114254192	114332472
VIM	0.411787272704	0.224084395675114	0.317935834189557	0.00786946612119181	0.101518691148701	FALSE	sp|P08670|VIME_HUMAN	50	FALSE	10	17270258	17279592
UBR4	0.267705546266836	0.358166131588906	0.312935838927871	0.00297615370167306	0.073455700802215	TRUE	sp|Q5T4S7-3|UBR4_HUMAN	2	FALSE	1	19401000	19536770
RBM39	0.316834448572678	0.274956290183468	0.295895369378073	0.00253254195606999	0.066801086057744	TRUE	G3XAC6|G3XAC6_HUMAN	14	FALSE	20	34291531	34330234
THBS1	0.27536587227597	0.311729705869816	0.293547789072893	0.00253803518456474	0.066801086057744	TRUE	sp|P07996|TSP1_HUMAN	29	FALSE	15	39873280	39891667
CCT8	0.566400050287921	0.0153126356291722	0.290856342958547	0.122851832249571	0.292885889928324	FALSE	sp|P50990|TCPQ_HUMAN	24	FALSE	21	30428126	30446118
