gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	gi|9000000018|3xFLAG-HDAC9:	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-3|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	B7Z3P7|B7Z3P7_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	B5MCF1|B5MCF1_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-8|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-4|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-5|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-2|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-6|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-9|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
HDAC9	4.62621032263094	4.40205770891478	4.51413401577286	9.35508469255666e-14	3.50815675970875e-13	TRUE	sp|Q9UKV0-7|HDAC9_HUMAN	5	FALSE	7	18126572	19042039
PRSS1	3.21464537999553	-0.546556857312098	1.33404426134172	0.00316288930072956	0.0109484629640639	TRUE	E7EQ64|E7EQ64_HUMAN	3	FALSE	7	142457319	142460923
LTBP1	0.877276737387515	0.999357247533336	0.938316992460425	0.0334616423084248	0.107555278848508	FALSE	E7EV71|E7EV71_HUMAN	2	FALSE	2	33172039	33624576
VIM	1.14719872647306	0.44495353961635	0.796076133044705	0.0692598909828633	0.19872848850624	FALSE	sp|P08670|VIME_HUMAN	8	FALSE	10	17270258	17279592
WDR77	1.19410594606906	0.290257040646736	0.742181493357898	0.0895551040213464	0.231275552160567	FALSE	sp|Q9BQA1|MEP50_HUMAN	4	FALSE	1	111982512	111991998
PPIB	1.27126283076882	0.199159694696593	0.735211262732706	0.0925102208642269	0.231275552160567	FALSE	sp|P23284|PPIB_HUMAN	10	FALSE	15	64448011	64455404
HSPA5	0.742864413667343	0.612750490947406	0.677807452307374	0.120044713322042	0.232776698553918	FALSE	sp|P11021|BIP_HUMAN	9	FALSE	9	127997132	128003609
EEF1A1	0.926162979946527	0.412512547173975	0.669337763560251	0.124619816242122	0.232776698553918	FALSE	sp|P68104|EF1A1_HUMAN	4	FALSE	6	74225473	74233520
EEF1A1P5	0.926162979946527	0.412512547173975	0.669337763560251	0.124619816242122	0.232776698553918	FALSE	sp|Q5VTE0|EF1A3_HUMAN	4	FALSE	9	135894822	135896562
