gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
IFI44	1.525	1.487	1.506	2.47136207504618e-05	0.0196043987234339	TRUE	NA	NA	NA	1	79115481	79129763
OAS2	1.298	1.353	1.3255	4.25117079747656e-05	0.0196043987234339	TRUE	NA	NA	NA	12	113416200	113449528
ARHGEF26	1.212	1.229	1.2205	4.24862126819662e-05	0.0196043987234339	TRUE	NA	NA	NA	3	153838792	153975616
DDX58	1.145	1.136	1.1405	5.1377102806278e-05	0.0196043987234339	TRUE	NA	NA	NA	9	32455300	32526322
IFIT5	1.078	1.094	1.086	6.0946317274924e-05	0.0196043987234339	TRUE	NA	NA	NA	10	91174343	91180758
ISG15	1.228	0.924	1.076	0.00130064076961526	0.0541874151220416	TRUE	NA	NA	NA	1	948803	949920
IFIT1	1.07	0.957	1.0135	0.000192772321707091	0.0265750414924775	TRUE	NA	NA	NA	10	91152303	91163745
IFIT3	0.989	0.981	0.985	8.10003874878125e-05	0.0215035787486151	TRUE	NA	NA	NA	10	91087651	91100728
TAPBP	1.015	0.948	0.9815	0.000122559257116459	0.0215035787486151	TRUE	NA	NA	NA	6	33267471	33282164
SAMHD1	0.94	1.002	0.971	0.000120236962113544	0.0215035787486151	TRUE	NA	NA	NA	20	35518632	35580246
MX1	0.933	0.95	0.9415	9.54322800453728e-05	0.0215035787486151	TRUE	NA	NA	NA	21	42792231	42831141
RPA1	0.901	0.925	0.913	0.0001081244127224	0.0215035787486151	TRUE	NA	NA	NA	17	1732996	1803376
TRIM21	0.857	0.819	0.838	0.000153691052143159	0.0247186442196914	TRUE	NA	NA	NA	11	4406127	4414926
RPA3	0.89	0.718	0.804	0.000823346500525523	0.052968624867142	TRUE	NA	NA	NA	7	7676149	7758238
OAS3	0.748	0.799	0.7735	0.000219243503382975	0.0282093307686094	TRUE	NA	NA	NA	12	113376157	113411054
RPA2	0.842	0.649	0.7455	0.00132560113819592	0.0541874151220416	TRUE	NA	NA	NA	1	28218035	28241257
SCYL2	0.748	0.742	0.745	0.000192647011269772	0.0265750414924775	TRUE	NA	NA	NA	12	100660918	100735502
DDX60	0.762	0.705	0.7335	0.000273549223018903	0.0310558823780284	TRUE	NA	NA	NA	4	169137444	169239958
MX2	0.766	0.699	0.7325	0.000304345162314101	0.0325756647382086	TRUE	NA	NA	NA	21	42733870	42781317
S100A10	0.813	0.651	0.732	0.000974640915745101	0.0541199994831368	TRUE	NA	NA	NA	1	151955391	151966866
EIF2AK2	0.671	0.678	0.6745	0.000262711073445732	0.0310558823780284	TRUE	NA	NA	NA	2	37326353	37384208
RPRD2	0.722	0.618	0.67	0.000620820059761177	0.0445765410483549	TRUE	NA	NA	NA	1	150335567	150449042
FGF2	0.674	0.624	0.649	0.00037457894148084	0.036146867852901	TRUE	NA	NA	NA	4	123747863	123819391
UBE2L6	0.57	0.709	0.6395	0.00111238238664967	0.0541874151220416	TRUE	NA	NA	NA	11	57319129	57335757
RNF213	0.631	0.632	0.6315	0.000320693072552312	0.0325756647382086	TRUE	NA	NA	NA	17	78234665	78372586
LAP3	0.786	0.419	0.6025	0.0120835242567948	0.0919583724856051	TRUE	NA	NA	NA	4	17578815	17609595
HLA-B	0.583	0.608	0.5955	0.000409898257415482	0.0365221310732026	TRUE	NA	NA	NA	6	29909037	29913661
HLA-C	0.581	0.608	0.5945	0.000416314447466558	0.0365221310732026	TRUE	NA	NA	NA	6	31236526	31239907
HLTF	0.528	0.63	0.579	0.000949661982654291	0.0541199994831368	TRUE	NA	NA	NA	3	148747914	148804341
TWF1	0.584	0.561	0.5725	0.000458641628124705	0.0384860148817687	TRUE	NA	NA	NA	12	44187526	44200178
OASL	0.53	0.562	0.546	0.000557593347767823	0.0430462064476759	TRUE	NA	NA	NA	12	121458095	121477045
SERPINB9	0.661	0.426	0.5435	0.0053949909635276	0.0748704028987814	TRUE	NA	NA	NA	6	2887500	2903514
PPM1A	0.513	0.507	0.51	0.00062360964160911	0.0445765410483549	TRUE	NA	NA	NA	14	60712470	60765805
LYAR	0.656	0.362	0.509	0.0112112223462405	0.0894118145795211	TRUE	NA	NA	NA	4	4269428	4291896
USP4	0.23	0.767	0.4985	0.052345979531255	0.153881874926479	FALSE	NA	NA	NA	3	49315264	49378145
GIMAP4	0.666	0.323	0.4945	0.0178230996010594	0.102615894795551	FALSE	NA	NA	NA	7	150264365	150271041
OLA1	0.729	0.258	0.4935	0.0392190634393799	0.136876659019897	FALSE	NA	NA	NA	2	174937175	175113426
HMGA1	0.95	0.035	0.4925	0.165943543122343	0.294908874978012	FALSE	NA	NA	NA	6	34204650	34214008
CMTR1	0.531	0.434	0.4825	0.00156210844254326	0.0556501085195484	TRUE	NA	NA	NA	6	37400995	37450603
CNP	0.42	0.531	0.4755	0.00194089820665203	0.0564811748387509	TRUE	NA	NA	NA	17	40118759	40129749
TNIK	0.519	0.428	0.4735	0.00153883687703502	0.0556501085195484	TRUE	NA	NA	NA	3	170779128	171178197
PKM	0.551	0.387	0.469	0.00386967102864634	0.0683552573900259	TRUE	NA	NA	NA	15	72491370	72524164
DTX3L	0.527	0.408	0.4675	0.00225738253249508	0.0580517658495368	TRUE	NA	NA	NA	3	122283085	122294050
RPL34	0.656	0.265	0.4605	0.0299116273292861	0.120168379450294	FALSE	NA	NA	NA	4	109541722	109551568
S100A6	0.811	0.109	0.46	0.113919121082041	0.233749281838382	FALSE	NA	NA	NA	1	153507075	153508720
STAT1	0.471	0.448	0.4595	0.000904144297140106	0.0541199994831368	TRUE	NA	NA	NA	2	191829084	191885686
RPL27	0.73	0.178	0.454	0.0699721849583454	0.17621096768139	FALSE	NA	NA	NA	17	41150290	41154976
KIF5B	0.378	0.51	0.444	0.00310015169321921	0.0636520507224796	TRUE	NA	NA	NA	10	32297938	32345359
SCRIB	0.432	0.451	0.4415	0.0010053420832647	0.0541199994831368	TRUE	NA	NA	NA	8	144873090	144897549
SERPINB8	0.494	0.369	0.4315	0.00309960523358287	0.0636520507224796	TRUE	NA	NA	NA	18	61637159	61672278
NSFL1C	0.392	0.471	0.4315	0.00177562986917517	0.0564811748387509	TRUE	NA	NA	NA	20	1422807	1454487
SH3GL1	0.424	0.408	0.416	0.00119415919061956	0.0541874151220416	TRUE	NA	NA	NA	19	4360367	4400544
PML	0.419	0.407	0.413	0.00120717379788857	0.0541874151220416	TRUE	NA	NA	NA	15	74287014	74340153
ANAPC5	0.455	0.367	0.411	0.00228597627179523	0.0580517658495368	TRUE	NA	NA	NA	12	121746048	121837699
MAP4K4	0.444	0.377	0.4105	0.00181216013759419	0.0564811748387509	TRUE	NA	NA	NA	2	102313312	102511149
RAB3GAP2	0.396	0.418	0.407	0.00130652273794661	0.0541874151220416	TRUE	NA	NA	NA	1	220321635	220445796
KLC1	0.379	0.424	0.4015	0.00157605825122573	0.0556501085195484	TRUE	NA	NA	NA	14	104028233	104167888
RANBP1	0.392	0.407	0.3995	0.00134766628282798	0.0541874151220416	TRUE	NA	NA	NA	22	20103461	20114878
USP15	0.282	0.509	0.3955	0.0126191747807748	0.0926045905965602	TRUE	NA	NA	NA	12	62654119	62811211
VPS33A	0.429	0.36	0.3945	0.00208929397870106	0.0567934842097612	TRUE	NA	NA	NA	12	122714111	122751068
SSBP1	0.358	0.429	0.3935	0.00215121509673327	0.056874590913633	TRUE	NA	NA	NA	7	141438121	141487722
WARS1	0.442	0.343	0.3925	0.00299789051076974	0.0635816339097319	TRUE	NA	NA	NA	14	100800125	100842680
OPTN	0.418	0.357	0.3875	0.00203133453074211	0.0567934842097612	TRUE	NA	NA	NA	10	13141449	13180291
KPNA3	0.426	0.344	0.385	0.00259916641955913	0.0604384480692665	TRUE	NA	NA	NA	13	50273447	50367057
HMGN2	1.086	-0.317	0.3845	0.422416844194635	0.551973262894818	FALSE	NA	NA	NA	1	26798941	26802463
BLVRB	0.435	0.332	0.3835	0.00337499843943028	0.066466806001025	TRUE	NA	NA	NA	19	40953696	40971747
UTRN	0.36	0.395	0.3775	0.0017670293804139	0.0564811748387509	TRUE	NA	NA	NA	6	144606837	145174170
RAB3GAP1	0.383	0.372	0.3775	0.00158588392154154	0.0556501085195484	TRUE	NA	NA	NA	2	135809835	135933964
RPL13A	0.571	0.184	0.3775	0.0488970348016875	0.149835970268009	FALSE	NA	NA	NA	19	49990811	49995565
AKAP2	0.399	0.352	0.3755	0.00196536832547631	0.0564811748387509	TRUE	NA	NA	NA	9	112542589	112934792
PHKA1	0.318	0.432	0.375	0.00412898600914853	0.0695287636497407	TRUE	NA	NA	NA	X	71798664	71934167
OLA1	0.583	0.159	0.371	0.0627068578337435	0.164663599843899	FALSE	NA	NA	NA	2	174937175	175113426
ITPR3	0.349	0.384	0.3665	0.00193374799379392	0.0564811748387509	TRUE	NA	NA	NA	6	33588142	33664351
RPL15	0.489	0.241	0.365	0.019284292598719	0.103384366985792	FALSE	NA	NA	NA	3	23958036	23965183
IFI16	0.448	0.273	0.3605	0.00956114485730865	0.0866801771590256	TRUE	NA	NA	NA	1	158969758	159024945
PARP14	0.311	0.407	0.359	0.00378323380822019	0.0676077893506015	TRUE	NA	NA	NA	3	122399465	122449687
