gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
RPLP0	1.67392392283626	1.68126956941568	1.67759674612597	1.90060035837171e-07	7.99202450695303e-05	TRUE	sp|P05388|RLA0_HUMAN	3	FALSE	12	120634489	120639038
BCAS3	1.43844320773599	1.88113458922814	1.65978889848207	1.44847182079982e-05	0.000415050476990689	TRUE	gi|9000000004|3xFLAG-BCAS3:	32	FALSE	17	58754814	59470199
RPLP2	1.37440596211679	1.35381160596523	1.36410878404101	5.86042690972623e-07	8.27773552300317e-05	TRUE	sp|P05387|RLA2_HUMAN	7	FALSE	11	809647	812880
TRIM21	1.14975451367697	1.41885501489172	1.28430476428434	8.80092165536428e-06	0.000321807613572233	TRUE	sp|P19474|RO52_HUMAN	18	FALSE	11	4406127	4414926
MYO1C	1.12317299388296	1.03897807178988	1.08107553283642	2.83386450465932e-06	0.000201809152660267	TRUE	sp|O00159|MYO1C_HUMAN	22	FALSE	17	1367392	1396106
OAS2	0.866976856439454	1.20535751417984	1.03616718530965	5.91140980456483e-05	0.000887767079578396	TRUE	sp|P29728-2|OAS2_HUMAN	2	FALSE	12	113416200	113449528
ISG15	0.999215992967532	0.936267362066104	0.967741677516818	4.38109522163511e-06	0.000230281317587196	TRUE	A0A096LPJ4|A0A096LPJ4_HUMAN	2	FALSE	1	948803	949920
NPM1	0.941967606626609	0.950079342273021	0.946023474449815	4.03508169542197e-06	0.000226233580389992	TRUE	sp|P06748-2|NPM_HUMAN	5	FALSE	5	170814120	170838141
MYO1D	1.03957858007959	0.789360549516278	0.914469564797934	4.1952602175287e-05	0.000750683796370562	TRUE	K7EIG7|K7EIG7_HUMAN	6	FALSE	17	30819540	31204195
KCTD2	0.67294889790973	1.08294220248075	0.87794555019524	0.000285327733520172	0.00237584776129172	TRUE	sp|Q14681|KCTD2_HUMAN	3	FALSE	17	73028670	73061984
ANKFY1	0.881992242817212	0.868251931245084	0.875122087031148	6.13796100252012e-06	0.000271685537006285	TRUE	sp|Q9P2R3|ANFY1_HUMAN	7	FALSE	17	4067201	4167274
SHFL	0.809817714144884	0.925290642681411	0.867554178413148	1.20117469396003e-05	0.000360781399150139	TRUE	sp|Q9NUL5-3|RYDEN_HUMAN	2	FALSE	19	10196798	10203928
CALM2	0.925650227728241	0.79412474780931	0.859887487768776	1.48056056001435e-05	0.000415050476990689	TRUE	sp|P0DP24|CALM2_HUMAN	4	FALSE	14	90862846	90874605
DNAJC10	0.806047388452747	0.910979198717694	0.858513293585221	1.14844744266358e-05	0.000357720110844472	TRUE	sp|Q8IXB1|DJC10_HUMAN	8	FALSE	2	183580999	183659191
SQOR	0.774006266006783	0.921105913870559	0.847556089938671	1.88700323187958e-05	0.000469212669763684	TRUE	sp|Q9Y6N5|SQOR_HUMAN	5	FALSE	15	45923346	45983492
DNAJC8	0.709895910582684	0.910392146632645	0.810144028607665	4.39811219265074e-05	0.000770585907087349	TRUE	sp|O75937|DNJC8_HUMAN	3	FALSE	1	28525967	28559536
PARP9	0.775490942048307	0.81127759116562	0.793384266606963	1.09202934488172e-05	0.000353229491940587	TRUE	sp|Q8IXQ6-3|PARP9_HUMAN	3	FALSE	3	122246771	122283424
KCTD5	0.868935686098741	0.708882234388582	0.788908960243661	3.17147023360078e-05	0.000701896438541646	TRUE	sp|Q9NXV2|KCTD5_HUMAN	2	FALSE	16	2732476	2759031
VCP	0.643619547418716	0.831849083833944	0.73773431562633	6.20214414223977e-05	0.000915088284846253	TRUE	sp|P55072|TERA_HUMAN	42	FALSE	9	35056061	35073246
RPS4Y1	0.695955026126764	0.709196199384916	0.70257561275584	1.9527281143554e-05	0.000469212669763684	TRUE	sp|P22090|RS4Y1_HUMAN	2	FALSE	Y	2709527	2800041
