gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
DDX23	1.705	1.485	1.595	5.83170086790334e-05	0.00717343420656245	TRUE	Q9BUQ8	2	NA	12	49223547	49246625
S100A10	1.355	1.782	1.5685	0.000206370374181889	0.00717343420656245	TRUE	P60903	2	NA	1	151955391	151966866
H2AJ	1.548	1.357	1.4525	7.56302636636891e-05	0.00717343420656245	TRUE	Q9BTM1	4	NA	12	14927270	14930936
H2BC15	1.806	0.968	1.387	0.00263882489856953	0.0169862136063476	TRUE	U3KQK0	6	NA	6	27806323	27823487
FN1	1.4	1.245	1.3225	9.63547183578044e-05	0.00717343420656245	TRUE	P02751-15	121	NA	2	216225163	216300895
H3C13	1.726	0.908	1.317	0.00299532033646339	0.0179237810951135	TRUE	Q71DI3	9	NA	1	149784826	149785236
FN1	1.398	1.215	1.3065	0.000115201901523255	0.00717343420656245	TRUE	P02751-8	119	NA	2	216225163	216300895
H2BC3	1.652	0.944	1.298	0.00197855727117659	0.0147786923661261	TRUE	P33778	6	NA	6	26043455	26043885
RPL15	1.182	1.408	1.295	0.000148502517400901	0.00717343420656245	TRUE	P61313	8	NA	3	23958036	23965183
H3-2	1.828	0.76	1.294	0.00788527556429947	0.0297926281103315	TRUE	Q5TEC6	6	NA	1	149400086	149400542
H2AZ1	1.091	1.446	1.2685	0.000336613265542868	0.00784182267875303	TRUE	P0C0S5	5	NA	4	100869242	100871512
RPL14	1.135	1.352	1.2435	0.000168780102477978	0.00717343420656245	TRUE	P50914	7	NA	3	40498783	40503861
TGM2	1.363	1.119	1.241	0.000196432495435734	0.00717343420656245	TRUE	P21980	33	NA	20	36756863	36794980
H3-3A	1.715	0.757	1.236	0.0065149091266962	0.0264554020144813	TRUE	P84243	9	NA	1	226250408	226259703
RPLP1	1.084	1.296	1.19	0.000198780207511331	0.00717343420656245	TRUE	P05386	4	NA	15	69745123	69748255
BANF1	1.318	1.039	1.1785	0.000297552296242708	0.00784182267875303	TRUE	O75531	4	NA	11	65769550	65771620
RALYL	1.127	1.193	1.16	0.000127452545607283	0.00717343420656245	TRUE	Q86SE5-3	3	NA	8	85095022	85834079
COL1A2	1.215	1.064	1.1395	0.000180292650904577	0.00717343420656245	TRUE	P08123	16	NA	7	94023873	94060544
HNRNPC	1.116	1.053	1.0845	0.000169369533258694	0.00717343420656245	TRUE	P07910	10	NA	14	21677295	21737653
RPL30	1.022	1.082	1.052	0.000191958041811189	0.00717343420656245	TRUE	P62888	4	NA	8	99037079	99058697
RB1CC1	0.825	1.266	1.0455	0.00124160416393922	0.0118566375655295	TRUE	Q8TDY2	2	NA	8	53535016	53658403
COL3A1	1.092	0.993	1.0425	0.000219417725775338	0.00733361552687573	TRUE	P02461	3	NA	2	189839046	189877472
ETNPPL	1.056	0.971	1.0135	0.000238230550546084	0.00766749438609435	TRUE	Q8TBG4	2	NA	4	109663196	109684210
ILF2	1.185	0.792	0.9885	0.00119656097590471	0.0116832751467549	TRUE	Q12905	2	NA	1	153634512	153643524
PRDX6	1.236	0.701	0.9685	0.00280357029069595	0.0174021613043913	TRUE	P30041	11	NA	1	173446405	173457946
F2	0.904	1.032	0.968	0.000331667299702166	0.00784182267875303	TRUE	P00734	2	NA	11	46740730	46761056
COL6A2	0.927	0.989	0.958	0.000287869493352221	0.00784182267875303	TRUE	P12110	8	NA	21	47518011	47552763
H3C1	1.395	0.51	0.9525	0.0133129797298839	0.0422225525009822	TRUE	P68431	9	NA	6	26020718	26021186
HLA-C	1.016	0.857	0.9365	0.000431513597010909	0.00860390834477348	TRUE	P30508	4	NA	6	31236526	31239907
RPL6	0.79	1.079	0.9345	0.000840041145363879	0.0108954590346449	TRUE	Q02878	10	NA	12	112842994	112856642
H4-16	1.19	0.642	0.916	0.00373851872095508	0.0196517109897115	TRUE	P62805	9	NA	12	14920933	14924065
ITIH2	0.965	0.825	0.895	0.000484211288985958	0.00860390834477348	TRUE	P19823	6	NA	10	7745232	7791483
COL6A1	1.012	0.76	0.886	0.000857870551289053	0.010963081015738	TRUE	P12109	11	NA	21	47401651	47424964
CORO1C	0.957	0.809	0.883	0.000529102389177772	0.00914058512168152	TRUE	Q9ULV4-3	16	NA	12	109038885	109125372
VCAN	1.177	0.582	0.8795	0.00550739847399243	0.0240498958487408	TRUE	P13611	7	NA	5	82767284	82878122
RPL10A	0.709	1.029	0.869	0.00135091662556993	0.0123573320802134	TRUE	P62906	10	NA	6	35436185	35438562
NT5E	1.252	0.479	0.8655	0.0125044011900912	0.0405459874410047	TRUE	P21589	6	NA	6	86159809	86205500
