ListName	Bait	CellType	GeneName	Interactor	Chr	Start	End
FN1_EC	FN1	EC	AGRN	TRUE	1	955503	991496
FN1_EC	FN1	EC	EXOSC10	TRUE	1	11126675	11159938
FN1_EC	FN1	EC	MED13	TRUE	17	60019966	60142643
FN1_EC	FN1	EC	IGHV1OR15-9	TRUE	15	20169909	20170354
FN1_EC	FN1	EC	RPLP0	TRUE	12	120634489	120639038
FN1_EC	FN1	EC	PURB	TRUE	7	44915896	44924960
FN1_EC	FN1	EC	NCOA2	TRUE	8	71021997	71316040
FN1_EC	FN1	EC	TUFM	TRUE	16	28853732	28857729
FN1_EC	FN1	EC	ABCF2	TRUE	7	150904923	150924316
FN1_EC	FN1	EC	CEP131	TRUE	17	79163393	79196799
FN1_EC	FN1	EC	RAI1	TRUE	17	17584787	17714767
FN1_EC	FN1	EC	MTHFSD	TRUE	16	86563782	86588841
FN1_EC	FN1	EC	TINAGL1	TRUE	1	32042116	32053288
FN1_EC	FN1	EC	RRP8	TRUE	11	6616305	6624850
FN1_EC	FN1	EC	CAVIN1	TRUE	17	40554470	40575535
FN1_EC	FN1	EC	AIMP1	TRUE	4	107236701	107270383
FN1_EC	FN1	EC	PRDX1	TRUE	1	45976708	45988719
FN1_EC	FN1	EC	DHX30	TRUE	3	47844399	47891685
FN1_EC	FN1	EC	RRP12	TRUE	10	99116115	99161127
FN1_EC	FN1	EC	H1-0	TRUE	22	38201114	38203442
FN1_EC	FN1	EC	MMRN2	TRUE	10	88695297	88729238
FN1_EC	FN1	EC	SNRPA1	TRUE	15	101821715	101835487
FN1_EC	FN1	EC	UGGT1	TRUE	2	128848774	128953251
FN1_EC	FN1	EC	LGALS1	TRUE	22	38071615	38075813
FN1_EC	FN1	EC	PARP12	TRUE	7	139723544	139763521
FN1_EC	FN1	EC	RBM33	TRUE	7	155437145	155574179
FN1_EC	FN1	EC	ALYREF	TRUE	17	79845713	79849462
FN1_EC	FN1	EC	HNRNPAB	TRUE	5	177631508	177638164
FN1_EC	FN1	EC	TCP1	TRUE	6	160199530	160210781
FN1_EC	FN1	EC	MYO5A	TRUE	15	52599480	52821247
FN1_EC	FN1	EC	HP1BP3	TRUE	1	21069154	21113816
FN1_EC	FN1	EC	RBMS3	TRUE	3	29322473	30051886
FN1_EC	FN1	EC	TUBA1C	TRUE	12	49582519	49667114
FN1_EC	FN1	EC	NPM1	TRUE	5	170814120	170838141
FN1_EC	FN1	EC	H4-16	TRUE	12	14920933	14924065
FN1_EC	FN1	EC	SEC22B	TRUE	1 (PATCHES)	227516	248095
FN1_EC	FN1	EC	TRA2B	TRUE	3	185633694	185655924
FN1_EC	FN1	EC	FBN1	TRUE	15	48700503	48938046
FN1_EC	FN1	EC	DPYSL2	TRUE	8	26371791	26515694
FN1_EC	FN1	EC	GIMAP8	TRUE	7	150147718	150176480
FN1_EC	FN1	EC	H2BC12	TRUE	6	27106072	27114637
FN1_EC	FN1	EC	CALM2	TRUE	14	90862846	90874605
FN1_EC	FN1	EC	MYH9	TRUE	22	36677327	36784063
FN1_EC	FN1	EC	MYL6	TRUE	12	56551945	56557280
FN1_EC	FN1	EC	CARD6	TRUE	5	40841286	40860275
FN1_EC	FN1	EC	PIK3C2A	TRUE	11	17099277	17229530
FN1_EC	FN1	EC	HSP90AB1	TRUE	6	44214824	44221620
FN1_EC	FN1	EC	MYO1D	TRUE	17	30819540	31204195
FN1_EC	FN1	EC	PHB2	TRUE	12	7074490	7079988
FN1_EC	FN1	EC	LGALS9	TRUE	17	25956824	25976586
FN1_EC	FN1	EC	IGLV3-21	TRUE	22	23054904	23055684
FN1_EC	FN1	EC	HSPA9	TRUE	5	137890571	137911133
FN1_EC	FN1	EC	ZMYM4	TRUE	1	35734568	35887659
FN1_EC	FN1	EC	MYO6	TRUE	6	76458909	76629254
FN1_EC	FN1	EC	IGKJ2	TRUE	2	89161037	89161075
FN1_EC	FN1	EC	TANC2	TRUE	17	61086917	61505060
FN1_EC	FN1	EC	MYBBP1A	TRUE	17	4442192	4458926
FN1_EC	FN1	EC	PLEC	TRUE	8	144989321	145050902
FN1_EC	FN1	EC	A2M	TRUE	12	9220260	9268825
FN1_EC	FN1	EC	ACTB	TRUE	7	5566782	5603415
FN1_EC	FN1	EC	EIF2S3	TRUE	X	24072833	24096088
FN1_EC	FN1	EC	PCM1	TRUE	8	17780349	17885478
FN1_EC	FN1	EC	MYO1E	TRUE	15	59427113	59665099
FN1_EC	FN1	EC	COL18A1	TRUE	21	46825052	46933634
FN1_EC	FN1	EC	SUN2	TRUE	22	39130730	39190148
FN1_EC	FN1	EC	MVP	TRUE	16	29831715	29859355
FN1_EC	FN1	EC	NID1	TRUE	1	236139130	236228462
FN1_EC	FN1	EC	DBT	TRUE	1	100652475	100715390
FN1_EC	FN1	EC	ARID1A	TRUE	1	27022524	27108595
FN1_EC	FN1	EC	ACACA	TRUE	17	35441923	35766909
FN1_EC	FN1	EC	CAV1	TRUE	7	116164839	116201233
FN1_EC	FN1	EC	DDX24	TRUE	14	94517266	94547591
FN1_EC	FN1	EC	SERPINE1	TRUE	7	100770370	100782547
FN1_EC	FN1	EC	SLC25A5	TRUE	X	118602363	118605282
FN1_EC	FN1	EC	BCL7C	TRUE	16	30844947	30906281
FN1_EC	FN1	EC	RPLP2	TRUE	11	809647	812880
FN1_EC	FN1	EC	MATR3	TRUE	5	138609441	138667360
FN1_EC	FN1	EC	RBM39	TRUE	20	34291531	34330234
FN1_EC	FN1	EC	PGAM5	TRUE	12	133287405	133299228
FN1_EC	FN1	EC	LMNA	TRUE	1	156052364	156109880
FN1_EC	FN1	EC	XRN2	TRUE	20	21283942	21370463
FN1_EC	FN1	EC	EEF2	TRUE	19	3976054	3985467
FN1_EC	FN1	EC	PDLIM7	TRUE	5	176910395	176924607
FN1_EC	FN1	EC	WTIP	TRUE	19	34971874	34997258
FN1_EC	FN1	EC	ATP1A1	TRUE	1	116915290	116952883
FN1_EC	FN1	EC	GTF2I	TRUE	7	74071994	74175026
FN1_EC	FN1	EC	PARP4	TRUE	13	24995064	25086948
FN1_EC	FN1	EC	ZNF618	TRUE	9	116638562	116818871
FN1_EC	FN1	EC	IGHV3OR16-9	TRUE	16	32077386	32077679
FN1_EC	FN1	EC	TFG	TRUE	3	100428205	100467810
FN1_EC	FN1	EC	PLG	TRUE	6	161123270	161174347
FN1_EC	FN1	EC	LMO7	TRUE	13	76194570	76434004
FN1_EC	FN1	EC	GAPDH	TRUE	12	6643093	6647537
FN1_EC	FN1	EC	FUS	TRUE	16	31191431	31203127
FN1_EC	FN1	EC	PLOD1	TRUE	1	11994262	12035595
FN1_EC	FN1	EC	YTHDC1	TRUE	4	69176105	69215807
FN1_EC	FN1	EC	HSD17B4	TRUE	5	118788138	118972894
FN1_EC	FN1	EC	RBFOX2	TRUE	22	36134783	36424473
FN1_EC	FN1	EC	IGHV3-73	TRUE	14	107210930	107211391
FN1_EC	FN1	EC	HADHA	TRUE	2	26413504	26467594
FN1_EC	FN1	EC	ATP5F1A	TRUE	18	43664110	43684300
FN1_EC	FN1	EC	SQOR	TRUE	15	45923346	45983492
