gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
EDN1	2.26362423338724	2.24510357667534	2.25436390503129	1.97053936646794e-18	1.23749872214187e-15	TRUE	gi|9000000025|!EDN1-3xFLAG	1	FALSE	6	12290596	12297427
MYL12A	1.80041530675263	1.93519631233958	1.8678058095461	1.02708189277738e-16	2.15002476221398e-14	TRUE	sp|P19105|ML12A_HUMAN	9	FALSE	18	3247479	3256234
MYL6	1.75491928962529	1.72978117098581	1.74235023030555	1.86291867867734e-16	2.92478232552342e-14	TRUE	B7Z6Z4|B7Z6Z4_HUMAN	10	FALSE	12	56551945	56557280
MYH9	1.58884177072816	1.61425481677407	1.60154829375111	8.14876386092855e-16	1.02348474093263e-13	TRUE	sp|P35579|MYH9_HUMAN	99	FALSE	22	36677327	36784063
GLUD1	1.25040434629711	1.43497642708542	1.34269038669126	5.44609937690186e-14	3.10922764426761e-12	TRUE	sp|P00367|DHE3_HUMAN	10	FALSE	10	88810243	88854623
ARPC3	1.16595811134821	1.25153177949139	1.2087449454198	1.35756755086183e-13	7.10460351617692e-12	TRUE	sp|O15145|ARPC3_HUMAN	2	FALSE	12	110872630	110888227
MYH10	1.15806152221349	1.13192876545759	1.14499514383554	2.7111919726984e-13	1.21616325632471e-11	TRUE	sp|P35580|MYH10_HUMAN	26	FALSE	17	8377523	8534079
SPECC1L	0.973373002778764	1.07385599893321	1.02361450085599	2.52798378549406e-12	9.33866951347218e-11	TRUE	sp|Q69YQ0-2|CYTSA_HUMAN	3	FALSE	22	24666786	24813708
P4HA1	1.03835444258742	1.00848595126154	1.02342019692448	1.84074019677945e-12	7.22490527235935e-11	TRUE	sp|P13674|P4HA1_HUMAN	2	FALSE	10	74766975	74856732
ACTR3	0.987897314851768	0.959928487132839	0.973912900992303	4.22806898481158e-12	1.39748806445351e-10	TRUE	sp|P61158|ARP3_HUMAN	13	FALSE	2	114647537	114720173
