gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
IGKV2-28	6.85524072416133	7.02198091431693	6.93861081923913	1.12962798176654e-10	3.70235571023984e-08	TRUE	sp|A0A075B6P5|KV228_HUMAN	3	FALSE	2	89521179	89521912
IGKV2-40	6.85524072416133	7.02198091431693	6.93861081923913	1.12962798176654e-10	3.70235571023984e-08	TRUE	A0A087X0Q4|A0A087X0Q4_HUMAN	3	FALSE	2	89629873	89630187
IGKV2D-28	6.85524072416133	7.02198091431693	6.93861081923913	1.12962798176654e-10	3.70235571023984e-08	TRUE	sp|P01615|KVD28_HUMAN	3	FALSE	2	89998825	89999557
IGKV2D-40	6.85524072416133	7.02198091431693	6.93861081923913	1.12962798176654e-10	3.70235571023984e-08	TRUE	sp|P01614|KVD40_HUMAN	3	FALSE	2	89890568	89891301
IGKJ1	5.75850447266717	5.87241957680897	5.81546202473807	2.04952714907993e-10	4.47821682073965e-08	TRUE	sp|A0A0A0MT89|KJ01_HUMAN	2	FALSE	2	89161398	89161435
IGHG4	5.64721889134197	5.73009995909935	5.68865942522066	1.90466383383409e-10	4.47821682073965e-08	TRUE	A0A286YFJ8|A0A286YFJ8_HUMAN	2	FALSE	14	106090687	106092403
IGHV3-73	4.80954734856664	4.95966384137982	4.88460559497323	7.63370961510904e-10	1.42968475791542e-07	TRUE	sp|A0A0B4J1V6|HV373_HUMAN	5	FALSE	14	107210930	107211391
IGLV1-40	4.35538798922002	4.00169458118244	4.17854128520123	1.48572678668035e-08	1.49829832102918e-06	TRUE	sp|P01703|LV140_HUMAN	3	FALSE	22	22764098	22764614
IGLV1-44	4.35538798922002	4.00169458118244	4.17854128520123	1.48572678668035e-08	1.49829832102918e-06	TRUE	sp|P01699|LV144_HUMAN	3	FALSE	22	22735249	22735716
IGLV1-47	4.35538798922002	4.00169458118244	4.17854128520123	1.48572678668035e-08	1.49829832102918e-06	TRUE	sp|P01700|LV147_HUMAN	3	FALSE	22	22712143	22712610
IGLV2-11	4.35538798922002	4.00169458118244	4.17854128520123	1.48572678668035e-08	1.49829832102918e-06	TRUE	sp|P01706|LV211_HUMAN	3	FALSE	22	23134980	23135496
