gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
CAPRIN1	1.766	1.659	1.7125	2.05326856966696e-74	1.06769965622682e-71	TRUE	Q14444	21	NA	11	34073230	34122703
PABPC1	1.649	1.258	1.4535	2.40582180901465e-58	6.25513670343809e-56	TRUE	P11940	36	NA	8	101698044	101735037
PABPC4	1.649	1.171	1.41	1.0870262469029e-55	1.88417882796503e-53	TRUE	Q13310-3	23	NA	1	40026488	40042462
NUDT21	1.442	1.335	1.3885	2.19536332934342e-54	2.85397232814645e-52	TRUE	O43809	15	NA	16	56463045	56486111
G3BP2	1.15	1.086	1.118	1.61172754627141e-38	1.67619664812227e-36	TRUE	Q9UN86	22	NA	4	76567966	76649709
EEF1D	1.157	1.046	1.1015	1.35468354418911e-37	1.17405907163057e-35	TRUE	E9PRY8	10	NA	8	144661867	144681711
FMR1	1.049	0.985	1.017	5.82257025467123e-33	4.32533790347006e-31	TRUE	Q06787	14	NA	X	146993469	147032645
GIT1	1.011	0.931	0.971	1.61738744883444e-30	1.05130184174239e-28	TRUE	Q9Y2X7-3	6	NA	17	27900487	27921072
NUFIP2	1.027	0.876	0.9515	1.68430019302579e-29	9.73151222637122e-28	TRUE	Q7Z417	18	NA	17	27582854	27621136
IGF2BP3	0.994	0.9	0.947	2.88163394799996e-29	1.49844965295998e-27	TRUE	O00425	22	NA	7	23349828	23510086
YBX1	1.013	0.864	0.9385	7.91558877073227e-29	3.74191469161889e-27	TRUE	P67809	16	NA	1	43148098	43168020
CPSF6	1	0.844	0.922	5.54596630224403e-28	2.40325206430574e-26	TRUE	Q16630-2	13	NA	12	69633317	69668138
EEF1B2	0.988	0.831	0.9095	2.39209081583002e-27	9.5683632633201e-26	TRUE	P24534	8	NA	2	207024309	207027652
VPS35L	0.914	0.903	0.9085	2.68747814895699e-27	9.98206169612596e-26	TRUE	Q7Z3J2	3	NA	16	19566562	19718115
CPSF7	0.961	0.843	0.902	5.71795810380198e-27	1.98222547598469e-25	TRUE	Q8N684-3	3	NA	11	61170121	61197503
ARGLU1	0.992	0.796	0.894	1.44180544380521e-26	4.68586769236695e-25	TRUE	Q9NWB6	5	NA	13	107194021	107220512
CEP170	1.006	0.767	0.8865	3.41619755691162e-26	1.04495454682003e-24	TRUE	Q5SW79-3	39	NA	1	243287730	243418650
ARHGEF7	0.906	0.851	0.8785	8.53248814129888e-26	2.46494101859745e-24	TRUE	Q14155-5	18	NA	13	111766906	111958084
ATXN2L	0.94	0.814	0.877	1.01244624861601e-25	2.77090552252802e-24	TRUE	Q8WWM7	24	NA	16	28834356	28848558
TAX1BP1	0.963	0.769	0.866	3.53069301074116e-25	9.17980182792702e-24	TRUE	Q86VP1	9	NA	7	27778950	27884183
PAK1	0.903	0.826	0.8645	4.18323836609877e-25	1.03584950017684e-23	TRUE	Q13153-2	4	NA	11	77032752	77185680
ARPC4	0.898	0.809	0.8535	1.4428952575199e-24	3.41047969959248e-23	TRUE	P59998-3	3	NA	3	9834179	9849410
LSM12	0.831	0.847	0.839	7.26967366680217e-24	1.64357839423353e-22	TRUE	Q3MHD2-2	4	NA	17	42112003	42144987
ETV6	0.849	0.809	0.829	2.19501659335974e-23	4.75586928561276e-22	TRUE	P41212	4	NA	12	11802788	12048336
CEP170	0.899	0.756	0.8275	2.58887958916272e-23	5.38486954545845e-22	TRUE	Q5SW79	40	NA	1	243287730	243418650
YBX3	0.855	0.793	0.824	3.80215649138827e-23	7.60431298277653e-22	TRUE	P16989	13	NA	12	10851683	10875911
ADAMTS7	0.874	0.747	0.8105	1.65807959555987e-22	3.19333848033753e-21	TRUE	Q9UKP4	1	NA	15	79051545	79103773
USP10	0.831	0.752	0.7915	1.28265256140974e-21	2.38206904261809e-20	TRUE	Q14694	16	NA	16	84733584	84813528
MAP1A	0.853	0.726	0.7895	1.58792882769226e-21	2.84732065655165e-20	TRUE	E9PGC8	51	NA	15	43803156	43823818
DCD	1.395	0.154	0.7745	7.78534325042916e-21	1.34945949674105e-19	TRUE	P81605	5	NA	12	55038375	55042277
KIF2A	0.774	0.773	0.7735	8.64954417615128e-21	1.45089128116086e-19	TRUE	O00139-2	7	NA	5	61601989	61833076
ARPC2	0.879	0.666	0.7725	9.60879837357238e-21	1.56142973570551e-19	TRUE	O15144	5	NA	2	219081817	219119079
ATXN2	0.852	0.691	0.7715	1.06734615302561e-20	1.68187878658581e-19	TRUE	Q99700	3	NA	12	111890018	112037480
U2AF2	0.82	0.666	0.743	2.05134390441856e-19	3.13734950087545e-18	TRUE	P26368	4	NA	19	56165512	56186081
RPL26	0.827	0.655	0.741	2.51699103288114e-19	3.73952953456626e-18	TRUE	P61254	7	NA	17	8280838	8286531
SPAG9	0.788	0.691	0.7395	2.93363139898552e-19	4.23746757631241e-18	TRUE	O60271	4	NA	17	49039535	49198226
RTCB	0.787	0.674	0.7305	7.32124421048479e-19	1.02893161877084e-17	TRUE	Q9Y3I0	19	NA	22	32783569	32808242
RTRAF	0.653	0.784	0.7185	2.44832727071982e-18	3.35034258098501e-17	TRUE	Q9Y224	12	NA	14	52456193	52471420
SERBP1	0.809	0.621	0.715	3.47244640059944e-18	4.62992853413259e-17	TRUE	Q8NC51	5	NA	1	67873493	67896098
EEF1G	0.807	0.613	0.71	5.70867523631602e-18	7.42127780721082e-17	TRUE	P26641	13	NA	11	62327073	62342401
RBMS2	0.837	0.543	0.69	4.06737883837672e-17	5.03580237132356e-16	TRUE	Q15434	3	NA	12	56915713	56984745
FAM120A	0.718	0.661	0.6895	4.26982403317243e-17	5.16350813313875e-16	TRUE	Q9NZB2-6	14	NA	9	96214004	96328397
RPS12	0.702	0.676	0.689	4.48223170985497e-17	5.2971829298286e-16	TRUE	P25398	7	NA	6	133135580	133138703
DDX1	0.729	0.645	0.687	5.44153233102089e-17	6.28799291584637e-16	TRUE	Q92499	11	NA	2	15731302	15771235
RPS10	0.721	0.619	0.67	2.78267698994239e-16	3.14563485819575e-15	TRUE	P46783	5	NA	6	34385231	34393902
RPS19	0.772	0.55	0.661	6.52250545330782e-16	7.21638901217035e-15	TRUE	P39019	8	NA	19	42363988	42376994
YLPM1	0.667	0.622	0.6445	3.04114125900563e-15	3.2945696972561e-14	TRUE	P49750-4	3	NA	14	75230069	75322244
PRKACA	0.683	0.589	0.636	6.64592697957929e-15	7.05282046812496e-14	TRUE	P17612	4	NA	19	14202500	14228896
ARPC3	0.741	0.522	0.6315	1.00214547915382e-14	1.04223129831997e-13	TRUE	O15145	2	NA	12	110872630	110888227
RPL31	0.759	0.501	0.63	1.14862234494711e-14	1.17114435171078e-13	TRUE	P62899	3	NA	2	101618177	101640494
PURB	0.774	0.485	0.6295	1.20199452255157e-14	1.20199452255157e-13	TRUE	Q96QR8	3	NA	7	44915896	44924960
FXR1	0.638	0.608	0.623	2.16398008212331e-14	2.12315026925306e-13	TRUE	P51114	21	NA	3	180585929	180700541
RPL19	0.774	0.443	0.6085	7.89981868929572e-14	7.46891948806141e-13	TRUE	P84098	6	NA	17	37356536	37360980
TNKS1BP1	0.702	0.507	0.6045	1.12452929675344e-13	1.04420577555677e-12	TRUE	Q9C0C2	4	NA	11	57067112	57092426
TRA2B	0.717	0.484	0.6005	1.59789446422338e-13	1.45772828315115e-12	TRUE	P62995	4	NA	3	185633694	185655924
SNRNP70	0.607	0.55	0.5785	1.06832366806611e-12	9.57807426542027e-12	TRUE	P08621	4	NA	19	49588676	49611862
RBMS1	0.691	0.456	0.5735	1.63265440608907e-12	1.43894964604461e-11	TRUE	P29558	5	NA	2	161128662	161350305
ARPC5	0.694	0.441	0.5675	2.70564820209335e-12	2.3448951084809e-11	TRUE	O15511	4	NA	1	183592401	183604892
FXR2	0.629	0.502	0.5655	3.19885593493127e-12	2.72689358387584e-11	TRUE	P51116	16	NA	17	7494548	7518189
RPLP2	0.476	0.645	0.5605	4.85198302470735e-12	4.06940511749649e-11	TRUE	P05387	5	NA	11	809647	812880
CAV1	0.59	0.521	0.5555	7.33797895307642e-12	5.9621078993746e-11	TRUE	Q03135	5	NA	7	116164839	116201233
RRBP1	0.637	0.473	0.555	7.64666812155417e-12	6.11733449724334e-11	TRUE	Q9P2E9	31	NA	20	17594323	17662940
HNRNPK	0.446	0.662	0.554	8.30281906998321e-12	6.54161502483525e-11	TRUE	P61978-2	10	NA	9	86582998	86595569
RPS6	0.585	0.518	0.5515	1.01949625995957e-11	7.91250828625335e-11	TRUE	P62753	7	NA	9	19375713	19380252
PRRC2C	0.588	0.514	0.551	1.06213403826734e-11	8.12220146910316e-11	TRUE	Q9Y520-7	6	NA	1	171454651	171562650
EIF4G1	0.563	0.531	0.547	1.47254296142144e-11	1.10974252165094e-10	TRUE	Q04637-9	7	NA	3	184032283	184053146
RPL23A	0.591	0.495	0.543	2.03767602251551e-11	1.51370218815438e-10	TRUE	P62750	9	NA	17	27046411	27051377
ZC3HAV1	0.588	0.485	0.5365	3.44040354565144e-11	2.51973217427993e-10	TRUE	C9J6P4	2	NA	7	138728266	138794465
LUC7L2	0.669	0.397	0.533	4.55186290749853e-11	3.28745654430449e-10	TRUE	Q9Y383	12	NA	7	139025105	139108198
LARP1	0.651	0.401	0.526	7.9329677024552e-11	5.65088110311878e-10	TRUE	Q6PKG0	5	NA	5	154092462	154197167
TNFAIP3	0.526	0.522	0.524	9.28737573866912e-11	6.5262640325783e-10	TRUE	P21580	6	NA	6	138188351	138204449
AKAP9	0.532	0.504	0.518	1.48595442086757e-10	1.01670565638307e-09	TRUE	Q99996-6	10	NA	7	91570181	91739987
U2AF1	0.615	0.42	0.5175	1.54500315371633e-10	1.04337875315908e-09	TRUE	Q01081-2	4	NA	21	44513066	44527697
GIT2	0.559	0.457	0.508	3.22086585384916e-10	2.14724390256611e-09	TRUE	Q14161	12	NA	12	110367607	110434194
PRKAR2A	0.569	0.443	0.506	3.7543068029781e-10	2.44029942193576e-09	TRUE	P13861	9	NA	3	48782030	48885279
PUF60	0.586	0.415	0.5005	5.70772184967085e-10	3.61953092905956e-09	TRUE	Q9UHX1	3	NA	8	144898514	144912029
ALB	0.254	0.742	0.498	6.89644509589556e-10	4.32066439742854e-09	TRUE	P02768	6	NA	4	74262831	74287129
MAP1B	0.516	0.474	0.495	8.64526045749055e-10	5.35182790225605e-09	TRUE	P46821	28	NA	5	71403061	71505395
RPL35	0.642	0.341	0.4915	1.12377278210605e-09	6.87484525523703e-09	TRUE	P42766	5	NA	9	127620159	127624260
G3BP1	0.524	0.437	0.4805	2.53714985609415e-09	1.51645738525168e-08	TRUE	Q13283	7	NA	5	151150606	151192346
RPL24	0.594	0.362	0.478	3.04656208784632e-09	1.80024123372737e-08	TRUE	P83731	2	NA	3	101399935	101405626
ELAVL1	0.494	0.438	0.466	7.2524980065665e-09	4.23741456563436e-08	TRUE	Q15717-2	10	NA	19	8023463	8070543
ACTR3	0.56	0.34	0.45	2.24079416280079e-08	1.25291716629723e-07	TRUE	P61158	13	NA	2	114647537	114720173
PRKAR1A	0.469	0.431	0.45	2.24079416280081e-08	1.25291716629723e-07	TRUE	P10644	4	NA	17	66507921	66547460
UPF1	0.525	0.368	0.4465	2.85547843427957e-08	1.57962636789934e-07	TRUE	Q92900	14	NA	19	18942747	18979045
IGF2BP2	0.517	0.372	0.4445	3.27740897414634e-08	1.7569615119135e-07	TRUE	Q9Y6M1	12	NA	3	185361527	185542844
RPS11	0.552	0.332	0.442	3.89073175650325e-08	2.04361668018353e-07	TRUE	P62280	9	NA	19	49999622	50002946
RPL36AL	0.454	0.407	0.4305	8.47663231057752e-08	4.36420673415872e-07	TRUE	Q969Q0	5	NA	14	50085237	50087403
STAU1	0.454	0.407	0.4305	8.47663231057752e-08	4.36420673415872e-07	TRUE	O95793	4	NA	20	47729878	47804904
RPS2	0.467	0.384	0.4255	1.18288322416319e-07	6.03038506436137e-07	TRUE	P15880	14	NA	16	2012053	2014861
RPL8	0.57	0.278	0.424	1.30641744188918e-07	6.53208720944592e-07	TRUE	P62917	5	NA	8	146015150	146017972
RPL17	0.537	0.306	0.4215	1.54063248831172e-07	7.62979898973421e-07	TRUE	P18621-3	8	NA	18	47008051	47017956
FIP1L1	0.472	0.362	0.417	2.06879023348836e-07	1.00539338449902e-06	TRUE	Q6UN15	6	NA	4	54243810	55161439
CAVIN2	0.499	0.334	0.4165	2.13732024448457e-07	1.01963901571742e-06	TRUE	O95810	3	NA	2	192699031	192712006
RPS28	0.439	0.394	0.4165	2.13732024448459e-07	1.01963901571742e-06	TRUE	P62857	3	NA	19	8386042	8388224
RPL13	0.474	0.33	0.402	5.42134679538943e-07	2.45139159443696e-06	TRUE	P26373	3	NA	16	89627065	89630950
BCLAF1	0.463	0.334	0.3985	6.75893200686e-07	2.97851240980271e-06	TRUE	Q9NYF8	6	NA	6	136578001	136610989
S100A10	0.379	0.408	0.3935	9.23573048254425e-07	4.03578138733026e-06	TRUE	P60903	2	NA	1	151955391	151966866
