gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
ARHGEF26	1.72285733619393	2.14007500535109	1.93146617077251	4.62740735663077e-19	3.49369255425623e-17	TRUE	gi|9000000001|3xFLAG-ARHGEF26	16	FALSE	3	153838792	153975616
ARHGEF26	1.72285733619393	2.14007500535109	1.93146617077251	4.62740735663077e-19	3.49369255425623e-17	TRUE	sp|Q96DR7|ARHGQ_HUMAN	16	FALSE	3	153838792	153975616
RRBP1	1.42182936010413	1.84368642431291	1.63275789220852	6.26173124102546e-15	2.36380354348711e-13	TRUE	sp|Q9P2E9|RRBP1_HUMAN	4	FALSE	20	17594323	17662940
TXNDC12	1.20882500499783	1.72934521631805	1.46908511065794	9.36014838441037e-13	2.82676481209193e-11	TRUE	sp|O95881|TXD12_HUMAN	4	FALSE	1	52485803	52521843
EEF1A1	1.03493557027351	1.3684913276046	1.20171344893905	2.03518943800998e-09	3.84142006424384e-08	TRUE	sp|P68104|EF1A1_HUMAN	10	FALSE	6	74225473	74233520
EEF1A1P5	1.03493557027351	1.3684913276046	1.20171344893905	2.03518943800998e-09	3.84142006424384e-08	TRUE	sp|Q5VTE0|EF1A3_HUMAN	10	FALSE	9	135894822	135896562
PPIB	0.585889691579297	0.936262464404621	0.761076077991959	8.42860370924324e-05	0.00084847944006382	TRUE	sp|P23284|PPIB_HUMAN	11	FALSE	15	64448011	64455404
PDIA6	1.14620848409398	0.278192231089859	0.712200357591919	0.000223553467547759	0.00198568079998303	TRUE	sp|Q15084-3|PDIA6_HUMAN	2	FALSE	2	10923517	10978103
EEF1D	0.562953534555472	0.838128498156138	0.700541016355805	0.000280182196501376	0.00235041731509488	TRUE	E9PRY8|E9PRY8_HUMAN	4	FALSE	8	144661867	144681711
FLNA	0.314114645005841	1.01829351555831	0.666204080282075	0.000536257878813631	0.00404874698504291	TRUE	A0A087WWY3|A0A087WWY3_HUMAN	4	FALSE	X	153576892	153603006
