gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
BTBD10	1.56375460196195	1.59558304269251	1.57966882232723	8.40086976855056e-07	0.000390640444237601	TRUE	B7Z503|B7Z503_HUMAN	3	FALSE	11	13409548	13484844
PDE4D	1.13457481328982	1.29612922696146	1.21535202012564	1.1420360711089e-05	0.000656818587213981	TRUE	sp|Q08499-6|PDE4D_HUMAN	5	FALSE	5	58264865	59817947
HIC1	0.981320710649971	1.05986801941125	1.02059436503061	8.58807313282657e-06	0.000656818587213981	TRUE	sp|Q14526-2|HIC1_HUMAN	4	FALSE	17	1957448	1962981
MYH14	0.860303588718764	1.17814590753046	1.01922474812461	0.000173610194811933	0.00180157893471059	TRUE	sp|Q7Z406|MYH14_HUMAN	2	FALSE	19	50691443	50813802
BANP	0.924193339209022	1.01943228399148	0.971812811600251	1.28897847254976e-05	0.000656818587213981	TRUE	sp|Q8N9N5-3|BANP_HUMAN	3	FALSE	16	87982850	88110924
POLDIP3	0.782620151150041	1.05891904022815	0.920769595689096	0.000169064860527989	0.00180157893471059	TRUE	sp|Q9BY77|PDIP3_HUMAN	2	FALSE	22	42979727	43010968
AHNAK2	0.832473231078009	0.951767186678939	0.892120208878474	2.54053910070611e-05	0.000787567121218893	TRUE	sp|Q8IVF2-3|AHNK2_HUMAN	4	FALSE	14	105403581	105444694
RPL29	1.11828534416282	0.613278972843556	0.865782158503188	0.00186486542985156	0.00543457704782891	TRUE	sp|P47914|RL29_HUMAN	2	FALSE	3	52027616	52029958
HSD17B10	0.892270410129843	0.812596581768759	0.852433495949301	1.92810865989926e-05	0.000747142105710963	TRUE	sp|Q99714|HCD2_HUMAN	3	FALSE	X	53458206	53461320
TP53BP1	0.685178881607253	0.914503622991173	0.799841252299213	0.00017601297021445	0.00180157893471059	TRUE	sp|Q12888|TP53B_HUMAN	4	FALSE	15	43699407	43802926
