gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
HDAC9	2.54691928932469	2.39775958460831	2.4723394369665	4.98536836664873e-26	1.1865176712624e-23	TRUE	sp|Q9UKV0-3|HDAC9_HUMAN	25	FALSE	7	18126572	19042039
RPL13	1.69406621021326	1.29386349452328	1.49396485236827	7.43482908180498e-12	8.84744660734793e-10	TRUE	sp|P26373|RL13_HUMAN	3	FALSE	16	89627065	89630950
NCL	1.35654015859379	1.19211148368491	1.27432582113935	3.26317643061357e-09	2.58878663495344e-07	TRUE	sp|P19338|NUCL_HUMAN	6	FALSE	2	232318242	232348352
SERF2	1.46808462102498	0.847573447440968	1.15782903423297	6.29702115956883e-08	3.74672758994346e-06	TRUE	sp|P84101-4|SERF2_HUMAN	3	FALSE	15	44069285	44094787
RPL31	1.17607526810009	0.916774813772559	1.04642504093632	8.81507227578115e-07	4.19597440327183e-05	TRUE	sp|P62899|RL31_HUMAN	3	FALSE	2	101618177	101640494
FGF2	0.746819110756899	1.15135807280179	0.949088591779344	7.50916201688595e-06	0.000255311508574122	TRUE	A0A087WUF6|A0A087WUF6_HUMAN	2	FALSE	4	123747863	123819391
LGALS1	0.784631914632246	1.08436035374812	0.934496134190183	1.02124694762073e-05	0.000303820966917166	TRUE	sp|P09382|LEG1_HUMAN	2	FALSE	22	38071615	38075813
MARCKS	0.67843574359819	0.949718129128666	0.814076936363428	0.000112145712133403	0.00276062000685851	TRUE	sp|P29966|MARCS_HUMAN	3	FALSE	6	114178541	114184648
RPS10	0.874231667121556	0.650915162262962	0.762573414692259	0.000288786563312876	0.00528701554372803	TRUE	sp|P46783|RS10_HUMAN	3	FALSE	6	34385231	34393902
RPS14	0.532800235987896	0.952779891699546	0.742790063843721	0.000409990054896189	0.00696983093323522	TRUE	A0A2R8Y811|A0A2R8Y811_HUMAN	2	FALSE	5	149822753	149829319
MRPS18B	0.598251633551495	0.859344214893969	0.728797924222732	0.000523026186984813	0.0082986821668257	TRUE	sp|Q9Y676|RT18B_HUMAN	2	FALSE	6	30585486	30594172
RPS19	0.788298424126918	0.586467339955831	0.687382882041374	0.00105260302874171	0.014736442402384	TRUE	sp|P39019|RS19_HUMAN	4	FALSE	19	42363988	42376994
HMGN4	0.9475436497326	0.409266786307196	0.678405218019898	0.00121974515479452	0.0152789129916366	TRUE	sp|O00479|HMGN4_HUMAN	2	FALSE	6	26538633	26546482
RPS25	0.483401648529856	0.841872084181972	0.662636866355914	0.00157431352612576	0.0187343309608966	TRUE	sp|P62851|RS25_HUMAN	3	FALSE	11	118886422	118889401
LTBP1	0.407021726853781	0.89073502270643	0.648878374780105	0.00195939292181396	0.0211970688814419	TRUE	sp|Q14766|LTBP1_HUMAN	9	FALSE	2	33172039	33624576
DCD	0.733944832399715	0.536072462376186	0.63500864738795	0.0024341253407833	0.0241702650995312	TRUE	sp|P81605|DCD_HUMAN	7	FALSE	12	55038375	55042277
RPL23	0.32694783535727	0.896135774239859	0.611541804798564	0.00348449975065854	0.0318965746406435	TRUE	J3KTJ3|J3KTJ3_HUMAN	2	FALSE	17	37004118	37010096
DPP7	-0.0112157807803435	1.15268564563637	0.570734932428013	0.0063411153392332	0.0558957574347223	TRUE	sp|Q9UHL4|DPP2_HUMAN	6	FALSE	9	140004994	140009629
CIRBP	0.614304728627562	0.502031200852144	0.558167964739853	0.00757608932666274	0.0621761813705425	TRUE	sp|Q14011|CIRBP_HUMAN	4	FALSE	19	1259384	1274879
LMNA	0.775014465392687	0.334566356549153	0.55479041097092	0.00794309417470889	0.0630152137860238	TRUE	sp|P02545-2|LMNA_HUMAN	6	FALSE	1	156052364	156109880
RPS7	0.432021190704244	0.632781138145386	0.532401164424815	0.0108083333120873	0.080386979008649	TRUE	B5MCP9|B5MCP9_HUMAN	3	FALSE	2	3622795	3628509
HSPA1A	0.422296996188454	0.497031327248262	0.459664161718358	0.0274947533618021	0.172203981581813	FALSE	sp|P0DMV8-2|HS71A_HUMAN	2	FALSE	6	31783291	31785723
YWHAG	0.516069967040831	0.370534839392263	0.443302403216547	0.0334441796571561	0.191125042510169	FALSE	sp|P61981|1433G_HUMAN	2	FALSE	7	75956116	75988348
RPS3A	0.282540915040098	0.598717153783131	0.440629034411614	0.0345148388083155	0.191125042510169	FALSE	H0Y9Y4|H0Y9Y4_HUMAN	4	FALSE	4	152020725	152025804
SSBP1	0.479703324159544	0.398193227725027	0.438948275942285	0.035202946218039	0.191125042510169	FALSE	C9K0U8|C9K0U8_HUMAN	2	FALSE	7	141438121	141487722
RPS3	0.249056321785144	0.617242317657468	0.433149319721306	0.0376682422179088	0.191125042510169	FALSE	E9PK82|E9PK82_HUMAN	2	FALSE	11	75110530	75133324
HMGA1	0.541002563419038	0.32332515861459	0.432163861016814	0.0381015561708898	0.191125042510169	FALSE	sp|P17096-2|HMGA1_HUMAN	4	FALSE	6	34204650	34214008
LGALS7	0.960891190183553	-0.0966388966788578	0.432126146752348	0.038118223827831	0.191125042510169	FALSE	sp|P47929|LEG7_HUMAN	2	FALSE	19	39261611	39264132
RPS16	0.319095424980528	0.539097672032714	0.429096548506621	0.0394776784263876	0.191748723785311	FALSE	M0R210|M0R210_HUMAN	3	FALSE	19	39923847	39926588
EWSR1	0.261860663959631	0.567782058994631	0.414821361477131	0.0464538075427378	0.204740855466141	FALSE	H7BY36|H7BY36_HUMAN	2	FALSE	22	29663998	29696515
