gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
PLPP3	3.13815185210546	3.41252641840437	3.27533913525491	4.96543295682856e-06	0.00170026433936428	TRUE	sp|O14495|PLPP3_HUMAN	13	FALSE	1	56960419	57045257
CALU	1.37400256177579	1.1931233826649	1.28356297222034	5.20919593423209e-05	0.00470746811530342	TRUE	sp|O43852|CALU_HUMAN	2	FALSE	7	128379346	128411861
NT5E	1.23968261293586	1.1829784049392	1.21133050893753	1.28732885333347e-05	0.00170026433936428	TRUE	sp|P21589|5NTD_HUMAN	18	FALSE	6	86159809	86205500
LAMA5	0.0179737622283476	1.86031302250803	0.939143392368189	0.139440860996509	0.230211498395198	FALSE	sp|O15230|LAMA5_HUMAN	4	FALSE	20	60883011	60942368
ATP5PF	0.737813400136247	0.902245284273416	0.820029342204832	0.000218838991754602	0.00683175543350274	TRUE	sp|P18859|ATP5J_HUMAN	4	FALSE	21	27088815	27107984
FN1	0.83476690774674	0.680610943782092	0.757688925764416	0.000254791662419585	0.00705608523184561	TRUE	sp|P02751-17|FINC_HUMAN	69	FALSE	2	216225163	216300895
ACLY	0.792785335978863	0.700412801649616	0.746599068814239	0.000116998699244902	0.00558018796120825	TRUE	sp|P53396|ACLY_HUMAN	42	FALSE	17	40023161	40086795
FGF2	0.768459676623511	0.65430890952549	0.7113842930745	0.000186382259805767	0.00679559198307128	TRUE	sp|P09038-2|FGF2_HUMAN	7	FALSE	4	123747863	123819391
ZRANB2	0.660537124398736	0.713295742184023	0.686916433291379	0.000101573231129505	0.00512944817204002	TRUE	sp|O95218-2|ZRAB2_HUMAN	5	FALSE	1	71528974	71546980
MYADM	0.67988731950124	0.67014151555167	0.675014417526455	8.39890213103024e-05	0.00512944817204002	TRUE	C9JZL8|C9JZL8_HUMAN	4	FALSE	19	54369477	54379691
LRPPRC	0.703457213083297	0.607352932862245	0.655405072972771	0.000198382900366335	0.00679559198307128	TRUE	sp|P42704|LPPRC_HUMAN	104	FALSE	2	44113647	44223144
RCN2	0.563466434541212	0.624365519497697	0.593915977019455	0.00018811491251597	0.00679559198307128	TRUE	sp|Q14257|RCN2_HUMAN	24	FALSE	15	77223960	77242601
SLIRP	0.565646790310709	0.573603246522016	0.569625018416362	0.000156654652318186	0.00656039117147134	TRUE	sp|Q9GZT3-2|SLIRP_HUMAN	14	FALSE	14	78174414	78227447
COL1A1	0.566278404606724	0.525619987613499	0.545949196110111	0.000213722753107658	0.00679559198307128	TRUE	sp|P02452|CO1A1_HUMAN	7	FALSE	17	48260650	48278993
EEF1A1	0.583815593609437	0.504010968607108	0.543913281108272	0.000320924337809922	0.00822428489581546	TRUE	sp|P68104|EF1A1_HUMAN	29	FALSE	6	74225473	74233520
COL1A2	0.533794726467516	0.524988545768451	0.529391636117983	0.000205425189269933	0.00679559198307128	TRUE	A0A087WTA8|A0A087WTA8_HUMAN	6	FALSE	7	94023873	94060544
ATP5PD	0.523251719583179	0.533385850254831	0.528318784919005	0.000207489916346228	0.00679559198307128	TRUE	sp|O75947|ATP5H_HUMAN	7	FALSE	17	73034955	73043074
FLOT2	0.924552501151901	0.131775082433691	0.528163791792796	0.0773498244308213	0.151956119619817	FALSE	K7EKW9|K7EKW9_HUMAN	2	FALSE	17	27206353	27224697
CDV3	0.484720991485339	0.543804967575252	0.514262979530296	0.000313355464889974	0.00815198989721343	TRUE	sp|Q9UKY7|CDV3_HUMAN	15	FALSE	3	133292574	133309105
PHB	0.488047118736684	0.525776683248264	0.506911900992474	0.000274682208423212	0.00748618018829612	TRUE	sp|P35232|PHB_HUMAN	6	FALSE	17	47481414	47492246
IQGAP1	0.480086634488725	0.470674853879967	0.475380744184346	0.000305271114719899	0.00815198989721343	TRUE	sp|P46940|IQGA1_HUMAN	70	FALSE	15	90931450	91045475
HADHB	0.446802383834388	0.486931246841017	0.466866815337702	0.000377817755039731	0.00888648062196189	TRUE	sp|P55084|ECHB_HUMAN	20	FALSE	2	26466038	26513336
HSPG2	0.451578556214645	0.477373889769297	0.464476222991971	0.000351894954957238	0.0085147999512301	TRUE	sp|P98160|PGBM_HUMAN	19	FALSE	1	22148738	22263790
ATP5PB	0.399807975782704	0.519888498985125	0.459848237383914	0.000991323265055737	0.0143033785386614	TRUE	sp|P24539|AT5F1_HUMAN	6	FALSE	1	111991486	112005395
