gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
CASK	1.04203513711436	1.14415284491566	1.09309399101501	7.59078929741257e-05	0.0410676156032047	TRUE	A0A2U3TZN6|A0A2U3TZN6_HUMAN	2	FALSE	X	41374187	41782716
SUN2	0.892750588556648	0.918673882487465	0.905712235522056	0.000130482309151561	0.0410676156032047	TRUE	sp|Q9UH99|SUN2_HUMAN	18	FALSE	22	39130730	39190148
GARS1	1.30947389735903	0.498576344302165	0.904025120830597	0.011926517945852	0.075189295253405	TRUE	sp|P41250|GARS_HUMAN	7	FALSE	7	30634181	30673649
TPM1	0.686559367697878	0.872768197023341	0.779663782360609	0.000525435151466341	0.0469607666623042	TRUE	sp|P09493-3|TPM1_HUMAN	2	FALSE	15	63334831	63364114
MYO6	0.626131038568424	0.789097215653054	0.707614127110739	0.000669868460759779	0.0469847513926079	TRUE	A0A0A0MRM8|A0A0A0MRM8_HUMAN	18	FALSE	6	76458909	76629254
COL5A1	-0.0245027550204178	1.4127607437271	0.694128994353341	0.1285154567234	0.244523844238283	FALSE	sp|P20908-2|CO5A1_HUMAN	2	FALSE	9	137533620	137736686
H4-16	0.862638268665279	0.522779509016964	0.692708888841121	0.00257508730055569	0.048609451843056	TRUE	sp|P62805|H4_HUMAN	8	FALSE	12	14920933	14924065
LDHA	0.476214574125958	0.844606110061473	0.660410342093715	0.00377735483479234	0.0529570334681672	TRUE	sp|P00338|LDHA_HUMAN	3	FALSE	11	18415935	18429972
LTBP1	0.326632931379422	0.956083778408715	0.641358354894068	0.0183635431095936	0.0830271040010651	TRUE	sp|Q14766|LTBP1_HUMAN	6	FALSE	2	33172039	33624576
MIF	0.568982431431998	0.63710200705852	0.603042219245259	0.000788555268127684	0.0469847513926079	TRUE	sp|P14174|MIF_HUMAN	2	FALSE	22	24236191	24237414
SPTBN1	0.319336186585737	0.839435385521199	0.579385786053468	0.0152766668083846	0.0807383054611993	TRUE	sp|Q01082-3|SPTB2_HUMAN	2	FALSE	2	54683422	54896812
HSPB1	0.683556196409508	0.467663740008529	0.575609968209018	0.00221773458134281	0.048609451843056	TRUE	sp|P04792|HSPB1_HUMAN	3	FALSE	7	75931861	75933612
ERH	0.5014024142931	0.646891906628966	0.574147160461033	0.00140666013085164	0.048609451843056	TRUE	sp|P84090|ERH_HUMAN	4	FALSE	14	69846848	69865344
MYCBP	0.539389685809713	0.542409680265205	0.540899683037459	0.00108945446894469	0.048609451843056	TRUE	sp|Q99417|MYCBP_HUMAN	9	FALSE	1	39328636	39347289
RPL14	0.580750135816	0.490236754977548	0.535493445396774	0.00139566272376373	0.048609451843056	TRUE	sp|P50914|RL14_HUMAN	4	FALSE	3	40498783	40503861
DDOST	0.541549477673794	0.514028985709494	0.527789231691644	0.00122765961840595	0.048609451843056	TRUE	A0A0C4DGS1|A0A0C4DGS1_HUMAN	2	FALSE	1	20978270	20988000
RPL37A	0.411583778179004	0.632351261482253	0.521967519830628	0.00337176047268102	0.048609451843056	TRUE	sp|P61513|RL37A_HUMAN	4	FALSE	2	217362912	217443903
USP15	0.597812274949732	0.441846314110986	0.519829294530359	0.0022323981676495	0.048609451843056	TRUE	sp|Q9Y4E8-2|UBP15_HUMAN	8	FALSE	12	62654119	62811211
STK38	0.561164485362106	0.454115993573463	0.507640239467784	0.0018669766470647	0.048609451843056	TRUE	sp|Q15208|STK38_HUMAN	19	FALSE	6	36461669	36515247
PRMT5	0.471501879829848	0.532413292906327	0.501957586368087	0.0016219568681251	0.048609451843056	TRUE	sp|O14744|ANM5_HUMAN	57	FALSE	14	23389720	23398794
IMPDH2	0.524290974577845	0.478545338927745	0.501418156752795	0.00156326511699938	0.048609451843056	TRUE	H0Y4R1|H0Y4R1_HUMAN	3	FALSE	3	49061758	49066841
CTSV	0.373594179610276	0.624938818216421	0.499266498913348	0.00494594686964109	0.0570379356740868	TRUE	sp|O60911|CATL2_HUMAN	2	FALSE	9	99794940	99801925
RPL13A	0.520925314586428	0.46625004101454	0.493587677800484	0.00170384174113777	0.048609451843056	TRUE	sp|P40429|RL13A_HUMAN	8	FALSE	19	49990811	49995565
G3BP2	0.566640518991786	0.419359386246619	0.492999952619202	0.00261212361868856	0.048609451843056	TRUE	sp|Q9UN86|G3BP2_HUMAN	3	FALSE	4	76567966	76649709
GBE1	0.378895505639242	0.574166141449787	0.476530823544514	0.00404117200037427	0.0530367553938238	TRUE	E9PGM4|E9PGM4_HUMAN	10	FALSE	3	81538850	81811312
NPM1	0.53110968735924	0.419397317457367	0.475253502408303	0.00248290327349127	0.048609451843056	TRUE	sp|P06748-3|NPM_HUMAN	7	FALSE	5	170814120	170838141
CSDE1	0.371967768271976	0.570395286496556	0.471181527384266	0.00431017232534903	0.0540661967127115	TRUE	sp|O75534-2|CSDE1_HUMAN	3	FALSE	1	115259534	115301297
TMED2	0.582201671622553	0.350346301725423	0.466273986673988	0.00561545050980261	0.0581915708078643	TRUE	F5GX39|F5GX39_HUMAN	2	FALSE	12	124069078	124083116
ACTR1A	0.351640266001944	0.569159533843116	0.46039989992253	0.00534937065164162	0.0581915708078643	TRUE	sp|P61163|ACTZ_HUMAN	5	FALSE	10	104238986	104262482
DLG1	0.488766410737917	0.427610918746424	0.45818866474217	0.00233592143716414	0.048609451843056	TRUE	sp|Q12959-5|DLG1_HUMAN	3	FALSE	3	196769431	197026171
HSPA9	0.426823214018281	0.478981775657637	0.452902494837959	0.00238427670169173	0.048609451843056	TRUE	sp|P38646|GRP75_HUMAN	13	FALSE	5	137890571	137911133
HNRNPH1	0.614503225440139	0.282904008015077	0.448703616727608	0.0125545953456827	0.0767716550905539	TRUE	E9PCY7|E9PCY7_HUMAN	4	FALSE	5	179041179	179061785
RPL7A	0.40289471369482	0.485432185641891	0.444163449668355	0.0028453592621968	0.048609451843056	TRUE	sp|P62424|RL7A_HUMAN	10	FALSE	9	136215069	136218281
THBS2	0.457255082290047	0.419553007431769	0.438404044860908	0.0026237484749978	0.048609451843056	TRUE	sp|P35442|TSP2_HUMAN	2	FALSE	6	169615875	169654139
GPATCH1	0.392510976517364	0.476986292741319	0.434748634629341	0.0031185528245345	0.048609451843056	TRUE	sp|Q9BRR8|GPTC1_HUMAN	3	FALSE	19	33571786	33621448
RPL27	0.4312464940664	0.399537377838104	0.415391935952252	0.00320833964666025	0.048609451843056	TRUE	sp|P61353|RL27_HUMAN	10	FALSE	17	41150290	41154976
H2AC14	0.695523683130233	0.117152065754514	0.406337874442373	0.06161222258782	0.158010531047713	FALSE	sp|Q99878|H2A1J_HUMAN	2	FALSE	6	27782080	27782518
HSPA1A	0.22560837551811	0.574153231666347	0.399880803592228	0.0207979226500324	0.0859540903982713	TRUE	sp|P0DMV8|HS71A_HUMAN	2	FALSE	6	31783291	31785723
SRRM2	0.4415807402331	0.345091650105974	0.393336195169537	0.00483035995850005	0.0570379356740868	TRUE	sp|Q9UQ35|SRRM2_HUMAN	84	FALSE	16	2802330	2822539
RPL34	0.439625883119838	0.343722048800956	0.391673965960397	0.00489687298788418	0.0570379356740868	TRUE	sp|P49207|RL34_HUMAN	6	FALSE	4	109541722	109551568
PSMA4	0.515657304512771	0.267650927724699	0.391654116118735	0.0119026188018693	0.075189295253405	TRUE	sp|P25789|PSA4_HUMAN	5	FALSE	15	78832747	78841604
RPL6	0.404477556373607	0.375619767169777	0.390048661771692	0.00407975041490953	0.0530367553938238	TRUE	sp|Q02878|RL6_HUMAN	16	FALSE	12	112842994	112856642
MVP	0.290375630242984	0.487637027793017	0.389006329018	0.0088069590110833	0.0637786411025187	TRUE	sp|Q14764|MVP_HUMAN	4	FALSE	16	29831715	29859355
RPL11	0.417122522753552	0.359785504668107	0.388454013710829	0.00440361866847987	0.0542859887579846	TRUE	Q5VVC8|Q5VVC8_HUMAN	6	FALSE	1	24018269	24022915
RPL8	0.367806785803229	0.406910255836866	0.387358520820047	0.00426369793020194	0.0540661967127115	TRUE	sp|P62917|RL8_HUMAN	14	FALSE	8	146015150	146017972
RPL10A	0.309339845141171	0.460797024317696	0.385068434729433	0.00692939620201339	0.0608223633320426	TRUE	sp|P62906|RL10A_HUMAN	9	FALSE	6	35436185	35438562
RIOK1	0.413633671912084	0.334130817635909	0.373882244773996	0.00547586890521964	0.0581915708078643	TRUE	sp|Q9BRS2|RIOK1_HUMAN	9	FALSE	6	7389729	7418270
HSPA5	0.370738055568623	0.373620009897671	0.372179032733147	0.00478586527117497	0.0570379356740868	TRUE	sp|P11021|BIP_HUMAN	33	FALSE	9	127997132	128003609
RPL35A	0.307421544911907	0.434012037181368	0.370716791046637	0.00697543187863985	0.0608223633320426	TRUE	sp|P18077|RL35A_HUMAN	7	FALSE	3	197676858	197683481
ANGPTL4	0.2668093745947	0.4743564753811	0.3705829249879	0.011211598922396	0.0728753929955743	TRUE	sp|Q9BY76|ANGL4_HUMAN	4	FALSE	19	8428173	8439257
PRUNE2	0.358894672764329	0.362540544120854	0.360717608442591	0.00539327367879861	0.0581915708078643	TRUE	sp|Q8WUY3|PRUN2_HUMAN	3	FALSE	9	79226292	79521003
