gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
SUPT5H	1.19015540381148	1.43877956378275	1.31446748379711	0.000185815822482272	0.0323622164527277	TRUE	sp|O00267|SPT5H_HUMAN	2	FALSE	19	39926796	39967310
BCAS3	1.16254578737047	1.19347022493121	1.17800800615084	0.000231498060954581	0.0323622164527277	TRUE	gi|9000000009|3xFLAG-BCAS3:	9	FALSE	17	58754814	59470199
RPL9	1.61893138487514	0.662586195347338	1.14075879011124	0.00484399851825606	0.0571826497090943	TRUE	sp|P32969|RL9_HUMAN	2	FALSE	4	39455744	39460568
UBA52	1.03830741573747	1.1257283327742	1.08201787425583	0.000376695647361214	0.0323622164527277	TRUE	tr|M0R1M6|M0R1M6_HUMAN	2	FALSE	19	18682540	18688360
SNRNP27	1.03715091846576	1.07138112085025	1.054266019658	0.000414261438872042	0.0323622164527277	TRUE	sp|Q8WVK2|SNR27_HUMAN	4	FALSE	2	70120692	70132707
PPIP5K2	0.95788150640081	1.14560910920707	1.05174530780394	0.000513635288522806	0.0323622164527277	TRUE	sp|O43314|VIP2_HUMAN	2	FALSE	5	102455853	102548500
ATP6V1A	1.03322553657307	1.0647845907551	1.04900506366408	0.000424684951524399	0.0323622164527277	TRUE	sp|P38606-2|VATA_HUMAN	2	FALSE	3	113465866	113530903
AMPD2	0.932485182425044	1.13078732522249	1.03163625382377	0.000580488187492873	0.0323622164527277	TRUE	sp|Q01433-2|AMPD2_HUMAN	2	FALSE	1	110158726	110174673
SRP54	0.955392115900697	1.09123673675726	1.02331442632898	0.000536534380508529	0.0323622164527277	TRUE	sp|P61011-2|SRP54_HUMAN	2	FALSE	14	35451163	35498773
BOLA2	0.895766105628717	0.868626388137187	0.882196246882952	0.00102613839999622	0.037333834637966	TRUE	sp|Q9H3K6|BOLA2_HUMAN	4	FALSE	16	29464914	29466285
KPNB1	0.821391161801145	0.915666882297746	0.868529022049445	0.00116446368308807	0.037333834637966	TRUE	sp|Q14974|IMB1_HUMAN	4	FALSE	17	45726842	45762871
TAGLN2	0.853321782690124	0.875339165877115	0.86433047428362	0.00113504755936751	0.037333834637966	TRUE	sp|P37802|TAGL2_HUMAN	3	FALSE	1	159887897	159895522
ADD3	0.827886790058496	0.876169434269325	0.85202811216391	0.00123259157197642	0.037333834637966	TRUE	sp|Q9UEY8-2|ADDG_HUMAN	2	FALSE	10	111756126	111895323
LSM14A	0.823161387097606	0.875357872519896	0.849259629808751	0.0012556222411872	0.037333834637966	TRUE	sp|Q8ND56|LS14A_HUMAN	3	FALSE	19	34663409	34720420
APEX1	0.681661775446607	1.00660479102182	0.844133283234214	0.00221326020115522	0.0411018019994765	TRUE	tr|G3V3M6|G3V3M6_HUMAN	5	FALSE	14	20923350	20925927
HDGFL3	0.674504825354425	0.988846223093645	0.831675524224035	0.00230391266813209	0.0411018019994765	TRUE	tr|A0A024R216|A0A024R216_HUMAN	2	FALSE	15	83784320	83876770
RPS13	0.851009966808284	0.746964780238343	0.798987373523313	0.00177778124501914	0.0390804588695984	TRUE	sp|P62277|RS13_HUMAN	2	FALSE	11	17095936	17099334
NOMO2	0.780629607188544	0.774182705040545	0.777406156114544	0.00190890367812072	0.0390804588695984	TRUE	sp|Q5JPE7|NOMO2_HUMAN	2	FALSE	16	18511182	18573533
MAP1A	1.21702663471834	0.336630448260188	0.776828541489264	0.0195887495770799	0.096006399026128	TRUE	sp|P78559|MAP1A_HUMAN	3	FALSE	15	43803156	43823818
TXNDC12	0.767265652713132	0.770203910958386	0.768734781835759	0.0020153599865488	0.0390804588695984	TRUE	sp|O95881|TXD12_HUMAN	7	FALSE	1	52485803	52521843
THBS2	1.10222275298726	0.406322571677439	0.754272662332349	0.0125614137822986	0.0789069091113408	TRUE	sp|P35442|TSP2_HUMAN	3	FALSE	6	169615875	169654139
PUF60	0.609358116235104	0.88626573868159	0.747811927458347	0.00343875358047587	0.0528856585135254	TRUE	sp|Q9UHX1-4|PUF60_HUMAN	2	FALSE	8	144898514	144912029
