gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
EDNRA	3.80957066546086	3.79788107271263	3.80372586908674	3.31004977465292e-28	4.13756221831615e-25	TRUE	sp|P25101-5|EDNRA_HUMAN	1	FALSE	4	148402069	148466106
IGKV4-1	3.34350770355142	2.85544403594924	3.09947586975033	3.19055702111158e-24	1.99409813819474e-21	TRUE	sp|P06312|KV401_HUMAN	8	FALSE	2	89184913	89185669
DDX20	2.98584410946337	2.73136854888381	2.85860632917359	8.63165372522858e-24	3.59652238551191e-21	TRUE	sp|Q9UHI6|DDX20_HUMAN	13	FALSE	1	112297867	112310638
SMN1	2.72157222606175	2.53027595962506	2.6259240928434	1.04101918025887e-22	3.25318493830897e-20	TRUE	sp|Q16637-4|SMN_HUMAN	5	FALSE	5	69345350	69374349
GEMIN4	2.6441702340038	2.31703383051323	2.48060203225851	1.32246000809317e-21	2.75512501686076e-19	TRUE	I3L2C7|I3L2C7_HUMAN	11	FALSE	17	647654	657239
KCTD20	2.51169676129322	2.38937973915647	2.45053825022485	7.85331554221403e-22	1.96332888555351e-19	TRUE	sp|Q7Z5Y7|KCD20_HUMAN	3	FALSE	6	36410544	36458920
GEMIN2	2.52400859884662	2.25538046529474	2.38969453207068	3.13107544160514e-21	5.59120614572346e-19	TRUE	sp|O14893-3|GEMI2_HUMAN	2	FALSE	14	39583427	39606177
COMT	2.57456747757065	2.15764480204713	2.36610613980889	1.12959072056294e-20	1.76498550087959e-18	TRUE	sp|P21964-2|COMT_HUMAN	3	FALSE	22	19929130	19957498
IBTK	2.32644773174303	1.85922789691043	2.09283781432673	8.10296989005139e-19	1.01287123625642e-16	TRUE	E9PDR5|E9PDR5_HUMAN	5	FALSE	6	82879700	82957471
IGHV3-53	2.20610707963934	1.82689186126595	2.01649947045264	1.32531770291947e-18	1.18331937760667e-16	TRUE	sp|P01767|HV353_HUMAN	2	FALSE	14	107048670	107049120
TNFAIP1	2.14529426678499	1.87892861964573	2.01211144321536	7.19119248710421e-19	9.98776734320029e-17	TRUE	sp|Q13829|BACD2_HUMAN	2	FALSE	17	26662628	26674035
