gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
IGKV2-40	5.81854791940105	7.40112189125571	6.60983490532838	0.000365952231828984	0.00205545758187177	TRUE	A0A087X0Q4|A0A087X0Q4_HUMAN	3	FALSE	2	89629873	89630187
IGKJ1	5.24608120035924	5.81268798328147	5.52938459182035	2.49067409159584e-05	0.00156624391555287	TRUE	sp|A0A0A0MT89|KJ01_HUMAN	3	FALSE	2	89161398	89161435
IGHV3-73	4.90810355491191	5.95463184499903	5.43136769995547	0.000182740993732358	0.00172417939615142	TRUE	sp|A0A0B4J1V6|HV373_HUMAN	5	FALSE	14	107210930	107211391
IGLV2-11	4.05333788037181	4.24185290756288	4.14759539396734	4.48845178740182e-06	0.00142047065682141	TRUE	sp|P01706|LV211_HUMAN	5	FALSE	22	23134980	23135496
RPLP2	3.63428415297347	4.05586200177568	3.84507307737458	3.58377743697048e-05	0.00156624391555287	TRUE	H0YDD8|H0YDD8_HUMAN	2	FALSE	11	809647	812880
H4-16	2.8860922275622	3.6187398641713	3.25241604586675	0.000325977138855818	0.00195812656326585	TRUE	sp|P62805|H4_HUMAN	6	FALSE	12	14920933	14924065
IGHV1OR15-9	2.99462909827026	3.4338168070199	3.21422295264508	7.34227073276997e-05	0.00156624391555287	TRUE	A0A0B4J2B8|A0A0B4J2B8_HUMAN	2	FALSE	15	20169909	20170354
H3C1	2.85618718265343	3.38207795915568	3.11913257090455	0.000136615315099893	0.00167605612850235	TRUE	sp|P68431|H31_HUMAN	2	FALSE	6	26020718	26021186
WDR11	2.56911157769045	3.56914063721083	3.06912610745064	0.00105461800614043	0.00364897830124587	TRUE	sp|Q9BZH6|WDR11_HUMAN	3	FALSE	10	122610687	122669036
MVP	2.9814684682944	2.94152361958409	2.96149604393924	4.8677658403743e-06	0.00142047065682141	TRUE	sp|Q14764|MVP_HUMAN	20	FALSE	16	29831715	29859355
ASCC1	2.99629534874332	2.874112784806	2.93520406677466	8.23328610058902e-06	0.00142047065682141	TRUE	E9PM82|E9PM82_HUMAN	2	FALSE	10	73856278	73976892
PARD3	2.78027686642001	2.7336606661506	2.7569687662853	6.35226703146726e-06	0.00142047065682141	TRUE	sp|Q8TEW0|PARD3_HUMAN	5	FALSE	10	34398488	35104253
GTF2I	2.45607726650965	2.39153929378974	2.42380828014969	1.06533607866999e-05	0.00142047065682141	TRUE	sp|P78347-2|GTF2I_HUMAN	4	FALSE	7	74071994	74175026
IGHV3OR16-9	2.553124372037	2.25097646646089	2.40205041924894	7.35220730697798e-05	0.00156624391555287	TRUE	S4R460|S4R460_HUMAN	2	FALSE	16	32077386	32077679
CRTC3	2.32029462390107	2.3290219078835	2.32465826589228	1.03019710283252e-05	0.00142047065682141	TRUE	sp|Q6UUV7-3|CRTC3_HUMAN	5	FALSE	15	91073157	91188577
H2BC12	2.06427548446852	2.42292514586757	2.24360031516804	0.000141743336184991	0.00167605612850235	TRUE	sp|O60814|H2B1K_HUMAN	2	FALSE	6	27106072	27114637
