gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
PHACTR1	2.45777637428646	2.61396260152349	2.53586948790497	4.33543054899212e-08	5.15482692275163e-05	TRUE	sp|Q9C0D0|PHAR1_HUMAN	3	FALSE	6	12717893	13288645
NES	1.56521264147567	1.48907339109329	1.52714301628448	3.6453691650667e-07	0.000216717196863215	TRUE	sp|P48681|NEST_HUMAN	9	FALSE	1	156638555	156647189
H4-16	1.69751813995876	1.31253366826582	1.50502590411229	9.86333053323446e-06	0.00234550000080315	TRUE	sp|P62805|H4_HUMAN	11	FALSE	12	14920933	14924065
VIM	1.55968680506441	1.39838172558477	1.47903426532459	9.26800712245945e-07	0.000367322015620143	TRUE	sp|P08670|VIME_HUMAN	48	FALSE	10	17270258	17279592
LMNA	0.865299788475376	0.654679889152145	0.75998983881376	6.13480696893735e-05	0.00729428548606651	TRUE	sp|P02545|LMNA_HUMAN	31	FALSE	1	156052364	156109880
HP1BP3	0.661750368098954	0.632626186744872	0.647188277421913	3.3467103684483e-05	0.00497404828510629	TRUE	B0QZK4|B0QZK4_HUMAN	6	FALSE	1	21069154	21113816
H1-5	0.617398444801928	0.594163971367081	0.605781208084504	4.72120067203211e-05	0.00623723066560686	TRUE	sp|P16401|H15_HUMAN	8	FALSE	6	27834570	27835359
HNRNPA2B1	0.542834259013279	0.66790787291108	0.605371065962179	8.69347384391559e-05	0.00795118492339665	TRUE	sp|P22626|ROA2_HUMAN	10	FALSE	7	26229547	26241149
FKBP3	0.488885763741017	0.657716006666078	0.573300885203547	0.000177061723039212	0.0140350925795749	TRUE	sp|Q00688|FKBP3_HUMAN	2	FALSE	14	45584803	45604522
TPM1	0.553558317746504	0.546947059788078	0.550252688767291	7.74589119455305e-05	0.00795118492339665	TRUE	sp|P09493-3|TPM1_HUMAN	3	FALSE	15	63334831	63364114
SF3B5	0.369000963093178	0.566104848572827	0.467552905833002	0.000680504347043916	0.0330655472405897	TRUE	sp|Q9BWJ5|SF3B5_HUMAN	3	FALSE	6	144416018	144416754
LYAR	0.329021474816095	0.540939325967031	0.434980400391563	0.00113723163116335	0.0406679870670299	TRUE	sp|Q9NX58|LYAR_HUMAN	3	FALSE	4	4269428	4291896
PELO	0.389950664521056	0.46627862472052	0.428114644620788	0.000372650351204303	0.0250693901203945	TRUE	sp|Q9BRX2|PELO_HUMAN	2	FALSE	5	52083774	52099880
FBL	0.366499280741067	0.487964986852479	0.427232133796773	0.000524776851016378	0.0328399829399197	TRUE	sp|P22087|FBRL_HUMAN	3	FALSE	19	40325098	40337054
RBBP4	0.322939392920791	0.510112688874575	0.416526040897683	0.0011009647210591	0.0406679870670299	TRUE	sp|Q09028-4|RBBP4_HUMAN	4	FALSE	1	33116743	33151812
TPM4	0.428488782122944	0.393800755297509	0.411144768710226	0.000379519783151472	0.0250693901203945	TRUE	sp|P67936|TPM4_HUMAN	2	FALSE	19	16177831	16213813
H1-0	0.338832392830486	0.438128131344794	0.38848026208764	0.000715364171169247	0.0330655472405897	TRUE	sp|P07305-2|H10_HUMAN	4	FALSE	22	38201114	38203442
LAMA4	0.427046675273232	0.344062829441661	0.385554752357446	0.000664731968997085	0.0330655472405897	TRUE	sp|Q16363|LAMA4_HUMAN	3	FALSE	6	112429963	112576141
ARPC5L	0.302170237265148	0.444836102229065	0.373503169747106	0.0012419130892677	0.0410176295316472	TRUE	sp|Q9BPX5|ARP5L_HUMAN	3	FALSE	9	127624409	127640003
TPM2	0.388007817129726	0.358312960745586	0.373160388937656	0.000615862358669022	0.0330655472405897	TRUE	sp|P07951-2|TPM2_HUMAN	5	FALSE	9	35681989	35691017
LGALS1	0.403555324316709	0.302981948310105	0.353268636313407	0.00116291973110094	0.0406679870670299	TRUE	sp|P09382|LEG1_HUMAN	8	FALSE	22	38071615	38075813
PLEC	0.364413441037577	0.330094581836992	0.347254011437284	0.000897314774750416	0.0370055516078127	TRUE	sp|Q15149|PLEC_HUMAN	111	FALSE	8	144989321	145050902
H1-10	0.320237673148423	0.371765685841762	0.346001679495092	0.000970855885377989	0.0372370208940139	TRUE	sp|Q92522|H1X_HUMAN	6	FALSE	3	129033615	129035120
SRSF4	0.240201116996545	0.439987989403196	0.34009455319987	0.00331535897105622	0.0571298813997949	TRUE	A0A0D9SEM4|A0A0D9SEM4_HUMAN	4	FALSE	1	29474255	29508499
PRDX3	0.25303419608181	0.425940736715205	0.339487466398507	0.00260001005475552	0.0571298813997949	TRUE	sp|P30048-2|PRDX3_HUMAN	2	FALSE	10	120927215	120938345
SRSF6	0.27758117451663	0.400716016799375	0.339148595658002	0.00168995628987398	0.050233950716504	TRUE	sp|Q13247|SRSF6_HUMAN	7	FALSE	20	42086568	42092245
CAV2	0.22105723743374	0.455572731088914	0.338314984261327	0.00471195676282304	0.0639604234102553	TRUE	sp|P51636|CAV2_HUMAN	3	FALSE	7	115927434	116148595
GTPBP4	0.269510621540494	0.405095654366157	0.337303137953325	0.00192375652937847	0.0522504537068785	TRUE	sp|Q9BZE4|NOG1_HUMAN	2	FALSE	10	1034338	1065876
LAP3	0.615228746065085	0.0544598261975189	0.334844286131302	0.0508385629721937	0.206896101053902	FALSE	sp|P28838-2|AMPL_HUMAN	2	FALSE	4	17578815	17609595
ACTN4	0.282380699381385	0.379968456542208	0.331174577961796	0.00156538885070971	0.0477242908588166	TRUE	sp|O43707|ACTN4_HUMAN	19	FALSE	19	39138289	39222223
ACTB	0.270076172037179	0.391358713458665	0.330717442747922	0.00188171783999783	0.0522504537068785	TRUE	sp|P60709|ACTB_HUMAN	14	FALSE	7	5566782	5603415
ABCF2	0.506192743538747	0.138551782397716	0.322372262968232	0.0179890482067294	0.137169546669755	FALSE	sp|Q9UG63-2|ABCF2_HUMAN	5	FALSE	7	150904923	150924316
SRSF9	0.218941829714144	0.411994057704899	0.315467943709521	0.00441004916790962	0.0639457129346895	TRUE	sp|Q13242|SRSF9_HUMAN	3	FALSE	12	120899471	120907596
SSB	0.228530012955805	0.385743350821468	0.307136681888636	0.0036162759275257	0.0586426739864406	TRUE	sp|P05455|LA_HUMAN	9	FALSE	2	170648443	170668574
PYM1	0.244110936136337	0.35590560399665	0.300008270066493	0.00279031042712739	0.0571298813997949	TRUE	sp|Q9BRP8-2|PYM1_HUMAN	4	FALSE	12	56295197	56326402
HNRNPU	0.299845884317246	0.296103453569941	0.297974668943593	0.00182142653592936	0.0522504537068785	TRUE	sp|Q00839|HNRPU_HUMAN	22	FALSE	1	245014468	245027844
TLN1	0.42323941608727	0.156441988334802	0.289840702211036	0.0123369712620857	0.111369643758836	FALSE	sp|Q9Y490|TLN1_HUMAN	11	FALSE	9	35696945	35732392
EMILIN1	0.597581807892677	-0.0183144510680542	0.289633678412311	0.0987604448683949	0.282274444587792	FALSE	sp|Q9Y6C2|EMIL1_HUMAN	6	FALSE	2	27301435	27309271
NOP58	0.286586951255455	0.289733385195824	0.28816016822564	0.00214104309722279	0.0530354217207895	TRUE	sp|Q9Y2X3|NOP58_HUMAN	3	FALSE	2	203130439	203168389
ALYREF	0.234184797479664	0.33404322238696	0.284114009933312	0.0033128238166802	0.0571298813997949	TRUE	sp|Q86V81|THOC4_HUMAN	5	FALSE	17	79845713	79849462
SRSF10	0.246211924794547	0.311744924132373	0.27897842446346	0.00295097593308663	0.0571298813997949	TRUE	sp|O75494-5|SRS10_HUMAN	8	FALSE	1	24291294	24307417
DSP	-0.146153855154314	0.703718772627685	0.278782458736686	0.207245187077927	0.418488419932207	FALSE	sp|P15924|DESP_HUMAN	31	FALSE	6	7541808	7586950
NPM1	0.306477906143446	0.249255238199918	0.277866572171682	0.0028942364325689	0.0571298813997949	TRUE	sp|P06748|NPM_HUMAN	14	FALSE	5	170814120	170838141
FAM32A	0.155230122759114	0.398886276390602	0.277058199574858	0.0122143647133586	0.111369643758836	FALSE	K7EIY1|K7EIY1_HUMAN	2	FALSE	19	16296191	16302857
HNRNPH3	0.296008778541914	0.256043864206958	0.276026321374436	0.00280033035695376	0.0571298813997949	TRUE	sp|P31942-3|HNRH3_HUMAN	3	FALSE	10	70090931	70102948
PLOD1	0.184806280515978	0.365646754653319	0.275226517584648	0.00729366965243283	0.0903351376744024	TRUE	sp|Q02809|PLOD1_HUMAN	25	FALSE	1	11994262	12035595
RAD50	0.256652322096819	0.288263625454348	0.272457973775583	0.00290909441732841	0.0571298813997949	TRUE	sp|Q92878|RAD50_HUMAN	5	FALSE	5	131891711	131980313
DHX16	0.156162737754979	0.382941722027105	0.269552229891042	0.0118539197992139	0.111369643758836	FALSE	sp|O60231|DHX16_HUMAN	2	FALSE	6	30620896	30640814
HNRNPA3	0.275140009059843	0.261742235836692	0.268441122448267	0.00302071934203337	0.0571298813997949	TRUE	sp|P51991|ROA3_HUMAN	7	FALSE	2	178077291	178088686
DDX39B	0.286101999394855	0.239635846222548	0.262868922808701	0.00359836225608945	0.0586426739864406	TRUE	A0A0G2JJZ9|A0A0G2JJZ9_HUMAN	3	FALSE	6	31497996	31510225
MYL12A	0.338061743209053	0.185733411159919	0.261897577184486	0.00713664934554709	0.0903351376744024	TRUE	sp|P19105|ML12A_HUMAN	7	FALSE	18	3247479	3256234
ESYT2	0.111810171594346	0.411359812823768	0.261584992209057	0.0240850770987388	0.149151857658335	FALSE	sp|A0FGR8-2|ESYT2_HUMAN	2	FALSE	7	158523686	158622944
