gene	rep1	rep2	logFC	pvalue	FDR	significant	accession_number	unique.peptides	imputed	chrom	bp.start	bp.end
DOCK9	3.59491598814486	4.83767961783263	4.21629780298874	0.00027127334748193	0.0135364575389633	TRUE	sp|Q9BZ29-4|DOCK9_HUMAN	2	FALSE	13	99445741	99738879
DOCK9	2.14590019466904	2.39958177241046	2.27274098353975	1.17744604540781e-05	0.00173890427380557	TRUE	sp|Q9BZ29-5|DOCK9_HUMAN	3	FALSE	13	99445741	99738879
PCNT	1.85550080511485	1.92109581432314	1.88829830971899	2.73485550362092e-06	0.000921646304720249	TRUE	sp|O95613|PCNT_HUMAN	61	FALSE	21	47744036	47865682
NOB1	1.82456205087722	1.82381845940185	1.82419025513954	2.28644601951727e-06	0.000921646304720249	TRUE	sp|Q9ULX3|NOB1_HUMAN	5	FALSE	16	69775770	69788843
JCAD	1.74131202600934	1.88052484508633	1.81091843554783	7.25158242245526e-06	0.00139644758649567	TRUE	sp|Q9P266|JCAD_HUMAN	34	FALSE	10	30301729	30404423
CCDC61	1.5484613368638	1.57059710994589	1.55952922340484	4.35567563598313e-06	0.00117429015146105	TRUE	sp|Q9Y6R9|CCD61_HUMAN	8	FALSE	19	46498339	46524576
AMPD2	1.27148103389963	1.38451836664732	1.32799970027347	1.75304291709126e-05	0.00214827441112638	TRUE	sp|Q01433|AMPD2_HUMAN	8	FALSE	1	110158726	110174673
PCM1	1.02626656787319	1.08098034297131	1.05362345542225	2.38000282250887e-05	0.00267353650395163	TRUE	sp|Q15154-2|PCM1_HUMAN	33	FALSE	8	17780349	17885478
NCBP3	1.02245523183143	0.952454103962495	0.987454667896962	3.47614325886269e-05	0.00327875645097633	TRUE	sp|Q53F19-2|NCBP3_HUMAN	2	FALSE	17	3714460	3749545
CDK5RAP2	0.987670454515388	0.888672790889416	0.938171622702402	5.69171357130437e-05	0.0045131940553637	TRUE	sp|Q96SN8-3|CK5P2_HUMAN	14	FALSE	9	123151147	123342448
OFD1	0.845663337660742	0.942768806677044	0.894216072168893	6.70190924480801e-05	0.00477717219566782	TRUE	sp|O75665|OFD1_HUMAN	5	FALSE	X	13752832	13787480
MTMR3	0.796349307898986	0.928949818513679	0.862649563206332	0.000116185085748587	0.00711897707223159	TRUE	sp|Q13615|MTMR3_HUMAN	4	FALSE	22	30279144	30426855
CEP131	0.765691540691204	0.748667135651012	0.757179338171108	6.95132618589696e-05	0.00477717219566782	TRUE	sp|Q9UPN4|CP131_HUMAN	22	FALSE	17	79163393	79196799
CEP192	0.692706101031629	0.729417239983629	0.711061670507629	9.58246094667775e-05	0.00615102731243886	TRUE	sp|Q8TEP8|CE192_HUMAN	3	FALSE	18	12991361	13125051
SRSF2	0.761947904202405	0.637970288691101	0.699959096446753	0.000232688416170345	0.0120639994229856	TRUE	sp|Q01130|SRSF2_HUMAN	4	FALSE	17	74730197	74733456
ALB	0.353331756870102	0.808757527480747	0.581044642175424	0.0113704176450812	0.11972073909452	FALSE	H0YA55|H0YA55_HUMAN	3	FALSE	4	74262831	74287129
